 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.8915 -1.7506 -1.6075 -1.4655 -1.3275 -1.1979 -1.0804 -0.9761 -0.8842 -0.8029
 -0.7305 -0.6658 -0.6085 -0.5586 -0.5155 -0.4184 -0.3142 -0.2212 -0.1507 -0.0991
 -0.0632 -0.0401 -0.0274 -0.0218 -0.0200 -0.0199 -0.0206 -0.0216 -0.0233 -0.0261
 -0.0307
 -1.8607 -1.7348 -1.6041 -1.4698 -1.3353 -1.2054 -1.0848 -0.9759 -0.8793 -0.7942
 -0.7190 -0.6522 -0.5925 -0.5393 -0.4917 -0.3943 -0.3056 -0.2198 -0.1492 -0.0971
 -0.0607 -0.0377 -0.0258 -0.0226 -0.0245 -0.0290 -0.0345 -0.0400 -0.0457 -0.0516
 -0.0582
 -1.8088 -1.6971 -1.5806 -1.4595 -1.3340 -1.2099 -1.0917 -0.9825 -0.8843 -0.7969
 -0.7192 -0.6499 -0.5878 -0.5321 -0.4840 -0.3615 -0.2893 -0.2173 -0.1470
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F350LP
 -2.9105 -2.8541 -2.7900 -2.7108 -2.6368 -2.5052 -2.2764 -1.9709 -1.6836 -1.3818
 -1.1713 -1.0098 -0.8842 -0.7820 -0.6938 -0.5147
 -2.6656 -2.6037 -2.5414 -2.4714 -2.3948 -2.2812 -2.0970 -1.8354 -1.5608 -1.3162
 -1.1179 -0.9625 -0.8402 -0.7407 -0.6556 -0.4834 -0.3487 -0.2397 -0.1499
 -2.4644 -2.3931 -2.3276 -2.2611 -2.1858 -2.0887 -1.9417 -1.7222 -1.4862 -1.2670
 -1.0810 -0.9309 -0.8107 -0.7126 -0.6292 -0.4613 -0.3313 -0.2284 -0.1457 -0.0788
 -0.0245
 -2.3069 -2.2223 -2.1486 -2.0799 -2.0097 -1.9278 -1.8105 -1.6313 -1.4299 -1.2342
 -1.0606 -0.9150 -0.7957 -0.6977 -0.6146 -0.4484 -0.3212 -0.2219 -0.1435 -0.0805
 -0.0298  0.0111  0.0443
 -2.1896 -2.0908 -2.0054 -1.9291 -1.8567 -1.7812 -1.6886 -1.5467 -1.3769 -1.2047
 -1.0453 -0.9062 -0.7888 -0.6907 -0.6075 -0.4419 -0.3161 -0.2188 -0.1432 -0.0833
 -0.0355  0.0028  0.0342  0.0597  0.0800
 -2.0785 -1.9788 -1.8893 -1.8071 -1.7289 -1.6521 -1.5699 -1.4610 -1.3209 -1.1718
 -1.0283 -0.8983 -0.7850 -0.6879 -0.6047 -0.4394 -0.3141 -0.2180 -0.1443 -0.0867
 -0.0415 -0.0059  0.0225  0.0457  0.0646  0.0797
 -1.9895 -1.8605 -1.7557 -1.6716 -1.6008 -1.5322 -1.4571 -1.3698 -1.2582 -1.1324
 -1.0058 -0.8871 -0.7801 -0.6861 -0.6039 -0.4389 -0.3139 -0.2184 -0.1458 -0.0902
 -0.0473 -0.0143  0.0112  0.0317  0.0485  0.0622  0.0725  0.0789  0.0808  0.0766
 -1.9612 -1.8110 -1.6772 -1.5629 -1.4668 -1.3846 -1.3122 -1.2425 -1.1641 -1.0721
 -0.9711 -0.8685 -0.7713 -0.6826 -0.6030 -0.4396 -0.3147 -0.2193 -0.1473 -0.0930
 -0.0521 -0.0217  0.0008  0.0181  0.0320  0.0433  0.0519  0.0580  0.0604  0.0575
  0.0485
 -1.9586 -1.7997 -1.6516 -1.5164 -1.3971 -1.2934 -1.2020 -1.1183 -1.0377 -0.9593
 -0.8869 -0.8173 -0.7456 -0.6719 -0.5993 -0.4405 -0.3158 -0.2202 -0.1483 -0.0947
 -0.0554 -0.0272 -0.0076  0.0061  0.0164  0.0246  0.0308  0.0352  0.0374  0.0355
  0.0280
 -1.9640 -1.8040 -1.6506 -1.5053 -1.3709 -1.2502 -1.1436 -1.0486 -0.9617 -0.8800
 -0.8040 -0.7369 -0.6798 -0.6286 -0.5769 -0.4390 -0.3157 -0.2199 -0.1478 -0.0946
