 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
  1.1692  1.1441  1.1191  1.0945  1.0700  1.0150  0.9819  0.9543  0.9179  0.8737
  0.8222  0.7645  0.7021  0.6370  0.5718  0.5081  0.4463  0.3863  0.3277  0.2699
  0.2122
  1.2732  1.2768  1.2765  1.2729  1.2651  1.2545  1.2419  1.2280  1.2129  1.1961
  1.1776  1.1577  1.1373  1.1172  1.0977  1.0480  1.0001  0.9618  0.9237  0.8789
  0.8274  0.7695  0.7063  0.6395  0.5716  0.5046  0.4394  0.3763  0.3151  0.2553
  0.1965
  1.3167  1.3090  1.2998  1.2889  1.2767  1.2625  1.2471  1.2313  1.2155  1.1999
  1.1840  1.1675  1.1504  1.1330  1.1132  1.0912  1.0301  0.9727  0.9322
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value = F098M
  0.7228  0.7148  0.7142  0.7252  0.7550  0.8023  0.8643  0.9355  0.9736  0.9890
  0.9957  1.0062  1.0195  1.0338  1.0474  1.0744
  0.8751  0.8579  0.8441  0.8382  0.8453  0.8667  0.9028  0.9460  0.9693  0.9763
  0.9801  0.9869  0.9978  1.0106  1.0231  1.0453  1.0515  1.0431  1.0197
  1.0059  0.9852  0.9633  0.9449  0.9342  0.9341  0.9468  0.9669  0.9767  0.9764
  0.9743  0.9763  0.9836  0.9941  1.0051  1.0235  1.0265  1.0155  0.9902  0.9507
  0.9032
  1.1152  1.0967  1.0718  1.0453  1.0217  1.0044  0.9963  0.9969  0.9945  0.9866
  0.9783  0.9744  0.9769  0.9843  0.9934  1.0090  1.0092  0.9955  0.9685  0.9291
  0.8806  0.8276  0.7731
  1.1965  1.1861  1.1643  1.1357  1.1048  1.0756  1.0516  1.0355  1.0214  1.0057
  0.9908  0.9803  0.9768  0.9798  0.9863  0.9991  0.9971  0.9812  0.9525  0.9128
  0.8647  0.8118  0.7574  0.7027  0.6471
  1.2433  1.2459  1.2340  1.2105  1.1793  1.1445  1.1102  1.0809  1.0561  1.0325
  1.0109  0.9936  0.9833  0.9806  0.9834  0.9926  0.9887  0.9710  0.9409  0.9006
  0.8525  0.7994  0.7444  0.6892  0.6341  0.5782
  1.2522  1.2743  1.2773  1.2635  1.2385  1.2055  1.1674  1.1298  1.0962  1.0655
  1.0376  1.0138  0.9966  0.9871  0.9848  0.9890  0.9832  0.9639  0.9328  0.8918
  0.8434  0.7899  0.7339  0.6775  0.6215  0.5660  0.5094  0.4502  0.3887  0.3287
  1.2291  1.2589  1.2776  1.2834  1.2761  1.2556  1.2230  1.1815  1.1390  1.1012
  1.0681  1.0395  1.0162  0.9999  0.9912  0.9880  0.9804  0.9596  0.9276  0.8860
  0.8371  0.7830  0.7257  0.6676  0.6100  0.5532  0.4966  0.4396  0.3804  0.3184
  0.2575
  1.2133  1.2409  1.2600  1.2710  1.2733  1.2662  1.2498  1.2241  1.1890  1.1483
