 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
  0.2541  0.2106  0.1620  0.1105  0.0575  0.0039 -0.0502 -0.1052 -0.1615 -0.2196
 -0.2800
  0.1886  0.2722  0.3412  0.3958  0.4369  0.4653  0.4818  0.4875  0.4834  0.4714
  0.4536  0.4316  0.4073  0.3836  0.3640  0.3437  0.3451  0.3379  0.3191  0.2903
  0.2530  0.2087  0.1590  0.1057  0.0509 -0.0042 -0.0597 -0.1155 -0.1718 -0.2293
 -0.2887
  0.2012  0.2821  0.3498  0.4031  0.4431  0.4710  0.4886  0.4972  0.4976  0.4910
  0.4792  0.4638  0.4466  0.4283  0.4092  0.3676  0.3518  0.3418  0.3219  0.2927
  0.2552  0.2105  0.1600  0.1053  0.0486 -0.0084 -0.0654 -0.1221 -0.1790 -0.2366
 -0.2948
  0.2312  0.3029  0.3644  0.4150  0.4523  0.4782  0.4942  0.5025  0.5045  0.5012
  0.4935  0.4825  0.4696  0.4561  0.4424  0.4054  0.3705  0.3492  0.3274  0.2975
  0.2599  0.2151  0.1642  0.1085  0.0500 -0.0091 -0.0681 -0.1264 -0.1843 -0.2422
 -0.2983
  0.2786  0.3458  0.3959  0.4377  0.4703  0.4924  0.5054  0.5114  0.5123  0.5095
  0.5038  0.4958  0.4859  0.4750  0.4636  0.4571  0.4012  0.3601  0.3356
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  z   
 -0.6424 -0.6403 -0.6299 -0.6018 -0.5211 -0.3937 -0.2353 -0.0587  0.1073  0.1976
  0.2397  0.2642  0.2849  0.3058  0.3266  0.3714  0.3992  0.4102  0.4028
 -0.4449 -0.4374 -0.4287 -0.4094 -0.3689 -0.2959 -0.1782 -0.0146  0.1237  0.2043
  0.2428  0.2638  0.2810  0.2990  0.3178  0.3583  0.3823  0.3896  0.3809  0.3579
 -0.2719 -0.2544 -0.2430 -0.2295 -0.2051 -0.1600 -0.0837  0.0320  0.1429  0.2146
