 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.0807 -0.8913 -0.7242 -0.5796 -0.4576 -0.3576 -0.2768 -0.2114 -0.1571 -0.1122
 -0.0780 -0.0526 -0.0299 -0.0050  0.0229  0.0920  0.1442  0.1761  0.1907  0.1905
  0.1780  0.1560  0.1277  0.0964  0.0636  0.0295 -0.0066 -0.0447 -0.0862 -0.1312
 -0.1817
 -1.0889 -0.8972 -0.7260 -0.5745 -0.4438 -0.3342 -0.2443 -0.1714 -0.1121 -0.0630
 -0.0223  0.0099  0.0332  0.0491  0.0623  0.1032  0.1496  0.1791  0.1923  0.1913
  0.1781  0.1550  0.1247  0.0909  0.0560  0.0207 -0.0155 -0.0527 -0.0915 -0.1331
 -0.1787
 -1.0928 -0.9062 -0.7347 -0.5810 -0.4459 -0.3304 -0.2343 -0.1554 -0.0910 -0.0384
  0.0050  0.0410  0.0704  0.0933  0.1094  0.1329  0.1594  0.1854  0.1972  0.1957
  0.1822  0.1584  0.1265  0.0899  0.0520  0.0143 -0.0234 -0.0610 -0.0992 -0.1388
 -0.1805
 -1.0874 -0.9046 -0.7375 -0.5852 -0.4492 -0.3314 -0.2320 -0.1495 -0.0816 -0.0258
  0.0204  0.0587  0.0906  0.1170  0.1383  0.1694  0.1835  0.1965  0.2055  0.2033
  0.1897  0.1656  0.1327  0.0938  0.0526  0.0114 -0.0290 -0.0686 -0.1078 -0.1471
 -0.1872
 -1.0859 -0.8979 -0.7303 -0.5807 -0.4460 -0.3284 -0.2283 -0.1444 -0.0750 -0.0176
  0.0302  0.0701  0.1037  0.1319  0.1490  0.2127  0.2219  0.2124  0.2172
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  i   
 -2.1316 -2.0323 -1.9363 -1.8327 -1.6917 -1.5060 -1.2754 -1.0002 -0.7059 -0.4830
 -0.3268 -0.2130 -0.1252 -0.0546  0.0044  0.1186  0.1997  0.2526  0.2795
 -1.8751 -1.7648 -1.6666 -1.5703 -1.4641 -1.3322 -1.1470 -0.8927 -0.6485 -0.4534
 -0.3096 -0.2021 -0.1183 -0.0508  0.0052  0.1119  0.1860  0.2338  0.2577  0.2609
 -1.6751 -1.5499 -1.4439 -1.3488 -1.2549 -1.1489 -1.0076 -0.8086 -0.6057 -0.4335
 -0.2999 -0.1975 -0.1163 -0.0506  0.0036  0.1052  0.1743  0.2183  0.2403  0.2440
  0.2327
 -1.5257 -1.3845 -1.2666 -1.1658 -1.0748 -0.9842 -0.8788 -0.7288 -0.5627 -0.4127
 -0.2904 -0.1935 -0.1155 -0.0515  0.0015  0.0995  0.1649  0.2061  0.2265  0.2301
  0.2201  0.1999
 -1.3941 -1.2526 -1.1285 -1.0207 -0.9259 -0.8391 -0.7530 -0.6448 -0.5134 -0.3860
 -0.2764 -0.1867 -0.1129 -0.0513  0.0004  0.0954  0.1578  0.1968  0.2158  0.2190
  0.2096  0.1905  0.1646  0.1341
 -1.2459 -1.0954 -0.9760 -0.8790 -0.7937 -0.7133 -0.6350 -0.5539 -0.4550 -0.3507
 -0.2555 -0.1745 -0.1063 -0.0484  0.0012  0.0934  0.1532  0.1901  0.2080  0.2106
  0.2013  0.1825  0.1569  0.1269  0.0933  0.0560  0.0144 -0.0323 -0.0831 -0.1329
 -1.1852 -1.0077 -0.8591 -0.7387 -0.6419 -0.5636 -0.4987 -0.4392 -0.3743 -0.3001
 -0.2245 -0.1551 -0.0940 -0.0411  0.0051  0.0939  0.1513  0.1862  0.2030  0.2050
  0.1952  0.1762  0.1503  0.1201  0.0870  0.0512  0.0124 -0.0297 -0.0764 -0.1274
 -0.1780
