 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.0371 -4.5788 -4.1822 -3.8194 -3.4841 -3.1778 -2.9039 -2.6638 -2.4562 -2.2767
 -2.1189 -1.9762 -1.8439 -1.7199 -1.6032 -1.3377 -1.0949 -0.8711 -0.6853
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.0906 -4.5970 -4.1803 -3.8355 -3.5236 -3.2431 -3.0040 -2.7801 -2.5723 -2.3911
 -2.2212 -2.0632 -1.9183 -1.7859 -1.6653 -1.4056 -1.1773 -0.9707 -0.7831
 -5.0082 -4.6404 -4.1959 -3.8090 -3.4776 -3.1823 -2.9338 -2.7057 -2.4974 -2.3135
 -2.1420 -1.9832 -1.8373 -1.7041 -1.5829 -1.3259 -1.1122 -0.9190 -0.7377 -0.5684
 -4.8367 -4.6402 -4.2471 -3.8426 -3.4832 -3.1690 -2.9015 -2.6693 -2.4600 -2.2730
 -2.1008 -1.9409 -1.7935 -1.6584 -1.5353 -1.2754 -1.0638 -0.8773 -0.7059 -0.5492
 -0.4095
 -4.6052 -4.3583 -4.2315 -3.8962 -3.5300 -3.1985 -2.9091 -2.6631 -2.4491 -2.2582
 -2.0850 -1.9241 -1.7750 -1.6375 -1.5115 -1.2452 -1.0321 -0.8491 -0.6846 -0.5367
 -0.4061 -0.2926
 -4.4594 -4.1104 -3.9249 -3.8395 -3.5797 -3.2538 -2.9510 -2.6860 -2.4597 -2.2626
 -2.0871 -1.9250 -1.7742 -1.6344 -1.5053 -1.2304 -1.0126 -0.8306 -0.6708 -0.5294
 -0.4061 -0.2993 -0.2070 -0.1269
 -4.5020 -4.0913 -3.7679 -3.5540 -3.4457 -3.2854 -3.0104 -2.7362 -2.4928 -2.2844
 -2.1023 -1.9388 -1.7865 -1.6447 -1.5127 -1.2283 -1.0030 -0.8193 -0.6623 -0.5259
 -0.4084 -0.3075 -0.2205 -0.1448 -0.0784 -0.0201  0.0321  0.0790  0.1155  0.1365
 -4.5903 -4.1447 -3.7702 -3.4699 -3.2478 -3.0958 -2.9753 -2.7875 -2.5489 -2.3249
