 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -1.3808 -1.2469 -1.1261 -1.0144 -0.9115 -0.6935 -0.5270 -0.3983 -0.2968 -0.2164
 -0.1530 -0.1033 -0.0633 -0.0288  0.0017  0.0285  0.0513  0.0693  0.0814  0.0851
  0.0800
 -3.6804 -3.2260 -2.8412 -2.5268 -2.2735 -2.0689 -1.9012 -1.7585 -1.6376 -1.5260
 -1.3983 -1.2607 -1.1382 -1.0264 -0.9228 -0.7013 -0.5301 -0.3985 -0.2963 -0.2168
 -0.1555 -0.1090 -0.0731 -0.0435 -0.0176  0.0057  0.0258  0.0434  0.0566  0.0630
  0.0612
 -3.8368 -3.3674 -2.9547 -2.6037 -2.3156 -2.0819 -1.8908 -1.7297 -1.5882 -1.4624
 -1.3513 -1.2480 -1.1428 -1.0375 -0.9348 -0.7104 -0.5345 -0.3989 -0.2947 -0.2151
 -0.1551 -0.1110 -0.0789 -0.0543 -0.0337 -0.0152  0.0011  0.0158  0.0278  0.0355
  0.0381
 -4.0045 -3.5278 -3.1018 -2.7252 -2.4028 -2.1367 -1.9194 -1.7396 -1.5865 -1.4508
 -1.3284 -1.2183 -1.1196 -1.0298 -0.9413 -0.7244 -0.5436 -0.4033 -0.2955 -0.2141
 -0.1539 -0.1109 -0.0814 -0.0612 -0.0460 -0.0331 -0.0217 -0.0114 -0.0025  0.0054
  0.0083
 -4.1760 -3.6914 -3.2606 -2.8723 -2.5270 -2.2302 -1.9826 -1.7785 -1.6083 -1.4626
 -1.3336 -1.2173 -1.1119 -1.0174 -0.9319 -0.7360 -0.5557 -0.4100 -0.2977 -0.2131
 -0.1514 -0.1083 -0.0801 -0.0630 -0.0526 -0.0455 -0.0399 -0.0348 -0.0303 -0.0266
 -0.0230
 -4.3561 -3.8513 -3.4183 -3.0275 -2.6729 -2.3564 -2.0817 -1.8497 -1.6563 -1.4937
 -1.3543 -1.2317 -1.1216 -1.0220 -0.9319 -0.7383 -0.5690 -0.4198 -0.3021
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.9482 -3.5022 -3.1350 -2.8342 -2.5608 -2.3150 -2.1089 -1.9192 -1.7462 -1.5966
 -1.4564 -1.3256 -1.2053 -1.0952 -0.9950 -0.7819 -0.6052 -0.4570 -0.3333
 -3.8650 -3.5285 -3.1375 -2.8048 -2.5216 -2.2683 -2.0569 -1.8650 -1.6922 -1.5414
 -1.4010 -1.2709 -1.1512 -1.0418 -0.9424 -0.7347 -0.5704 -0.4333 -0.3144 -0.2100
 -3.7043 -3.5269 -3.1749 -2.8241 -2.5197 -2.2550 -2.0300 -1.8364 -1.6638 -1.5111
 -1.3713 -1.2418 -1.1223 -1.0130 -0.9136 -0.7068 -0.5462 -0.4146 -0.3024 -0.2056
 -0.1234
 -3.4940 -3.2748 -3.1645 -2.8655 -2.5503 -2.2721 -2.0314 -1.8279 -1.6524 -1.4973
 -1.3578 -1.2287 -1.1095 -0.9998 -0.8998 -0.6916 -0.5318 -0.4032 -0.2954 -0.2039
 -0.1270 -0.0632
 -3.3727 -3.0546 -2.8924 -2.8208 -2.5897 -2.3095 -2.0569 -1.8391 -1.6545 -1.4953
 -1.3548 -1.2260 -1.1068 -0.9968 -0.8960 -0.6850 -0.5239 -0.3966 -0.2919 -0.2042
 -0.1314 -0.0717 -0.0220  0.0211
 -3.4410 -3.0485 -2.7571 -2.5687 -2.4757 -2.3352 -2.0978 -1.8697 -1.6717 -1.5040
 -1.3590 -1.2300 -1.1109 -1.0007 -0.8992 -0.6848 -0.5208 -0.3932 -0.2902 -0.2054
 -0.1361 -0.0799 -0.0338  0.0054  0.0395  0.0686  0.0917  0.1078  0.1162  0.1160
 -3.5740 -3.1221 -2.7697 -2.5002 -2.3042 -2.1709 -2.0668 -1.9056 -1.7063 -1.5251
 -1.3715 -1.2391 -1.1198 -1.0094 -0.9073 -0.6895 -0.5216 -0.3921 -0.2895 -0.2067
 -0.1400 -0.0869 -0.0445 -0.0091  0.0216  0.0482  0.0706  0.0876  0.0979  0.1005
  0.0946
 -3.7587 -3.2566 -2.8495 -2.5287 -2.2788 -2.0862 -1.9349 -1.8129 -1.6985 -1.5553
 -1.3956 -1.2542 -1.1326 -1.0221 -0.9194 -0.6983 -0.5258 -0.3931 -0.2895 -0.2074
 -0.1426 -0.0922 -0.0531 -0.0218  0.0047  0.0278  0.0472  0.0632  0.0747  0.0802
  0.0773
 -3.9744 -3.4332 -2.9820 -2.6121 -2.3176 -2.0854 -1.9009 -1.7479 -1.6158 -1.4996
 -1.3889 -1.2692 -1.1465 -1.0355 -0.9326 -0.7088 -0.5316 -0.3948 -0.2888 -0.2064
 -0.1428 -0.0943 -0.0583 -0.0311 -0.0093  0.0093  0.0251  0.0382  0.0487  0.0549
  0.0555
 -4.1883 -3.6371 -3.1605 -2.7514 -2.4120 -2.1392 -1.9218 -1.7456 -1.5971 -1.4658
 -1.3478 -1.2413 -1.1413 -1.0438 -0.9478 -0.7246 -0.5427 -0.4008 -0.2910 -0.2066
 -0.1426 -0.0952 -0.0612 -0.0375 -0.0202 -0.0066  0.0045  0.0138  0.0212  0.0263
  0.0280
 -4.3936 -3.8444 -3.3575 -2.9272 -2.5539 -2.2410 -1.9863 -1.7807 -1.6123 -1.4693
 -1.3427 -1.2285 -1.1248 -1.0309 -0.9449 -0.7405 -0.5565 -0.4093 -0.2950 -0.2072
 -0.1415 -0.0939 -0.0610 -0.0396 -0.0263 -0.0177 -0.0119 -0.0074 -0.0042 -0.0022
 -0.0009
 -4.5904 -4.0550 -3.5532 -3.1172 -2.7258 -2.3849 -2.0948 -1.8552 -1.6594 -1.4972
 -1.3594 -1.2382 -1.1292 -1.0304 -0.9239 -0.7565 -0.5730 -0.4203 -0.3008
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F555W
 -3.8476 -3.4201 -3.0690 -2.7868 -2.5176 -2.2809 -2.0744 -1.8892 -1.7183 -1.5721
 -1.4343 -1.3059 -1.1875 -1.0791 -0.9800 -0.7682 -0.5930 -0.4469 -0.3260
 -3.9011 -3.4596 -3.0759 -2.7565 -2.4860 -2.2409 -2.0298 -1.8430 -1.6712 -1.5236
 -1.3857 -1.2578 -1.1399 -1.0320 -0.9334 -0.7259 -0.5616 -0.4255 -0.3080 -0.2040
 -3.6664 -3.5119 -3.1184 -2.7789 -2.4864 -2.2302 -2.0094 -1.8194 -1.6474 -1.4975
 -1.3599 -1.2324 -1.1148 -1.0068 -0.9080 -0.7010 -0.5396 -0.4082 -0.2964 -0.1992
 -0.1154
 -3.4802 -3.4220 -3.1721 -2.8309 -2.5165 -2.2473 -2.0122 -1.8129 -1.6397 -1.4859
