 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -1.3211 -1.0816 -0.9032 -0.7722 -0.6717 -0.5906 -0.5230 -0.4653 -0.4159 -0.3744
 -0.3401
-10.6631 -9.6840 -8.6921 -7.7729 -6.9853 -6.3473 -5.8452 -5.4518 -5.1384 -4.8768
 -4.6429 -4.4240 -4.2162 -4.0225 -3.8433 -3.4070 -2.9109 -2.4255 -2.0178 -1.6685
 -1.3700 -1.1270 -0.9435 -0.8103 -0.7122 -0.6364 -0.5756 -0.5251 -0.4828 -0.4475
 -0.4184
-11.0009-10.1374 -9.2044 -8.2762 -7.4229 -6.6934 -6.0977 -5.6219 -5.2415 -4.9317
 -4.6693 -4.4346 -4.2135 -4.0015 -3.8009 -3.3577 -2.9406 -2.4981 -2.0829 -1.7274
 -1.4245 -1.1758 -0.9847 -0.8460 -0.7472 -0.6750 -0.6202 -0.5767 -0.5415 -0.5130
 -0.4895
-11.2430-10.5008 -9.6679 -8.7846 -7.9187 -7.1276 -6.4472 -5.8855 -5.4293 -5.0581
 -4.7514 -4.4886 -4.2528 -4.0310 -3.8177 -3.3352 -2.9307 -2.5465 -2.1555
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F390M
-10.9010-10.2239 -9.5880 -8.8841 -8.0865 -7.3841 -6.9268 -6.5977 -6.3270 -6.0747
 -5.8352 -5.6029 -5.3776 -5.1585 -4.9436 -4.4103 -3.8637 -3.2768 -2.6509
 -9.8543 -9.4842 -9.0463 -8.5805 -7.9733 -7.2649 -6.7200 -6.3391 -6.0298 -5.7594
 -5.5035 -5.2588 -5.0239 -4.7977 -4.5776 -4.0453 -3.5182 -2.9790 -2.4306 -1.9096
 -8.9315 -8.6387 -8.4532 -8.1626 -7.7911 -7.2496 -6.6435 -6.1805 -5.8313 -5.5352
 -5.2646 -5.0084 -4.7649 -4.5325 -4.3086 -3.7772 -3.2666 -2.7631 -2.2693 -1.8024
 -1.4009
 -8.6646 -8.0191 -7.7303 -7.6280 -7.4415 -7.1373 -6.6678 -6.1401 -5.7263 -5.3992
 -5.1135 -4.8458 -4.5931 -4.3535 -4.1249 -3.5907 -3.0906 -2.6125 -2.1576 -1.7313
 -1.3571 -1.0665
