 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -2.7255 -2.5954 -2.4707 -2.3410 -2.2018 -1.8441 -1.5155 -1.2592 -1.0632 -0.9070
 -0.7787 -0.6720 -0.5831 -0.5081 -0.4434 -0.3858 -0.3335 -0.2853 -0.2412 -0.2014
 -0.1663
 -5.9571 -5.3890 -4.8840 -4.4422 -4.0593 -3.7312 -3.4522 -3.2158 -3.0149 -2.8422
 -2.6903 -2.5536 -2.4274 -2.3077 -2.1888 -1.8641 -1.5367 -1.2710 -1.0698 -0.9130
 -0.7864 -0.6825 -0.5975 -0.5276 -0.4692 -0.4184 -0.3731 -0.3314 -0.2930 -0.2582
 -0.2267
 -6.3518 -5.7390 -5.1819 -4.6831 -4.2502 -3.8780 -3.5612 -3.2925 -3.0641 -2.8689
 -2.6999 -2.5507 -2.4156 -2.2898 -2.1696 -1.8755 -1.5671 -1.2913 -1.0814 -0.9210
 -0.7942 -0.6917 -0.6090 -0.5426 -0.4892 -0.4448 -0.4064 -0.3719 -0.3400 -0.3108
 -0.2871
 -6.7926 -6.0850 -5.5078 -4.9789 -4.5033 -4.0887 -3.7323 -3.4281 -3.1687 -2.9463
 -2.7539 -2.5855 -2.4354 -2.2988 -2.1442 -1.8783 -1.6067 -1.3201 -1.0980
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  B   
 -6.8551 -6.7725 -6.6793 -6.5671 -6.3938 -6.1226 -5.7255 -5.1804 -4.5311 -3.9962
 -3.6019 -3.2990 -3.0505 -2.8349 -2.6420 -2.2314 -1.8913 -1.5927 -1.3135
 -6.3095 -6.2148 -6.1169 -6.0056 -5.8627 -5.6579 -5.3379 -4.8350 -4.2798 -3.7982
 -3.4268 -3.1360 -2.8945 -2.6832 -2.4925 -2.0881 -1.7597 -1.4804 -1.2344 -1.0137
 -5.8438 -5.7358 -5.6286 -5.5153 -5.3824 -5.2071 -4.9505 -4.5541 -4.0894 -3.6589
 -3.3077 -3.0263 -2.7906 -2.5831 -2.3946 -1.9926 -1.6710 -1.4042 -1.1748 -0.9730
 -0.7933
 -5.4698 -5.3421 -5.2194 -5.0971 -4.9664 -4.8117 -4.6073 -4.3040 -3.9244 -3.5464
 -3.2198 -2.9494 -2.7203 -2.5174 -2.3316 -1.9305 -1.6117 -1.3529 -1.1347 -0.9459
 -0.7796 -0.6326
 -5.2104 -5.0472 -4.8987 -4.7577 -4.6176 -4.4695 -4.2975 -4.0681 -3.7661 -3.4435
 -3.1465 -2.8909 -2.6708 -2.4743 -2.2925 -1.8923 -1.5731 -1.3190 -1.1087 -0.9294
