 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -2.3205 -1.8434 -1.4869 -1.2259 -1.0313 -0.7094 -0.4982 -0.3461 -0.2334 -0.1459
 -0.0758 -0.0192
 -5.8280 -5.4533 -5.1303 -4.8675 -4.6655 -4.5080 -4.3449 -4.0498 -3.5592 -2.9678
 -2.3952 -1.9146 -1.5433 -1.2655 -1.0574 -0.7190 -0.5033 -0.3486 -0.2359 -0.1506
 -0.0834 -0.0293  0.0140  0.0486
 -5.7217 -5.3457 -5.0015 -4.6980 -4.4423 -4.2346 -4.0579 -3.8409 -3.4735 -2.9791
 -2.4561 -1.9881 -1.6087 -1.3160 -1.0934 -0.7345 -0.5130 -0.3548 -0.2403 -0.1557
 -0.0905 -0.0388  0.0024  0.0352  0.0611  0.0811  0.0943  0.0991  0.0977  0.0905
 -5.3617 -5.0679 -4.7867 -4.5147 -4.2573 -4.0201 -3.8067 -3.6055 -3.3359 -2.9462
 -2.4917 -2.0520 -1.6753 -1.3724 -1.1371 -0.7548 -0.5260 -0.3642 -0.2464 -0.1609
 -0.0969 -0.0472 -0.0082  0.0224  0.0464  0.0654  0.0790  0.0862  0.0866  0.0805
  0.0687
 -4.9945 -4.6348 -4.3554 -4.1374 -3.9512 -3.7712 -3.5821 -3.3771 -3.1523 -2.8568
 -2.4852 -2.0924 -1.7322 -1.4288 -1.1847 -0.7795 -0.5413 -0.3758 -0.2543 -0.1664
 -0.1023 -0.0542 -0.0172  0.0111  0.0325  0.0489  0.0608  0.0684  0.0714  0.0678
  0.0573
 -4.8673 -4.4402 -4.0717 -3.7786 -3.5527 -3.3744 -3.2206 -3.0693 -2.8950 -2.6747
 -2.3963 -2.0792 -1.7605 -1.4720 -1.2280 -0.8054 -0.5565 -0.3875 -0.2626 -0.1714
 -0.1061 -0.0587 -0.0237  0.0021  0.0209  0.0342  0.0435  0.0493  0.0521  0.0505
  0.0431
 -4.9310 -4.4358 -4.0056 -3.6370 -3.3345 -3.0932 -2.8981 -2.7287 -2.5641 -2.3867
 -2.1816 -1.9451 -1.7036 -1.4711 -1.2566 -0.8376 -0.5764 -0.4024 -0.2742 -0.1791
 -0.1110 -0.0631 -0.0291 -0.0052  0.0110  0.0213  0.0273  0.0303  0.0309  0.0286
  0.0236
 -5.0744 -4.5509 -4.0726 -3.6464 -3.2801 -2.9733 -2.7202 -2.5089 -2.3234 -2.1470
 -1.9613 -1.7660 -1.5671 -1.3773 -1.2068 -0.8573 -0.5979 -0.4183 -0.2870 -0.1882
 -0.1165 -0.0666 -0.0326 -0.0101  0.0040  0.0114  0.0140  0.0135  0.0110  0.0067
 -0.0012
 -5.2293 -4.7056 -4.2048 -3.7447 -3.3321 -2.9724 -2.6660 -2.4071 -2.1867 -1.9927
 -1.8119 -1.6347 -1.4590 -1.2914 -1.0786 -0.8645 -0.6210 -0.4352 -0.3010
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  V   
 -6.4816 -6.3671 -6.2816 -6.1736 -5.9923 -5.6969 -5.2550 -4.6408 -3.8764 -3.1125
 -2.4213 -1.9037 -1.5382 -1.2769 -1.0823 -0.7547 -0.5358 -0.3729 -0.2413
 -6.1814 -6.0275 -6.0719 -6.1651 -6.1612 -5.9421 -5.4131 -4.6007 -3.8188 -3.0664
 -2.3990 -1.8887 -1.5210 -1.2560 -1.0590 -0.7307 -0.5146 -0.3563 -0.2339 -0.1349
 -5.9630 -5.7513 -5.6089 -5.5248 -5.4703 -5.3926 -5.1754 -4.5878 -3.8265 -3.0960
 -2.4432 -1.9275 -1.5457 -1.2680 -1.0618 -0.7237 -0.5057 -0.3486 -0.2301 -0.1361
 -0.0596
 -5.8251 -5.5500 -5.3430 -5.2037 -5.1153 -5.0363 -4.8852 -4.4914 -3.8453 -3.1559
 -2.5207 -1.9959 -1.5980 -1.3026 -1.0828 -0.7281 -0.5055 -0.3470 -0.2299 -0.1392
 -0.0662 -0.0070
 -5.7542 -5.4202 -5.1518 -4.9453 -4.8020 -4.6989 -4.5807 -4.3204 -3.8343 -3.2134
 -2.6077 -2.0821 -1.6685 -1.3541 -1.1179 -0.7407 -0.5115 -0.3499 -0.2322 -0.1432
 -0.0730 -0.0163  0.0293  0.0656
 -5.7123 -5.3437 -5.0265 -4.7605 -4.5529 -4.3997 -4.2747 -4.0973 -3.7524 -3.2445
 -2.6854 -2.1720 -1.7491 -1.4178 -1.1647 -0.7604 -0.5224 -0.3567 -0.2366 -0.1478
 -0.0794 -0.0251  0.0185  0.0532  0.0806  0.1009  0.1136  0.1174  0.1150  0.1062
 -5.5055 -5.1883 -4.8901 -4.6127 -4.3682 -4.1627 -3.9966 -3.8432 -3.6046 -3.2212
 -2.7376 -2.2537 -1.8308 -1.4881 -1.2202 -0.7862 -0.5369 -0.3667 -0.2431 -0.1529
 -0.0853 -0.0328  0.0088  0.0416  0.0673  0.0873  0.1008  0.1071  0.1059  0.0985
  0.0851
 -5.0682 -4.7844 -4.5575 -4.3544 -4.1554 -3.9597 -3.7710 -3.5937 -3.4057 -3.1280
 -2.7434 -2.3120 -1.9060 -1.5594 -1.2806 -0.8178 -0.5544 -0.3795 -0.2519 -0.1587
 -0.0907 -0.0394  0.0004  0.0312  0.0549  0.0728  0.0851  0.0925  0.0938  0.0880
  0.0760
 -4.8473 -4.4690 -4.1636 -3.9324 -3.7582 -3.6171 -3.4861 -3.3457 -3.1810 -2.9652
 -2.6757 -2.3189 -1.9508 -1.6170 -1.3358 -0.8510 -0.5727 -0.3924 -0.2612 -0.1646
 -0.0948 -0.0438 -0.0057  0.0231  0.0446  0.0601  0.0703  0.0761  0.0775  0.0740
  0.0641
 -4.8316 -4.3913 -4.0104 -3.6946 -3.4461 -3.2561 -3.1076 -2.9816 -2.8620 -2.7148
 -2.5115 -2.2509 -1.9549 -1.6591 -1.3896 -0.8921 -0.5967 -0.4091 -0.2744 -0.1737
 -0.1006 -0.0485 -0.0111  0.0161  0.0355  0.0486  0.0563  0.0597  0.0595  0.0569
  0.0484
 -4.9407 -4.4612 -4.0245 -3.6438 -3.3235 -3.0623 -2.8537 -2.6847 -2.5386 -2.3967
 -2.2399 -2.0491 -1.8305 -1.6043 -1.3863 -0.9304 -0.6236 -0.4273 -0.2888 -0.1847
 -0.1078 -0.0531 -0.0152  0.0110  0.0287  0.0395  0.0445  0.0450  0.0423  0.0367
  0.0284
 -5.1066 -4.6071 -4.1389 -3.7134 -3.3368 -3.0151 -2.7456 -2.5223 -2.3350 -2.1698
 -2.0112 -1.8459 -1.6678 -1.4833 -1.3259 -0.9659 -0.6534 -0.4470 -0.3044
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.3688 -6.3190 -5.9561 -5.4947 -5.0873 -4.8078 -4.6984 -4.6743 -4.0009 -3.3020
 -2.6040 -2.0413 -1.6353 -1.3430 -1.1278 -0.7733 -0.5450 -0.3762 -0.2436
 -6.0822 -6.0002 -5.9841 -6.3767 -6.4016 -6.0944 -5.4864 -4.6836 -3.9650 -3.2611
 -2.5864 -2.0351 -1.6275 -1.3305 -1.1106 -0.7530 -0.5259 -0.3615 -0.2346 -0.1328
 -5.8523 -5.7101 -5.6464 -5.6203 -5.6033 -5.5693 -5.3831 -4.7318 -3.9891 -3.2942
 -2.6357 -2.0835 -1.6627 -1.3519 -1.1204 -0.7488 -0.5184 -0.3546 -0.2314 -0.1337
 -0.0535
 -5.7056 -5.4955 -5.3564 -5.2812 -5.2463 -5.2092 -5.0953 -4.7135 -4.0419 -3.3564
 -2.7149 -2.1635 -1.7266 -1.3975 -1.1499 -0.7561 -0.5191 -0.3532 -0.2310 -0.1362
 -0.0596  0.0028
 -5.6229 -5.3480 -5.1370 -4.9946 -4.9117 -4.8589 -4.7808 -4.5546 -4.0563 -3.4303
 -2.8091 -2.2581 -1.8093 -1.4600 -1.1949 -0.7725 -0.5260 -0.3562 -0.2329 -0.1396
 -0.0656 -0.0057  0.0426  0.0809
 -5.5890 -5.2672 -4.9950 -4.7818 -4.6323 -4.5360 -4.4583 -4.3187 -3.9937 -3.4708
 -2.9002 -2.3584 -1.9020 -1.5361 -1.2525 -0.7973 -0.5380 -0.3633 -0.2370 -0.1436
 -0.0713 -0.0137  0.0327  0.0696  0.0985  0.1200  0.1329  0.1365  0.1335  0.1233
 -5.5027 -5.1818 -4.8928 -4.6367 -4.4269 -4.2687 -4.1549 -4.0461 -3.8386 -3.4603
 -2.9610 -2.4528 -1.9964 -1.6189 -1.3195 -0.8297 -0.5544 -0.3740 -0.2437 -0.1484
 -0.0767 -0.0208  0.0237  0.0589  0.0866  0.1076  0.1218  0.1284  0.1264  0.1180
  0.1029
 -5.1542 -4.9187 -4.6887 -4.4654 -4.2553 -4.0655 -3.9037 -3.7709 -3.6220 -3.3675
 -2.9763 -2.5232 -2.0827 -1.7025 -1.3916 -0.8690 -0.5749 -0.3874 -0.2530 -0.1543
 -0.0818 -0.0269  0.0158  0.0494  0.0755  0.0952  0.1088  0.1163  0.1171  0.1098
  0.0965
 -4.8161 -4.5062 -4.2691 -4.0924 -3.9481 -3.8126 -3.6736 -3.5298 -3.3846 -3.1945
 -2.9148 -2.5410 -2.1398 -1.7705 -1.4575 -0.9105 -0.5970 -0.4017 -0.2632 -0.1608
 -0.0860 -0.0311  0.0103  0.0420  0.0662  0.0842  0.0962  0.1031  0.1043  0.0991
  0.0871
 -4.7221 -4.3394 -4.0150 -3.7577 -3.5629 -3.4204 -3.3107 -3.2154 -3.1178 -2.9832
 -2.7815 -2.5046 -2.1702 -1.8317 -1.5254 -0.9606 -0.6262 -0.4203 -0.2774 -0.1710
 -0.0926 -0.0360  0.0051  0.0354  0.0579  0.0740  0.0841  0.0890  0.0890  0.0843
  0.0747
 -4.7803 -4.3479 -3.9628 -3.6324 -3.3608 -3.1473 -2.9842 -2.8571 -2.7516 -2.6489
 -2.5259 -2.3472 -2.1082 -1.8360 -1.5640 -1.0107 -0.6591 -0.4413 -0.2933 -0.1833
 -0.1010 -0.0415  0.0006  0.0303  0.0513  0.0655  0.0736  0.0763  0.0745  0.0685
  0.0586
 -4.9289 -4.4669 -4.0397 -3.6555 -3.3225 -3.0419 -2.8132 -2.6294 -2.4794 -2.3490
 -2.2231 -2.0832 -1.9183 -1.7220 -1.5733 -1.0608 -0.6957 -0.4647 -0.3109
