 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  J   
  1.1782  1.0947  1.0099  0.9251  0.8407  0.7567  0.6725  0.5880  0.5023  0.4161
  0.3326
  2.1162  2.0903  2.0646  2.0387  2.0110  1.9792  1.9426  1.9007  1.8532  1.8028
  1.7543  1.7101  1.6706  1.6347  1.6021  1.5359  1.4750  1.4078  1.3347  1.2568
  1.1754  1.0918  1.0068  0.9217  0.8373  0.7539  0.6710  0.5885  0.5057  0.4220
  0.3375
  2.1139  2.0828  2.0516  2.0207  1.9900  1.9585  1.9249  1.8882  1.8478  1.8044
  1.7599  1.7165  1.6765  1.6410  1.6095  1.5399  1.4757  1.4073  1.3333  1.2551
  1.1734  1.0893  1.0038  0.9179  0.8328  0.7490  0.6664  0.5847  0.5036  0.4225
  0.3406
  2.1186  2.0855  2.0511  2.0162  1.9814  1.9471  1.9128  1.8777  1.8408  1.8018
  1.7616  1.7217  1.6835  1.6481  1.6159  1.5462  1.4795  1.4097  1.3351  1.2565
  1.1747  1.0903  1.0043  0.9176  0.8314  0.7468  0.6637  0.5822  0.5019  0.4223
  0.3428
  2.1269  2.0920  2.0560  2.0193  1.9820  1.9447  1.9079  1.8719  1.8359  1.7995
  1.7625  1.7253  1.6889  1.6544  1.6222  1.5513  1.4853  1.4141  1.3386  1.2596
