 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  2.5348  2.5068  2.4787  2.4507  2.4239  2.3427  2.2111  2.0517  1.8958  1.7462
  1.6026  1.4641  1.3304  1.2012  1.0768  0.9569  0.8412  0.7293  0.6207  0.5152
  0.4124
  2.7466  2.7561  2.7534  2.7398  2.7170  2.6874  2.6535  2.6177  2.5814  2.5461
  2.5123  2.4797  2.4474  2.4142  2.3802  2.2949  2.1894  2.0497  1.8962  1.7472
  1.6041  1.4662  1.3330  1.2040  1.0792  0.9590  0.8430  0.7313  0.6232  0.5184
  0.4166
  2.6060  2.6364  2.6559  2.6625  2.6583  2.6440  2.6217  2.5941  2.5630  2.5297
  2.4955  2.4609  2.4260  2.3903  2.3564  2.2319  2.1492  2.0456  1.8964
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  K   
  3.2641  3.2747  3.2798  3.2769  3.2643  3.2371  3.1933  3.1339  3.0669  2.9895
  2.9143  2.8407  2.7680  2.6968  2.6262  2.4524
  3.1774  3.1918  3.2034  3.2088  3.2047  3.1877  3.1549  3.1053  3.0428  2.9729
  2.8996  2.8255  2.7519  2.6794  2.6080  2.4336  2.2632  2.0960  1.9329
  3.0982  3.1120  3.1262  3.1370  3.1401  3.1323  3.1100  3.0707  3.0173  2.9538
  2.8845  2.8121  2.7389  2.6660  2.5941  2.4190  2.2496  2.0850  1.9250  1.7698
  1.6183
  3.0265  3.0353  3.0482  3.0615  3.0706  3.0710  3.0586  3.0301  2.9870  2.9322
  2.8690  2.8005  2.7290  2.6566  2.5845  2.4086  2.2394  2.0760  1.9181  1.7651
  1.6162  1.4715  1.3306
  2.9670  2.9664  2.9740  2.9857  2.9972  3.0037  3.0002  2.9823  2.9498  2.9049
  2.8501  2.7878  2.7202  2.6496  2.5780  2.4016  2.2321  2.0693  1.9125  1.7610
  1.6141  1.4715  1.3329  1.1980  1.0667
  2.9310  2.9116  2.9075  2.9137  2.9240  2.9329  2.9356  2.9272  2.9050  2.8703
  2.8251  2.7709  2.7096  2.6429  2.5731  2.3972  2.2273  2.0645  1.9082  1.7577
  1.6121  1.4711  1.3346  1.2020  1.0730  0.9472
  2.9352  2.8911  2.8609  2.8486  2.8513  2.8610  2.8681  2.8667  2.8535  2.8283
  2.7925  2.7475  2.6943  2.6339  2.5680  2.3945  2.2244  2.0614  1.9053  1.7553
  1.6105  1.4706  1.3354  1.2045  1.0774  0.9535  0.8327  0.7151  0.6011  0.4923
  2.9455  2.8971  2.8528  2.8172  2.7945  2.7848  2.7845  2.7880  2.7875  2.7767
  2.7529  2.7172  2.6725  2.6200  2.5604  2.3927  2.2229  2.0598  1.9036  1.7537
  1.6095  1.4702  1.3359  1.2061  1.0804  0.9582  0.8393  0.7234  0.6106  0.5012
  0.3964
  2.9488  2.9024  2.8563  2.8129  2.7749  2.7454  2.7251  2.7112  2.6997  2.6893
