 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  2.4525  2.4545  2.4484  2.4330  2.4132  2.3903  2.3654  2.3395  2.3136  2.2882
  2.2636  2.2395  2.2161  2.1942  2.1757  2.1287  2.0350  1.9041  1.7649  1.6298
  1.4998  1.3738  1.2504  1.1289  1.0098  0.8935  0.7802  0.6698  0.5621  0.4569
  0.3522
  2.3723  2.3868  2.3926  2.3905  2.3811  2.3665  2.3479  2.3263  2.3023  2.2764
  2.2493  2.2214  2.1932  2.1648  2.1370  2.0740  1.9974  1.8871  1.7566  1.6237
  1.4948  1.3706  1.2497  1.1308  1.0136  0.8986  0.7862  0.6767  0.5700  0.4659
  0.3642
  2.2656  2.2926  2.3111  2.3216  2.3243  2.3207  2.3116  2.2979  2.2800  2.2584
  2.2337  2.2063  2.1769  2.1462  2.1291  2.0192  1.9444  1.8619  1.7466
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  H   
  2.9442  2.9565  2.9593  2.9524  2.9352  2.9068  2.8677  2.8187  2.7661  2.7044
  2.6460  2.5889  2.5324  2.4767  2.4208  2.2772
  2.8852  2.9080  2.9209  2.9230  2.9133  2.8916  2.8579  2.8129  2.7599  2.7028
  2.6441  2.5855  2.5276  2.4702  2.4128  2.2670  2.1192  1.9686  1.8166
  2.8208  2.8507  2.8718  2.8824  2.8809  2.8670  2.8402  2.8010  2.7526  2.6984
  2.6410  2.5823  2.5237  2.4652  2.4067  2.2589  2.1100  1.9611  1.8121  1.6646
  1.5196
  2.7510  2.7846  2.8120  2.8306  2.8380  2.8330  2.8146  2.7830  2.7408  2.6912
  2.6367  2.5793  2.5207  2.4617  2.4025  2.2529  2.1030  1.9546  1.8075  1.6626
  1.5204  1.3811  1.2448
  2.6758  2.7118  2.7444  2.7696  2.7849  2.7886  2.7794  2.7567  2.7220  2.6786
  2.6288  2.5745  2.5174  2.4588  2.3994  2.2489  2.0979  1.9494  1.8035  1.6603
  1.5202  1.3832  1.2492  1.1183  0.9903
