#Teff  logT  BCv    Mv    logL  B-V   Bt-Vt    U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1  Msun   b-y       M_J    M_K    Mbol 
46000 4.663 -4.05  -5.7   5.80 -0.32  ...     -1.22    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.75
43000 4.633 -3.92  -5.5   5.67 -0.32  ...     -1.20    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.42
41500 4.618 -3.77  -5.4   5.58 -0.32  ...     -1.19    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -9.20
40000 4.602 -3.65  -5.2   5.46 -0.32  ...     -1.18    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.90
39000 4.591 -3.57  -5.1   5.37 -0.32  ...     -1.17    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.67
37300 4.573 -3.45  -4.9   5.24 -0.32  ...     -1.16    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.35 
36500 4.562 -3.38  -4.8   5.17 -0.32  ...     -1.15    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -8.18 
35000 4.544 -3.26  -4.6   5.05 -0.32  ...     -1.14    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.87 
34500 4.538 -3.22  -4.5   4.99 -0.32  ...     -1.13    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.72 
33000 4.519 -3.13  -4.3   4.87 -0.32  ...     -1.12    ...    .....   .....   .....   .....   ...    ....   .....     ....   ....  -7.43
5590  3.747 -0.15   5.13 -0.11  0.704  0.796   0.227   0.388  0.758   1.691   0.324   0.079   0.028  0.97   ...       3.84   3.44   4.98 
5530  3.743 -0.16   5.18 -0.12  0.713  0.809   0.243   0.393  0.766   1.712   0.329   0.080   0.028  0.96   ...       3.88   3.47   5.02 
5490  3.734 -0.17   5.32 -0.17  0.737  0.842   0.284   0.404  0.786   1.768   0.342   0.082   0.028  0.94   ...       3.97   3.55   5.15 
5340  3.728 -0.21   5.55 -0.25  0.777  0.894   0.358   0.423  0.820   1.861   0.365   0.087   0.029  0.90   ...       4.14   3.69   5.34 
5280  3.723 -0.22   5.76 -0.33  0.816  0.944   0.436   0.443  0.853   1.953   0.387   0.091   0.030  0.87   ...       4.29   3.81   5.54 
5170  3.713 -0.26   5.91 -0.37  0.847  0.982   0.502   0.460  0.883   2.034   0.405   0.094   0.030  0.85   ...       4.47   3.97   5.65 
5040  3.706 -0.29   6.19 -0.47  0.893  1.047   0.600   0.487  0.929   2.155   0.432   0.099   0.031  0.82   ...       4.57   4.04   5.88 
4840  3.685 -0.41   6.57 -0.58  0.990  1.166   0.801   0.544  1.025   2.410   0.490   0.110   0.034  0.78   ...       4.76   4.16   6.16 
4620  3.665 -0.55   7.04 -0.71  1.100  1.306   1.004   0.640  1.190   2.733   0.544   0.125   0.039  0.73   ...       4.98   4.31   6.48 
4450  3.648 -0.67   7.25 -0.75  1.134  1.352   1.056   0.671  1.246   2.835   0.560   0.130   0.041  0.72   ...       5.11   4.42   6.58 
4200  3.623 -0.86   7.88 -0.92  1.257  1.454   1.199   0.771  1.448   3.190   0.605   0.151   0.051  0.70   ...       5.45   4.69   7.07 
4050  3.607 -1.00   8.30 -1.04  1.336  1.538   1.222   0.824  1.574   3.407   0.623   0.168   0.061  0.64   ...       5.68   4.89   7.30 
3970  3.599 -1.11   8.60 -1.12  1.382  1.592   1.213   0.859  1.671   3.554   0.630   0.181   0.069  0.61   ...       5.86   5.05   7.52 
3880  3.589 -1.25   8.96 -1.22  1.418  1.634   1.198   0.900  1.802   3.728   0.624   0.197   0.081  0.59   ...       6.05   5.23   7.77 
3850  3.585 -1.30   9.16 -1.26  1.431  1.650   1.190   0.913  1.848   3.790   0.622   0.203   0.086  0.58   ...       6.14   5.37   7.90 
3680  3.566 -1.53   9.80 -1.42  1.484  ...     1.171   0.974  2.074   4.100   0.608   0.227   0.104  0.52   ...       6.54   5.70   8.27 
3550  3.550 -1.65  10.30 -1.57  1.500  ...     1.170   1.001  2.173   4.240   0.600   0.234   0.110  0.48   ...       6.89   6.06   8.65 
3400  3.531 -1.97  11.14 -1.78  1.544  ...     1.181   1.079  2.420   4.600   0.579   0.252   0.122  0.43   ...       7.40   6.54   9.17 
3200  3.505 -2.59  12.80 -2.20  1.661  ...     1.215   1.241  2.831   5.250   0.557   0.282   0.139  0.24   ...       8.39   7.55  10.21 
3050  3.484 -3.28  14.30 -2.52  1.874  ...     1.433   1.446  3.277   5.942   0.580   0.311   ...    0.15   ...       9.25   8.36  11.02 
2800  3.447 -4.36  16.62 -3.02  2.000  ...     ...     1.950  4.100   7.300   0.605   0.352   ...    0.10   ...      10.28   9.32  12.26 
2650  3.423 -5.06  17.81 -3.21  2.060  ...     ...     2.180  4.520   8.050   0.613   0.386   ...    0.098  ...      10.76   9.76  12.75 
2570  3.410 -5.66  18.75 -3.35  2.130  ...     ...     2.150  4.600   8.700   0.675   0.446   ...    0.082  ...      11.16  10.04  13.09 
2450  3.389 -5.73  19.26 -3.53  ...    ...     ...     1.890  4.370   8.850   0.749   0.481   ...    0.065  ...      11.64  10.41  13.53 
2250  3.352 ...    19.8   ...   ...    ...     ...     ...    4.6     9.3     0.79    0.50    ...    ...    ...      11.67  10.38  ...   
2200  3.342 ...    20.3   ...   ...    ...     ...     ...    4.8     9.6     0.80    0.54    ...    ...    ...      12.37  11.03  ...   
2190  3.340 ...    20.8   ...   ...    ...     ...     ...    4.9     9.9     0.87    0.57    ...    ...    ...      12.61  11.17  ...   
1920  3.283 ...    21.3   ...   ...    ...     ...     ...    5.0     10.2    1.00    0.63    ...    ...    ...      12.82  11.22  ...   
1810  3.258 ...    22.2   ...   ...    ...     ...     ...    5.5     10.8    1.14    0.63    ...    ...    ...      13.14  11.47  ...   
1750  3.243 ...    23.1   ...   ...    ...     ...     ...    6.0     11.4    1.13    0.65    ...    ...    ...      13.55  11.82  ...   
1670  3.223 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.08    0.64    ...    ...    ...      13.95  12.27  ...   
1590  3.201 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.10    0.62    ...    ...    ...      14.26  12.62  ...   
1430  3.155 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.14    0.63    ...    ...    ...      14.43  12.70  ...   
1400  3.146 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.10    0.63    ...    ...    ...      14.44  12.74  ...   
1370  3.137 ...    ...    ...   ...    ...     ...     ...    ...     ...     1.02    0.54    ...    ...    ...      14.34  12.90  ...   
