 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -4.2213 -4.0349 -3.8256 -3.5893 -3.3335 -2.7245 -2.2064 -1.7596 -1.3781 -1.0677
 -0.8323 -0.6674 -0.5549 -0.4756 -0.4166 -0.3698 -0.3307 -0.2954 -0.2610 -0.2265
 -6.7074 -6.2196 -5.8045 -5.4496 -5.1464 -4.8892 -4.6724 -4.4890 -4.3327 -4.1994
 -4.0752 -3.9268 -3.7391 -3.5220 -3.2838 -2.6802 -2.1629 -1.7230 -1.3465 -1.0373
 -0.7991 -0.6302 -0.5168 -0.4400 -0.3860 -0.3461 -0.3150 -0.2892 -0.2662 -0.2440
 -0.2212
 -7.2425 -6.6439 -6.1344 -5.7004 -5.3281 -5.0073 -4.7307 -4.4923 -4.2842 -4.1000
 -3.9343 -3.7847 -3.6381 -3.4668 -3.2613 -2.6826 -2.1577 -1.7172 -1.3412 -1.0285
 -0.7827 -0.6041 -0.4838 -0.4050 -0.3526 -0.3166 -0.2912 -0.2721 -0.2570 -0.2441
 -0.2329
 -7.9167 -7.2098 -6.5935 -6.0637 -5.6082 -5.2161 -4.8757 -4.5804 -4.3223 -4.0944
 -3.8896 -3.7027 -3.5310 -3.3698 -3.2045 -2.7080 -2.1823 -1.7342 -1.3551 -1.0366
 -0.7807 -0.5885 -0.4561 -0.3705 -0.3161 -0.2816 -0.2597 -0.2457 -0.2367 -0.2304
 -0.2263
 -8.6787 -7.8908 -7.1798 -6.5546 -6.0064 -5.5299 -5.1162 -4.7572 -4.4444 -4.1697
 -3.9256 -3.7054 -3.5038 -3.3172 -3.1423 -2.7151 -2.2385 -1.7819 -1.3955 -1.0692
 -0.8010 -0.5921 -0.4420 -0.3427 -0.2807 -0.2432 -0.2219 -0.2106 -0.2059 -0.2053
 -0.2067
 -9.4443 -8.6059 -7.8308 -7.1322 -6.5025 -5.9431 -5.4499 -5.0189 -4.6439 -4.3168
 -4.0289 -3.7725 -3.5409 -3.3287 -3.1320 -2.6958 -2.2803 -1.8475 -1.4527 -1.1174
 -0.8373 -0.6121 -0.4425 -0.3249 -0.2495 -0.2044 -0.1798 -0.1683 -0.1656 -0.1686
 -0.1746
-10.1638 -9.2981 -8.4907 -7.7433 -7.0571 -6.4317 -5.8678 -5.3648 -4.9227 -4.5362
 -4.1984 -3.9007 -3.6351 -3.3952 -3.1736 -2.6501 -2.3077 -1.9310 -1.5267
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  U   
 -6.6967 -6.6961 -6.6968 -6.6916 -6.6749 -6.6381 -6.5732 -6.4737 -6.3352 -6.1594
 -5.9485 -5.7033 -5.4292 -5.1388 -4.8473 -4.1330 -3.4463 -2.7934 -2.1969
 -6.1961 -6.1749 -6.1634 -6.1520 -6.1323 -6.0972 -6.0397 -5.9513 -5.8267 -5.6631
 -5.4587 -5.2154 -4.9416 -4.6544 -4.3674 -3.6844 -3.0496 -2.4688 -1.9618 -1.5415
 -5.8361 -5.7644 -5.7205 -5.6906 -5.6616 -5.6235 -5.5680 -5.4879 -5.3768 -5.2300
 -5.0438 -4.8173 -4.5571 -4.2802 -4.0028 -3.3509 -2.7610 -2.2339 -1.7783 -1.4017
 -1.1126
 -5.7102 -5.5542 -5.4361 -5.3526 -5.2932 -5.2415 -5.1819 -5.1050 -5.0040 -4.8733
 -4.7083 -4.5057 -4.2670 -4.0053 -3.7385 -3.1117 -2.5551 -2.0628 -1.6408 -1.2932
 -1.0242 -0.8298
 -5.7855 -5.5441 -5.3275 -5.1822 -5.0752 -4.9852 -4.9054 -4.8210 -4.7210 -4.5995
 -4.4511 -4.2713 -4.0569 -3.8138 -3.5580 -2.9486 -2.4136 -1.9442 -1.5423 -1.2123
 -0.9552 -0.7694 -0.6385 -0.5427
 -6.0252 -5.6930 -5.3961 -5.1544 -4.9639 -4.8197 -4.7161 -4.6325 -4.5374 -4.4173
 -4.2734 -4.1060 -3.9122 -3.6894 -3.4461 -2.8475 -2.3237 -1.8685 -1.4777 -1.1562
 -0.9045 -0.7208 -0.5937 -0.5045 -0.4387 -0.3866 -0.3429 -0.3037 -0.2659 -0.2278
 -6.4021 -5.9641 -5.5913 -5.2753 -5.0109 -4.7930 -4.6161 -4.4742 -4.3614 -4.2631
 -4.1498 -4.0011 -3.8205 -3.6158 -3.3882 -2.7983 -2.2766 -1.8284 -1.4430 -1.1233
 -0.8710 -0.6841 -0.5550 -0.4674 -0.4063 -0.3611 -0.3258 -0.2964 -0.2704 -0.2452
 -0.2186
 -6.9080 -6.3590 -5.8954 -5.5029 -5.1691 -4.8856 -4.6463 -4.4447 -4.2733 -4.1248
 -3.9936 -3.8710 -3.7346 -3.5642 -3.3619 -2.7926 -2.2667 -1.8191 -1.4350 -1.1124
 -0.8546 -0.6598 -0.5233 -0.4323 -0.3718 -0.3303 -0.3007 -0.2784 -0.2604 -0.2451
 -0.2308
 -7.5918 -6.9124 -6.3334 -5.8429 -5.4274 -5.0733 -4.7700 -4.5096 -4.2853 -4.0894
 -3.9142 -3.7546 -3.6075 -3.4653 -3.3096 -2.8148 -2.2863 -1.8331 -1.4466 -1.1191
 -0.8522 -0.6462 -0.4980 -0.3989 -0.3353 -0.2946 -0.2686 -0.2513 -0.2396 -0.2311
 -0.2246
 -8.4225 -7.6345 -6.9324 -6.3299 -5.8131 -5.3720 -4.9938 -4.6687 -4.3871 -4.1414
 -3.9242 -3.7286 -3.5490 -3.3825 -3.2262 -2.8225 -2.3404 -1.8784 -1.4857 -1.1510
 -0.8726 -0.6517 -0.4871 -0.3739 -0.3013 -0.2568 -0.2307 -0.2160 -0.2086 -0.2056
 -0.2051
 -9.2899 -8.4275 -7.6430 -6.9390 -6.3227 -5.7855 -5.3206 -4.9194 -4.5727 -4.2715
 -4.0074 -3.7730 -3.5615 -3.3679 -3.1884 -2.7887 -2.3845 -1.9448 -1.5431 -1.1996
 -0.9096 -0.6734 -0.4909 -0.3596 -0.2728 -0.2194 -0.1892 -0.1740 -0.1684 -0.1691
 -0.1733
-10.1244 -9.2176 -8.3779 -7.6084 -6.9162 -6.2966 -5.7479 -5.2656 -4.8453 -4.4806
 -4.1631 -3.8843 -3.6364 -3.4131 -3.1962 -2.7134 -2.4186 -2.0323 -1.6188
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  U   
 -6.6954 -6.7063 -6.7121 -6.7068 -6.6857 -6.6406 -6.5636 -6.4499 -6.3026 -6.1308
 -5.9424 -5.7299 -5.4906 -5.2286 -4.9542 -4.2564 -3.5781 -2.9357 -2.3494
 -6.1744 -6.1746 -6.1751 -6.1688 -6.1495 -6.1117 -6.0495 -5.9555 -5.8273 -5.6684
