 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
 -0.1860 -0.0043  0.1273  0.2244  0.2923  0.3348  0.3557  0.3663  0.3786  0.3957
  0.4150  0.4353  0.4578  0.4842  0.5139  0.5809  0.6258  0.6503  0.6556  0.6449
  0.6219  0.5907  0.5552  0.5164  0.4745  0.4294  0.3803  0.3267  0.2695  0.2134
 -0.1602  0.0141  0.1527  0.2594  0.3386  0.3951  0.4330  0.4558  0.4647  0.4627
  0.4596  0.4643  0.4780  0.4975  0.5208  0.5812  0.6235  0.6462  0.6509  0.6401
  0.6171  0.5855  0.5492  0.5102  0.4689  0.4252  0.3785  0.3289  0.2752  0.2176
  0.1603
 -0.1550  0.0186  0.1588  0.2685  0.3523  0.4149  0.4602  0.4921  0.5133  0.5259
  0.5301  0.5271  0.5230  0.5253  0.5366  0.5847  0.6240  0.6450  0.6491  0.6383
  0.6152  0.5830  0.5452  0.5050  0.4634  0.4201  0.3748  0.3274  0.2774  0.2236
  0.1655
 -0.1408  0.0269  0.1640  0.2729  0.3572  0.4216  0.4705  0.5074  0.5346  0.5542
  0.5681  0.5772  0.5810  0.5801  0.5788  0.5951  0.6281  0.6470  0.6503  0.6393
  0.6161  0.5831  0.5436  0.5012  0.4580  0.4140  0.3690  0.3227  0.2748  0.2244
  0.1705
 -0.1154  0.0419  0.1739  0.2791  0.3618  0.4258  0.4755  0.5147  0.5455  0.5696
  0.5882  0.6026  0.6136  0.6212  0.6250  0.6260  0.6368  0.6521  0.6545  0.6437
  0.6208  0.5875  0.5466  0.5018  0.4559  0.4102  0.3643  0.3182  0.2713  0.2231
  0.1727
 -0.0828  0.0663  0.1909  0.2927  0.3722  0.4346  0.4835  0.5226  0.5545  0.5809
  0.6024  0.6196  0.6335  0.6447  0.6535  0.6623  0.6609  0.6619  0.6618  0.6508
  0.6284  0.5953  0.5537  0.5067  0.4578  0.4093  0.3613  0.3140  0.2668  0.2193
  0.1710
 -0.0514  0.0900  0.2104  0.3100  0.3884  0.4494  0.4973  0.5357  0.5672  0.5936
  0.6160  0.6346  0.6500  0.6624  0.6643  0.7040  0.7004  0.6764  0.6722
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  I   
 -1.1623 -1.0218 -0.8938 -0.7665 -0.6267 -0.4608 -0.2575 -0.0308  0.1395  0.2499
  0.3254  0.3858  0.4386  0.4859  0.5283  0.6151  0.6780  0.7182  0.7332
 -0.9273 -0.7781 -0.6515 -0.5366 -0.4221 -0.2936 -0.1341  0.0365  0.1725  0.2666
  0.3343  0.3895  0.4389  0.4837  0.5241  0.6055  0.6637  0.6994  0.7113  0.7020
 -0.7552 -0.5940 -0.4624 -0.3518 -0.2523 -0.1520 -0.0346  0.0939  0.2030  0.2838
  0.3440  0.3940  0.4397  0.4822  0.5209  0.5984  0.6525  0.6847  0.6949  0.6861
  0.6628
 -0.6164 -0.4522 -0.3162 -0.2045 -0.1109 -0.0278  0.0575  0.1522  0.2380  0.3055
  0.3576  0.4014  0.4425  0.4819  0.5188  0.5930  0.6437  0.6733  0.6822  0.6737
  0.6516  0.6204
 -0.4246 -0.2822 -0.1722 -0.0773  0.0071  0.0807  0.1465  0.2144  0.2795  0.3338
  0.3771  0.4138  0.4489  0.4840  0.5183  0.5894  0.6371  0.6646  0.6725  0.6640
  0.6427  0.6124  0.5765  0.5363
 -0.3156 -0.1414 -0.0090  0.0876  0.1549  0.2017  0.2410  0.2825  0.3269  0.3680
  0.4026  0.4323  0.4606  0.4900  0.5205  0.5875  0.6328  0.6584  0.6655  0.6568
  0.6360  0.6061  0.5705  0.5312  0.4884  0.4420  0.3915  0.3366  0.2785  0.2220
 -0.2782 -0.0903  0.0591  0.1744  0.2603  0.3225  0.3649  0.3907  0.4059  0.4187
  0.4354  0.4559  0.4780  0.5013  0.5265  0.5878  0.6307  0.6545  0.6609  0.6521
  0.6314  0.6017  0.5659  0.5264  0.4842  0.4393  0.3914  0.3401  0.2849  0.2265
  0.1691
