 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.9465 -1.8109 -1.6796 -1.5467 -1.4116 -1.2792 -1.1529 -1.0361 -0.9310 -0.8375
 -0.7543 -0.6800 -0.6132 -0.5531 -0.4920 -0.3693 -0.3041 -0.2215 -0.1470
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.9347 -2.9041 -2.8656 -2.8116 -2.7093 -2.5477 -2.3234 -2.0341 -1.7005 -1.4063
 -1.1712 -0.9893 -0.8498 -0.7402 -0.6506 -0.4762 -0.3430 -0.2358 -0.1472
 -2.7122 -2.6696 -2.6269 -2.5758 -2.5049 -2.3965 -2.2207 -1.9450 -1.6480 -1.3739
 -1.1466 -0.9670 -0.8276 -0.7179 -0.6287 -0.4572 -0.3275 -0.2249 -0.1425 -0.0752
 -2.5214 -2.4638 -2.4123 -2.3603 -2.2993 -2.2159 -2.0841 -1.8665 -1.6106 -1.3603
 -1.1413 -0.9625 -0.8208 -0.7089 -0.6183 -0.4468 -0.3187 -0.2188 -0.1399 -0.0764
 -0.0248
 -2.3687 -2.2934 -2.2289 -2.1702 -2.1113 -2.0431 -1.9478 -1.7849 -1.5724 -1.3490
 -1.1430 -0.9671 -0.8234 -0.7083 -0.6152 -0.4420 -0.3145 -0.2160 -0.1394 -0.0784
 -0.0294  0.0101
 -2.2520 -2.1603 -2.0811 -2.0114 -1.9470 -1.8823 -1.8076 -1.6924 -1.5234 -1.3313
 -1.1427 -0.9737 -0.8306 -0.7130 -0.6171 -0.4407 -0.3131 -0.2153 -0.1400 -0.0811
 -0.0342  0.0030  0.0326  0.0564
 -2.1271 -2.0365 -1.9559 -1.8809 -1.8102 -1.7419 -1.6718 -1.5873 -1.4601 -1.3011
 -1.1344 -0.9771 -0.8381 -0.7201 -0.6220 -0.4417 -0.3135 -0.2159 -0.1414 -0.0839
 -0.0390 -0.0038  0.0233  0.0445  0.0612  0.0743  0.0836  0.0894  0.0907  0.0862
 -2.0413 -1.9160 -1.8135 -1.7320 -1.6650 -1.6043 -1.5416 -1.4709 -1.3790 -1.2549
 -1.1138 -0.9728 -0.8421 -0.7269 -0.6282 -0.4442 -0.3149 -0.2172 -0.1429 -0.0864
 -0.0431 -0.0100  0.0147  0.0332  0.0471  0.0578  0.0655  0.0703  0.0718  0.0683
  0.0590
 -2.0157 -1.8697 -1.7388 -1.6265 -1.5330 -1.4550 -1.3867 -1.3224 -1.2522 -1.1658
 -1.0629 -0.9504 -0.8367 -0.7298 -0.6339 -0.4478 -0.3169 -0.2187 -0.1443 -0.0883
 -0.0462 -0.0149  0.0075  0.0230  0.0338  0.0416  0.0468  0.0499  0.0505  0.0476
  0.0394
 -2.0140 -1.8597 -1.7149 -1.5824 -1.4650 -1.3638 -1.2762 -1.1969 -1.1199 -1.0385
 -0.9531 -0.8695 -0.7887 -0.7086 -0.6287 -0.4503 -0.3181 -0.2192 -0.1445 -0.0886
 -0.0474 -0.0176  0.0026  0.0153  0.0227  0.0269  0.0289  0.0288  0.0268  0.0230
  0.0176
 -2.0269 -1.8700 -1.7202 -1.5778 -1.4454 -1.3256 -1.2196 -1.1256 -1.0395 -0.9562
 -0.8726 -0.7910 -0.7161 -0.6503 -0.5909 -0.4501 -0.3209 -0.2210 -0.1455 -0.0891
 -0.0480 -0.0191 -0.0003  0.0102  0.0145  0.0151  0.0133  0.0103  0.0062  0.0006
 -0.0066
 -2.0376 -1.8855 -1.7360 -1.5914 -1.4521 -1.3212 -1.2012 -1.0935 -0.9969 -0.9088
 -0.8262 -0.7474 -0.6734 -0.6064 -0.5478 -0.4296 -0.3213 -0.2226 -0.1462 -0.0890
