 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.4095  0.3988  0.3972  0.4030  0.4120  0.4276  0.4257  0.4095  0.3802  0.3397
  0.2904  0.2361  0.1807  0.1256
  0.6005  0.6319  0.6469  0.6453  0.6272  0.5957  0.5579  0.5200  0.4862  0.4568
  0.4327  0.4152  0.4061  0.4055  0.4107  0.4235  0.4201  0.4023  0.3721  0.3310
  0.2815  0.2267  0.1701  0.1137  0.0579  0.0023 -0.0541 -0.1128 -0.1742 -0.2343
  0.5780  0.6103  0.6312  0.6414  0.6404  0.6284  0.6053  0.5712  0.5300  0.4905
  0.4587  0.4360  0.4213  0.4140  0.4137  0.4218  0.4171  0.3980  0.3669  0.3253
  0.2756  0.2201  0.1619  0.1036  0.0462 -0.0104 -0.0666 -0.1236 -0.1826 -0.2445
 -0.3055
  0.5643  0.5932  0.6127  0.6244  0.6286  0.6253  0.6145  0.5963  0.5714  0.5408
  0.5069  0.4738  0.4474  0.4307  0.4229  0.4229  0.4167  0.3963  0.3645  0.3227
  0.2725  0.2163  0.1564  0.0958  0.0360 -0.0224 -0.0800 -0.1370 -0.1944 -0.2537
 -0.3162
  0.5619  0.5863  0.6017  0.6107  0.6146  0.6139  0.6086  0.5984  0.5833  0.5644
  0.5430  0.5197  0.4949  0.4704  0.4500  0.4278  0.4188  0.3971  0.3643  0.3221
  0.2716  0.2145  0.1530  0.0898  0.0272 -0.0340 -0.0937 -0.1522 -0.2100 -0.2682
 -0.3281
  0.5751  0.5910  0.6017  0.6063  0.6071  0.6052  0.6010  0.5947  0.5856  0.5737
  0.5596  0.5440  0.5278  0.5105  0.4918  0.4479  0.4239  0.4009  0.3673  0.3250
  0.2744  0.2169  0.1543  0.0888  0.0231 -0.0411 -0.1037 -0.1645 -0.2240 -0.2827
 -0.3416
  0.6093  0.6141  0.6155  0.6148  0.6107  0.6052  0.5991  0.5928  0.5859  0.5780
  0.5686  0.5577  0.5458  0.5333  0.5202  0.4808  0.4400  0.4077  0.3730  0.3303
  0.2799  0.2223  0.1591  0.0919  0.0235 -0.0441 -0.1100 -0.1738 -0.2359 -0.2966
 -0.3564
  0.6662  0.6582  0.6490  0.6391  0.6291  0.6183  0.6081  0.5991  0.5910  0.5836
  0.5762  0.5679  0.5587  0.5485  0.5352  0.5265  0.4671  0.4175  0.3814
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = F098M
  0.1939  0.1911  0.1902  0.1972  0.2192  0.2563  0.3066  0.3608  0.3904  0.4028
  0.4113  0.4219  0.4355  0.4498  0.4633  0.4852  0.4897  0.4811  0.4607
  0.3269  0.3209  0.3113  0.3044  0.3050  0.3173  0.3435  0.3739  0.3917  0.3981
  0.4018  0.4085  0.4192  0.4318  0.4439  0.4630  0.4655  0.4550  0.4324  0.3965
  0.4342  0.4314  0.4192  0.4036  0.3902  0.3834  0.3869  0.3972  0.4031  0.4028
  0.4014  0.4033  0.4102  0.4204  0.4312  0.4484  0.4490  0.4364  0.4118  0.3751
  0.3283
  0.5111  0.5170  0.5088  0.4915  0.4706  0.4508  0.4366  0.4298  0.4238  0.4160
