 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  1.5373  1.4053  1.2766  1.1508  1.0279  0.9080  0.7909  0.6769  0.5657  0.4574
  0.3527
  2.6623  2.6284  2.5956  2.5653  2.5393  2.5183  2.5012  2.4853  2.4688  2.4530
  2.4422  2.4384  2.4354  2.4209  2.3887  2.2551  2.1046  1.9556  1.8111  1.6718
  1.5368  1.4056  1.2777  1.1530  1.0312  0.9122  0.7960  0.6826  0.5722  0.4646
  0.3599
  2.6762  2.6431  2.6088  2.5740  2.5400  2.5078  2.4782  2.4508  2.4243  2.3973
  2.3707  2.3467  2.3292  2.3190  2.3107  2.2425  2.1057  1.9577  1.8133  1.6740
  1.5394  1.4089  1.2821  1.1584  1.0376  0.9197  0.8046  0.6923  0.5828  0.4759
  0.3718
  2.6791  2.6505  2.6185  2.5842  2.5480  2.5111  2.4745  2.4392  2.4050  2.3715
  2.3383  2.3054  2.2743  2.2472  2.2261  2.1846  2.0965  1.9588  1.8152  1.6760
  1.5418  1.4120  1.2862  1.1636  1.0440  0.9272  0.8129  0.7016  0.5929  0.4870
  0.3836
  2.6632  2.6427  2.6169  2.5864  2.5528  2.5158  2.4774  2.4385  2.3997  2.3616
  2.3240  2.2866  2.2497  2.2141  2.1349  2.0814  2.0770  1.9589  1.8168
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  H   
  3.0242  3.0200  3.0061  2.9818  2.9468  2.9009  2.8445  2.7795  2.7114  2.6434
  2.5769  2.5126  2.4509  2.3916  2.3342  2.1979  2.0683  1.9394  1.8049
  2.9907  2.9941  2.9876  2.9706  2.9426  2.9031  2.8521  2.7913  2.7252  2.6578
  2.5910  2.5259  2.4630  2.4023  2.3433  2.2018  2.0674  1.9362  1.8019  1.6631
  2.9481  2.9581  2.9594  2.9507  2.9310  2.8997  2.8563  2.8015  2.7389  2.6730
  2.6064  2.5407  2.4769  2.4148  2.3544  2.2082  2.0686  1.9341  1.7994  1.6623
  1.5243
  2.9003  2.9147  2.9223  2.9212  2.9101  2.8878  2.8533  2.8064  2.7493  2.6862
  2.6208  2.5551  2.4906  2.4275  2.3658  2.2159  2.0717  1.9335  1.7977  1.6616
  1.5255  1.3907
  2.8190  2.8638  2.8773  2.8830  2.8796  2.8658  2.8407  2.8030  2.7532  2.6950
  2.6321  2.5673  2.5027  2.4390  2.3765  2.2239  2.0761  1.9344  1.7971  1.6613
  1.5266  1.3935  1.2627  1.1343
  2.7241  2.7680  2.8074  2.8298  2.8378  2.8335  2.8173  2.7892  2.7483  2.6968
  2.6382  2.5758  2.5120  2.4483  2.3854  2.2314  2.0812  1.9367  1.7976  1.6618
  1.5280  1.3962  1.2669  1.1401  1.0160  0.8946  0.7758  0.6598  0.5482  0.4426
  2.6557  2.6505  2.6648  2.6942  2.7306  2.7594  2.7693  2.7587  2.7309  2.6891
  2.6373  2.5791  2.5176  2.4548  2.3921  2.2374  2.0861  1.9396  1.7990  1.6629
  1.5297  1.3991  1.2711  1.1457  1.0228  0.9027  0.7853  0.6705  0.5586  0.4509
  0.3487
  2.6501  2.6245  2.6076  2.6028  2.6087  2.6202  2.6345  2.6482  2.6535  2.6441
  2.6162  2.5718  2.5173  2.4577  2.3963  2.2421  2.0903  1.9427  1.8008  1.6642
  1.5315  1.4019  1.2753  1.1512  1.0296  0.9104  0.7939  0.6802  0.5693  0.4612
  0.3570
  2.6626  2.6299  2.6005  2.5764  2.5595  2.5493  2.5424  2.5352  2.5268  2.5184
  2.5109  2.5003  2.4793  2.4427  2.3926  2.2441  2.0923  1.9439  1.8009  1.6636
  1.5310  1.4021  1.2764  1.1535  1.0331  0.9151  0.7995  0.6865  0.5763  0.4689
  0.3643
  2.6811  2.6463  2.6118  2.5790  2.5492  2.5232  2.5009  2.4805  2.4593  2.4361
  2.4125  2.3917  2.3755  2.3615  2.3425  2.2425  2.0959  1.9475  1.8039  1.6662
  1.5337  1.4053  1.2805  1.1587  1.0396  0.9229  0.8085  0.6966  0.5873  0.4806
  0.3765
  2.6971  2.6631  2.6280  2.5918  2.5559  2.5212  2.4881  2.4569  2.4266  2.3960
  2.3644  2.3323  2.3021  2.2762  2.2555  2.2014  2.0950  1.9509  1.8073  1.6691
  1.5366  1.4086  1.2846  1.1639  1.0459  0.9304  0.8171  0.7062  0.5979  0.4920
  0.3887
  2.7013  2.6721  2.6393  2.6041  2.5670  2.5285  2.4899  2.4518  2.4144  2.3777
  2.3411  2.3041  2.2673  2.2318  2.1316  2.1208  2.0896  1.9541  1.8111
