 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
  0.6455  0.6145  0.5766  0.5350  0.4912  0.4455  0.3972  0.3465  0.2931  0.2363
  0.1759
 -0.2122 -0.1002  0.0010  0.0925  0.1759  0.2512  0.3172  0.3715  0.4138  0.4446
  0.4644  0.4770  0.4908  0.5092  0.5313  0.5878  0.6342  0.6639  0.6740  0.6669
  0.6462  0.6151  0.5764  0.5333  0.4882  0.4419  0.3940  0.3447  0.2934  0.2393
  0.1821
 -0.1924 -0.0780  0.0249  0.1157  0.1959  0.2679  0.3328  0.3905  0.4392  0.4789
  0.5102  0.5335  0.5493  0.5598  0.5687  0.5996  0.6398  0.6674  0.6769  0.6702
  0.6500  0.6190  0.5798  0.5352  0.4882  0.4405  0.3920  0.3428  0.2924  0.2401
  0.1866
 -0.1840 -0.0634  0.0431  0.1374  0.2187  0.2887  0.3505  0.4061  0.4555  0.4983
  0.5340  0.5630  0.5859  0.6032  0.6152  0.6329  0.6519  0.6738  0.6824  0.6758
  0.6562  0.6257  0.5863  0.5405  0.4914  0.4414  0.3913  0.3411  0.2907  0.2397
  0.1884
 -0.1898 -0.0596  0.0529  0.1523  0.2387  0.3114  0.3724  0.4253  0.4723  0.5142
  0.5510  0.5821  0.6078  0.6287  0.6451  0.6695  0.6796  0.6865  0.6906
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.7051 -0.5078 -0.3423 -0.2108 -0.0932  0.0084  0.0859  0.1546  0.2172  0.2732
  0.3259  0.3758  0.4221  0.4652  0.5054  0.5947  0.6631  0.7119  0.7439
 -0.6734 -0.5417 -0.3586 -0.2068 -0.0850  0.0188  0.0978  0.1673  0.2294  0.2846
  0.3354  0.3828  0.4268  0.4678  0.5065  0.5916  0.6589  0.7051  0.7271  0.7248
 -0.5822 -0.5416 -0.3834 -0.2189 -0.0839  0.0249  0.1103  0.1796  0.2401  0.2952
  0.3439  0.3889  0.4306  0.4695  0.5062  0.5876  0.6520  0.6951  0.7143  0.7108
  0.6896
 -0.4470 -0.3745 -0.3660 -0.2367 -0.0938  0.0241  0.1174  0.1905  0.2512  0.3055
  0.3527  0.3954  0.4349  0.4717  0.5063  0.5837  0.6457  0.6868  0.7043  0.7003
  0.6800  0.6484
 -0.3445 -0.2249 -0.1794 -0.1900 -0.1037  0.0163  0.1182  0.1985  0.2617  0.3150
  0.3621  0.4032  0.4406  0.4753  0.5078  0.5808  0.6403  0.6800  0.6964  0.6923
  0.6728  0.6422  0.6046  0.5630
 -0.3274 -0.1925 -0.0810 -0.0145 -0.0075  0.0223  0.1132  0.2008  0.2705  0.3252
  0.3721  0.4124  0.4481  0.4808  0.5113  0.5797  0.6361  0.6744  0.6904  0.6863
  0.6673  0.6377  0.6008  0.5595  0.5147  0.4662  0.4130  0.3548  0.2947  0.2363
 -0.3148 -0.1797 -0.0584  0.0433  0.1167  0.1526  0.1639  0.2050  0.2736  0.3346
  0.3823  0.4229  0.4574  0.4885  0.5171  0.5809  0.6337  0.6705  0.6861  0.6822
  0.6637  0.6348  0.5983  0.5571  0.5130  0.4658  0.4149  0.3603  0.3022  0.2416
  0.1824
 -0.3036 -0.1696 -0.0480  0.0590  0.1503  0.2223  0.2717  0.2987  0.3151  0.3462
  0.3927  0.4339  0.4686  0.4982  0.5253  0.5846  0.6337  0.6684  0.6836  0.6801
  0.6621  0.6334  0.5970  0.5557  0.5114  0.4648  0.4155  0.3637  0.3085  0.2496
  0.1884
 -0.2980 -0.1598 -0.0377  0.0698  0.1635  0.2442  0.3107  0.3619  0.3982  0.4212
  0.4372  0.4570  0.4842  0.5115  0.5367  0.5916  0.6370  0.6692  0.6834  0.6800
  0.6621  0.6335  0.5969  0.5549  0.5098  0.4629  0.4140  0.3631  0.3101  0.2544
  0.1954
 -0.2972 -0.1557 -0.0309  0.0788  0.1732  0.2548  0.3253  0.3851  0.4334  0.4709
  0.4986  0.5177  0.5310  0.5434  0.5576  0.6009  0.6422  0.6720  0.6854  0.6822
  0.6648  0.6364  0.5997  0.5570  0.5108  0.4629  0.4137  0.3632  0.3112  0.2576
  0.2018
 -0.3003 -0.1573 -0.0294  0.0848  0.1828  0.2655  0.3362  0.3975  0.4500  0.4938
  0.5291  0.5567  0.5776  0.5925  0.6029  0.6232  0.6509  0.6775  0.6898  0.6866
  0.6698  0.6418  0.6051  0.5619  0.5144  0.4649  0.4143  0.3632  0.3114  0.2586
  0.2052
 -0.3073 -0.1646 -0.0321  0.0847  0.1886  0.2760  0.3484  0.4096  0.4623  0.5078
  0.5464  0.5782  0.6038  0.6239  0.6726  0.6585  0.6631  0.6857  0.6966
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  I   
