 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -0.8480 -0.6032 -0.4247 -0.3047 -0.2294 -0.1847 -0.1603 -0.1490 -0.1464 -0.1494
 -0.1557
-10.7452 -9.9410 -9.1312 -8.3341 -7.5614 -6.8388 -6.1914 -5.6365 -5.1751 -4.7961
 -4.4805 -4.2063 -3.9549 -3.7129 -3.4754 -2.9293 -2.4710 -2.0392 -1.6110
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = UX   
-11.0398-10.4137 -9.8434 -9.2986 -8.5696 -7.7429 -7.1753 -6.7853 -6.4586 -6.1496
 -5.8571 -5.5749 -5.3025 -5.0374 -4.7762 -4.1247 -3.4641 -2.8026 -2.1847
 -9.7359 -9.4912 -9.1371 -8.7679 -8.3368 -7.6767 -7.0186 -6.5469 -6.1748 -5.8393
 -5.5226 -5.2204 -4.9316 -4.6540 -4.3840 -3.7320 -3.1017 -2.5013 -1.9605 -1.5221
 -8.9920 -8.5286 -8.3775 -8.1982 -7.9394 -7.5713 -6.9932 -6.4255 -5.9943 -5.6272
 -5.2874 -4.9649 -4.6595 -4.3695 -4.0919 -3.4394 -2.8322 -2.2759 -1.7872 -1.3877
 -1.0943
 -8.7353 -8.0570 -7.6672 -7.5081 -7.4213 -7.2374 -6.9201 -6.4220 -5.9128 -5.5037
 -5.1434 -4.8027 -4.4812 -4.1783 -3.8919 -3.2348 -2.6419 -2.1135 -1.6584 -1.2849
 -1.0073 -0.8144
 -8.7143 -7.9048 -7.3483 -7.0003 -6.8040 -6.7080 -6.5882 -6.3342 -5.9254 -5.4616
 -5.0762 -4.7215 -4.3860 -4.0704 -3.7740 -3.1058 -2.5178 -2.0041 -1.5676 -1.2099
 -0.9398 -0.7532 -0.6249 -0.5306
 -8.8782 -7.9563 -7.2634 -6.7801 -6.4532 -6.2267 -6.0666 -5.9425 -5.7648 -5.4580
 -5.0657 -4.7030 -4.3581 -4.0320 -3.7253 -3.0400 -2.4486 -1.9396 -1.5109 -1.1598
