 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -2.8426 -2.6770 -2.5138 -2.3538 -2.2004 -1.8599 -1.5608 -1.3005 -1.0948 -0.9343
 -0.8053 -0.7012 -0.6195 -0.5565 -0.5067 -0.4647 -0.4274 -0.3928 -0.3603 -0.3300
 -0.3021
 -5.2205 -4.8944 -4.6176 -4.3651 -4.1181 -3.8753 -3.6390 -3.4124 -3.2030 -3.0130
 -2.8400 -2.6783 -2.5222 -2.3684 -2.2169 -1.8699 -1.5772 -1.3233 -1.1121
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = BX   
 -6.8055 -6.3888 -5.8902 -5.4198 -4.9835 -4.6069 -4.3061 -4.0430 -3.7990 -3.5686
 -3.3521 -3.1490 -2.9608 -2.7878 -2.6279 -2.2666 -1.9307 -1.6041 -1.2933
 -6.1865 -6.0554 -5.7327 -5.3077 -4.8877 -4.4929 -4.1646 -3.8862 -3.6340 -3.3994
 -3.1786 -2.9720 -2.7812 -2.6070 -2.4476 -2.0974 -1.7849 -1.4917 -1.2184 -0.9746
 -5.8135 -5.5253 -5.4143 -5.1959 -4.8315 -4.4530 -4.0973 -3.7969 -3.5356 -3.2962
 -3.0723 -2.8621 -2.6676 -2.4901 -2.3287 -1.9811 -1.6822 -1.4117 -1.1650 -0.9439
 -0.7556
 -5.6805 -5.2877 -5.0060 -4.8531 -4.7183 -4.4278 -4.0884 -3.7660 -3.4884 -3.2421
 -3.0155 -2.8022 -2.6036 -2.4215 -2.2561 -1.9053 -1.6130 -1.3570 -1.1294 -0.9264
 -0.7513 -0.6048
 -5.6126 -5.2032 -4.8557 -4.5849 -4.3873 -4.2521 -4.0625 -3.7761 -3.4850 -3.2255
 -2.9945 -2.7786 -2.5761 -2.3890 -2.2186 -1.8597 -1.5687 -1.3214 -1.1069 -0.9181
 -0.7545 -0.6167 -0.5006 -0.4003
 -5.5747 -5.1688 -4.8031 -4.4905 -4.2335 -4.0191 -3.8435 -3.6921 -3.4902 -3.2391
 -2.9995 -2.7812 -2.5754 -2.3836 -2.2074 -1.8369 -1.5426 -1.2997 -1.0940 -0.9160
 -0.7623 -0.6324 -0.5233 -0.4292 -0.3459 -0.2701 -0.1998 -0.1360 -0.0811 -0.0414
 -5.5547 -5.1597 -4.7905 -4.4599 -4.1756 -3.9336 -3.7206 -3.5274 -3.3581 -3.1981
 -3.0075 -2.7985 -2.5936 -2.3986 -2.2170 -1.8321 -1.5306 -1.2882 -1.0877 -0.9178
 -0.7724 -0.6495 -0.5470 -0.4593 -0.3819 -0.3119 -0.2486 -0.1901 -0.1356 -0.0890
 -0.0628
 -5.5401 -5.1644 -4.7999 -4.4619 -4.1604 -3.8999 -3.6735 -3.4684 -3.2761 -3.0969
 -2.9343 -2.7762 -2.6044 -2.4220 -2.2414 -1.8427 -1.5306 -1.2848 -1.0867 -0.9219
 -0.7828 -0.6661 -0.5694 -0.4881 -0.4172 -0.3532 -0.2938 -0.2394 -0.1909 -0.1489
 -0.1138
 -5.5283 -5.1682 -4.8165 -4.4794 -4.1687 -3.8927 -3.6522 -3.4402 -3.2455 -3.0597
 -2.8828 -2.7179 -2.5631 -2.4109 -2.2534 -1.8636 -1.5389 -1.2864 -1.0875 -0.9255
 -0.7910 -0.6792 -0.5877 -0.5125 -0.4483 -0.3910 -0.3389 -0.2909 -0.2469 -0.2077
 -0.1730
 -5.5195 -5.1723 -4.8389 -4.5116 -4.1993 -3.9125 -3.6577 -3.4338 -3.2346 -3.0502
 -2.8735 -2.7033 -2.5409 -2.3868 -2.2408 -1.8891 -1.5626 -1.2994 -1.0959 -0.9336
 -0.8009 -0.6919 -0.6039 -0.5334 -0.4754 -0.4251 -0.3799 -0.3383 -0.2998 -0.2646
 -0.2332
 -5.5166 -5.1672 -4.8505 -4.5410 -4.2383 -3.9493 -3.6837 -3.4464 -3.2365 -3.0483
 -2.8738 -2.7065 -2.5441 -2.3866 -2.2359 -1.8979 -1.5910 -1.3215 -1.1095 -0.9438
 -0.8107 -0.7027 -0.6163 -0.5489 -0.4958 -0.4522 -0.4143 -0.3798 -0.3479 -0.3184
 -0.2909
 -5.5282 -5.1589 -4.8462 -4.5553 -4.2701 -3.9907 -3.7239 -3.4771 -3.2548 -3.0566
 -2.8781 -2.7127 -2.5544 -2.4000 -2.2490 -1.9043 -1.6102 -1.3489 -1.1291
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = BX   
 -6.7589 -6.2384 -5.7174 -5.2570 -4.8529 -4.4931 -4.1969 -3.9343 -3.6977 -3.4777
 -3.2713 -3.0776 -2.8975 -2.7315 -2.5786 -2.2367 -1.9237 -1.6201 -1.3227
 -6.3270 -6.0781 -5.6460 -5.1895 -4.7729 -4.3959 -4.0783 -3.8050 -3.5578 -3.3337
 -3.1230 -2.9258 -2.7428 -2.5749 -2.4213 -2.0860 -1.7893 -1.5106 -1.2474 -1.0064
 -5.8325 -5.6683 -5.5144 -5.1570 -4.7512 -4.3687 -4.0256 -3.7346 -3.4790 -3.2488
 -3.0348 -2.8341 -2.6475 -2.4760 -2.3195 -1.9834 -1.6955 -1.4334 -1.1922 -0.9728
 -0.7802
