 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
  0.2290  0.2229  0.2105  0.1960  0.1810  0.1658  0.1497  0.1328  0.1141  0.0915
  0.0648
 -1.6724 -1.4738 -1.3013 -1.1385 -0.9827 -0.8366 -0.7028 -0.5808 -0.4706 -0.3721
 -0.2856 -0.2116 -0.1503 -0.1008 -0.0594  0.0296  0.1076  0.1672  0.2075  0.2299
  0.2360  0.2286  0.2127  0.1933  0.1736  0.1543  0.1352  0.1163  0.0968  0.0761
  0.0527
 -1.7190 -1.4892 -1.3094 -1.1489 -0.9976 -0.8533 -0.7187 -0.5956 -0.4836 -0.3820
 -0.2909 -0.2111 -0.1428 -0.0863 -0.0394  0.0505  0.1217  0.1778  0.2167  0.2393
  0.2460  0.2385  0.2205  0.1969  0.1720  0.1477  0.1242  0.1018  0.0799  0.0579
  0.0356
 -1.8166 -1.5317 -1.3286 -1.1625 -1.0130 -0.8724 -0.7390 -0.6146 -0.5008 -0.3973
 -0.3035 -0.2194 -0.1458 -0.0830 -0.0307  0.0663  0.1364  0.1906  0.2282
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.3691 -2.0846 -1.7979 -1.5429 -1.3125 -1.1041 -0.9440 -0.8141 -0.7038 -0.6006
 -0.5049 -0.4152 -0.3310 -0.2521 -0.1786 -0.0191  0.1031  0.1912  0.2500
 -2.1547 -2.0378 -1.7878 -1.5276 -1.2946 -1.0835 -0.9129 -0.7781 -0.6642 -0.5629
 -0.4697 -0.3828 -0.3014 -0.2255 -0.1549 -0.0044  0.1085  0.1880  0.2406  0.2728
 -1.8654 -1.8062 -1.7409 -1.5294 -1.2957 -1.0850 -0.9021 -0.7568 -0.6388 -0.5375
 -0.4463 -0.3620 -0.2835 -0.2104 -0.1426  0.0013  0.1085  0.1833  0.2324  0.2622
  0.2779
 -1.7846 -1.5903 -1.4918 -1.4556 -1.3014 -1.0972 -0.9097 -0.7502 -0.6234 -0.5196
 -0.4294 -0.3472 -0.2712 -0.2007 -0.1355  0.0029  0.1060  0.1779  0.2247  0.2528
  0.2671  0.2728
 -1.7626 -1.5403 -1.3552 -1.2283 -1.1691 -1.0878 -0.9246 -0.7597 -0.6196 -0.5079
 -0.4162 -0.3351 -0.2610 -0.1929 -0.1300  0.0032  0.1029  0.1728  0.2181  0.2449
  0.2580  0.2623  0.2616  0.2570
 -1.7585 -1.5330 -1.3287 -1.1541 -1.0170 -0.9214 -0.8588 -0.7634 -0.6293 -0.5054
 -0.4063 -0.3246 -0.2516 -0.1852 -0.1243  0.0042  0.1008  0.1690  0.2132  0.2390
  0.2509  0.2534  0.2511  0.2454  0.2370  0.2245  0.2065  0.1818  0.1513  0.1199
 -1.7639 -1.5406 -1.3325 -1.1448 -0.9820 -0.8459 -0.7350 -0.6515 -0.5858 -0.5034
 -0.4029 -0.3158 -0.2425 -0.1771 -0.1177  0.0068  0.1003  0.1670  0.2106  0.2357
  0.2464  0.2469  0.2420  0.2344  0.2244  0.2117  0.1964  0.1766  0.1504  0.1176
  0.0830
 -1.7740 -1.5555 -1.3485 -1.1570 -0.9851 -0.8340 -0.7041 -0.5926 -0.4996 -0.4260
 -0.3649 -0.2997 -0.2324 -0.1682 -0.1100  0.0113  0.1023  0.1674  0.2106  0.2353
  0.2450  0.2436  0.2356  0.2249  0.2126  0.1988  0.1828  0.1646  0.1429  0.1156
  0.0802
 -1.7940 -1.5736 -1.3682 -1.1769 -1.0013 -0.8439 -0.7047 -0.5825 -0.4760 -0.3840
 -0.3070 -0.2445 -0.1930 -0.1448 -0.0958  0.0193  0.1077  0.1714  0.2139  0.2383
  0.2473  0.2442  0.2330  0.2183  0.2024  0.1859  0.1685  0.1498  0.1293  0.1058
  0.0768
 -1.8311 -1.5970 -1.3934 -1.2048 -1.0285 -0.8674 -0.7230 -0.5944 -0.4806 -0.3803
 -0.2929 -0.2183 -0.1563 -0.1069 -0.0649  0.0314  0.1150  0.1772  0.2194  0.2439
  0.2530  0.2490  0.2353  0.2164  0.1961  0.1758  0.1554  0.1349  0.1137  0.0912
  0.0660
 -1.8972 -1.6343 -1.4227 -1.2345 -1.0603 -0.8984 -0.7503 -0.6172 -0.4983 -0.3923
 -0.2984 -0.2165 -0.1463 -0.0880 -0.0403  0.0513  0.1268  0.1860  0.2274  0.2521
  0.2616  0.2574  0.2423  0.2201  0.1952  0.1702  0.1457  0.1218  0.0983  0.0746
  0.0508
 -2.0125 -1.6959 -1.4622 -1.2675 -1.0933 -0.9327 -0.7838 -0.6474 -0.5244 -0.4140
 -0.3151 -0.2275 -0.1509 -0.0856 -0.0312  0.0684  0.1406  0.1977  0.2377
