 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -5.8599 -5.7749 -5.4966 -5.0812 -4.6607 -4.2832 -3.9510 -3.6686 -3.4214 -3.2025
 -3.0080 -2.8265 -2.6569 -2.4983 -2.3505 -2.0282 -1.7578 -1.5155 -1.2900 -1.0810
 -0.8911 -0.7210
 -5.7114 -5.3703 -5.2772 -5.0825 -4.7277 -4.3497 -4.0001 -3.6937 -3.4310 -3.2002
 -2.9989 -2.8142 -2.6412 -2.4793 -2.3277 -1.9961 -1.7214 -1.4810 -1.2612 -1.0602
 -0.8798 -0.7190 -0.5773 -0.4537
 -5.7617 -5.2794 -4.9487 -4.8073 -4.6911 -4.4064 -4.0727 -3.7534 -3.4690 -3.2235
 -3.0087 -2.8195 -2.6431 -2.4775 -2.3220 -1.9795 -1.6977 -1.4569 -1.2412 -1.0466
 -0.8735 -0.7208 -0.5861 -0.4686 -0.3675 -0.2775 -0.1946 -0.1209 -0.0606 -0.0198
 -5.8898 -5.3415 -4.9033 -4.5861 -4.3975 -4.2912 -4.1054 -3.8240 -3.5359 -3.2716
 -3.0414 -2.8408 -2.6603 -2.4913 -2.3319 -1.9779 -1.6860 -1.4420 -1.2285 -1.0386
 -0.8714 -0.7252 -0.5971 -0.4855 -0.3890 -0.3068 -0.2346 -0.1683 -0.1070 -0.0595
 -0.0298
 -6.0656 -5.4755 -4.9765 -4.5754 -4.2734 -4.0628 -3.9183 -3.7866 -3.5891 -3.3409
 -3.0972 -2.8811 -2.6916 -2.5188 -2.3560 -1.9909 -1.6871 -1.4365 -1.2226 -1.0355
 -0.8725 -0.7315 -0.6092 -0.5033 -0.4121 -0.3343 -0.2660 -0.2062 -0.1546 -0.1108
 -0.0746
 -6.2808 -5.6501 -5.1109 -4.6544 -4.2847 -3.9990 -3.7838 -3.6153 -3.4727 -3.3268
 -3.1463 -2.9369 -2.7352 -2.5555 -2.3894 -2.0146 -1.6985 -1.4384 -1.2210 -1.0347
 -0.8744 -0.7372 -0.6199 -0.5193 -0.4334 -0.3610 -0.3001 -0.2480 -0.2029 -0.1634
 -0.1287
 -6.4507 -5.8391 -5.2895 -4.7961 -4.3767 -4.0338 -3.7629 -3.5501 -3.3750 -3.2205
 -3.0772 -2.9331 -2.7753 -2.6033 -2.4362 -2.0543 -1.7262 -1.4547 -1.2307 -1.0422
 -0.8824 -0.7471 -0.6329 -0.5365 -0.4553 -0.3876 -0.3319 -0.2853 -0.2458 -0.2120
 -0.1833
 -6.6579 -6.0378 -5.4775 -4.9715 -4.5191 -4.1322 -3.8127 -3.5551 -3.3474 -3.1729
 -3.0167 -2.8718 -2.7344 -2.5996 -2.4599 -2.1015 -1.7655 -1.4820 -1.2490 -1.0558
 -0.8942 -0.7587 -0.6460 -0.5524 -0.4749 -0.4115 -0.3605 -0.3192 -0.2851 -0.2569
 -0.2324
 -6.9025 -6.2461 -5.6524 -5.1535 -4.6896 -4.2748 -3.9169 -3.6174 -3.3715 -3.1692
 -2.9975 -2.8441 -2.7016 -2.5673 -2.4605 -2.1562 -1.8164 -1.5203 -1.2759
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  B   
 -6.2380 -5.7116 -5.2718 -4.9102 -4.5637 -4.2733 -4.0175 -3.7816 -3.5644 -3.3663
 -3.1858 -3.0170 -2.8596 -2.7129 -2.5760 -2.2731 -1.9978 -1.7455 -1.4968
 -6.3917 -5.8056 -5.3084 -4.8915 -4.5330 -4.2176 -3.9476 -3.7036 -3.4757 -3.2801
 -3.0972 -2.9264 -2.7674 -2.6192 -2.4813 -2.1774 -1.9137 -1.6682 -1.4306 -1.2004
 -6.3607 -5.9045 -5.4014 -4.9417 -4.5544 -4.2086 -3.9164 -3.6631 -3.4275 -3.2279
 -3.0430 -2.8702 -2.7090 -2.5587 -2.4185 -2.1105 -1.8473 -1.6067 -1.3778 -1.1595
 -0.9561
 -5.9210 -5.8708 -5.4824 -5.0322 -4.6097 -4.2432 -3.9232 -3.6528 -3.4135 -3.2006
 -3.0128 -2.8378 -2.6741 -2.5212 -2.3782 -2.0638 -1.7986 -1.5610 -1.3384 -1.1291
 -0.9364 -0.7622
 -5.7227 -5.5197 -5.4136 -5.0934 -4.6954 -4.3099 -3.9688 -3.6729 -3.4200 -3.1957
 -3.0016 -2.8236 -2.6571 -2.5013 -2.3551 -2.0325 -1.7630 -1.5268 -1.3086 -1.1068
 -0.9224 -0.7569 -0.6098 -0.4803
 -5.7412 -5.2873 -5.0497 -4.9748 -4.7342 -4.3901 -4.0418 -3.7258 -3.4523 -3.2158
 -3.0075 -2.8253 -2.6556 -2.4965 -2.3471 -2.0152 -1.7387 -1.5018 -1.2878 -1.0911
 -0.9131 -0.7549 -0.6149 -0.4915 -0.3835 -0.2891 -0.2020 -0.1208 -0.0590 -0.0157
 -5.8744 -5.3229 -4.9058 -4.6457 -4.5416 -4.3947 -4.1128 -3.8035 -3.5142 -3.2576
 -3.0365 -2.8424 -2.6688 -2.5064 -2.3534 -2.0114 -1.7258 -1.4853 -1.2732 -1.0808
 -0.9082 -0.7557 -0.6221 -0.5046 -0.4022 -0.3133 -0.2355 -0.1655 -0.1004 -0.0522
 -0.0211
 -6.0827 -5.4609 -4.9590 -4.5729 -4.3065 -4.1520 -4.0436 -3.8519 -3.5903 -3.3268
 -3.0872 -2.8788 -2.6961 -2.5299 -2.3735 -2.0217 -1.7251 -1.4780 -1.2653 -1.0757
 -0.9069 -0.7592 -0.6308 -0.5189 -0.4218 -0.3380 -0.2663 -0.2047 -0.1493 -0.0992
 -0.0628
 -6.3422 -5.6614 -5.0970 -4.6377 -4.2792 -4.0165 -3.8337 -3.7013 -3.5685 -3.3815
 -3.1549 -2.9326 -2.7366 -2.5632 -2.4035 -2.0429 -1.7349 -1.4784 -1.2619 -1.0730
 -0.9069 -0.7626 -0.6387 -0.5320 -0.4400 -0.3613 -0.2950 -0.2389 -0.1910 -0.1498
 -0.1135
 -6.6193 -5.9089 -5.3007 -4.7849 -4.3614 -4.0264 -3.7711 -3.5784 -3.4254 -3.2909
 -3.1516 -2.9870 -2.7982 -2.6138 -2.4483 -2.0801 -1.7614 -1.4937 -1.2703 -1.0793
 -0.9138 -0.7712 -0.6500 -0.5472 -0.4597 -0.3855 -0.3240 -0.2730 -0.2306 -0.1963
 -0.1644
 -7.0000 -6.2034 -5.5358 -4.9847 -4.5114 -4.1194 -3.8047 -3.5579 -3.3641 -3.2040
 -3.0621 -2.9289 -2.7950 -2.6517 -2.4960 -2.1270 -1.7999 -1.5209 -1.2884 -1.0925
 -0.9254 -0.7828 -0.6627 -0.5622 -0.4781 -0.4080 -0.3507 -0.3044 -0.2672 -0.2371
 -0.2130
 -7.4843 -6.5449 -5.7624 -5.2050 -4.7061 -4.2714 -3.9070 -3.6100 -3.3715 -3.1793
 -3.0183 -2.8752 -2.7426 -2.6163 -2.5466 -2.1836 -1.8504 -1.5600 -1.3162
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  B   
 -6.0944 -5.6095 -5.2005 -4.8601 -4.5230 -4.2496 -4.0036 -3.7730 -3.5597 -3.3656
 -3.1897 -3.0251 -2.8715 -2.7281 -2.5941 -2.2963 -2.0266 -1.7801 -1.5404
 -6.2716 -5.7067 -5.2333 -4.8425 -4.4961 -4.1961 -3.9363 -3.6966 -3.4767 -3.2834
 -3.1080 -2.9421 -2.7874 -2.6432 -2.5087 -2.2105 -1.9514 -1.7110 -1.4792 -1.2526
 -6.3590 -5.8400 -5.3313 -4.8853 -4.5160 -4.1840 -3.9050 -3.6591 -3.4289 -3.2355
 -3.0558 -2.8882 -2.7321 -2.5864 -2.4502 -2.1491 -1.8906 -1.6547 -1.4297 -1.2132
 -1.0084
 -6.2048 -5.9014 -5.4456 -4.9809 -4.5677 -4.2157 -3.9070 -3.6464 -3.4143 -3.2067
 -3.0247 -2.8551 -2.6969 -2.5490 -2.4107 -2.1044 -1.8442 -1.6112 -1.3919 -1.1831
 -0.9877 -0.8090
 -5.7895 -5.7042 -5.4720 -5.0775 -4.6579 -4.2769 -3.9450 -3.6614 -3.4169 -3.1982
 -3.0105 -2.8384 -2.6776 -2.5272 -2.3862 -2.0731 -1.8090 -1.5771 -1.3624 -1.1599
 -0.9719 -0.8013 -0.6486 -0.5128
 -5.7218 -5.3311 -5.2244 -5.0681 -4.7373 -4.3638 -4.0148 -3.7071 -3.4430 -3.2145
 -3.0121 -2.8361 -2.6725 -2.5192 -2.3752 -2.0541 -1.7837 -1.5509 -1.3396 -1.1424
 -0.9604 -0.7963 -0.6504 -0.5212 -0.4070 -0.3055 -0.2118 -0.1252 -0.0608 -0.0137
 -5.8408 -5.3048 -4.9315 -4.7735 -4.6815 -4.4232 -4.0988 -3.7813 -3.4971 -3.2502
 -3.0362 -2.8483 -2.6810 -2.5246 -2.3775 -2.0477 -1.7690 -1.5326 -1.3230 -1.1300
 -0.9528 -0.7941 -0.6540 -0.5308 -0.4225 -0.3272 -0.2436 -0.1669 -0.0970 -0.0471
 -0.0133
 -6.0648 -5.4289 -4.9400 -4.5849 -4.3810 -4.2906 -4.1262 -3.8586 -3.5754 -3.3128
 -3.0812 -2.8799 -2.7034 -2.5434 -2.3931 -2.0546 -1.7661 -1.5232 -1.3127 -1.1226
 -0.9494 -0.7948 -0.6596 -0.5417 -0.4386 -0.3488 -0.2717 -0.2043 -0.1432 -0.0891
 -0.0520
 -6.3485 -5.6400 -5.0675 -4.6177 -4.2815 -4.0565 -3.9246 -3.8127 -3.6271 -3.3863
 -3.1456 -2.9288 -2.7393 -2.5721 -2.4185 -2.0719 -1.7734 -1.5216 -1.3074 -1.1178
 -0.9474 -0.7962 -0.6649 -0.5516 -0.4537 -0.3689 -0.2964 -0.2348 -0.1824 -0.1374
 -0.0982
 -6.7058 -5.9263 -5.2813 -4.7577 -4.3410 -4.0222 -3.7913 -3.6292 -3.5060 -3.3773
 -3.2069 -3.0024 -2.7997 -2.6196 -2.4595 -2.1054 -1.7972 -1.5350 -1.3139 -1.1224
 -0.9529 -0.8036 -0.6747 -0.5648 -0.4709 -0.3905 -0.3226 -0.2658 -0.2189 -0.1806
 -0.1490
 -7.1928 -6.2878 -5.5521 -4.9691 -4.4871 -4.0996 -3.7969 -3.5669 -3.3929 -3.2531
 -3.1279 -2.9985 -2.8506 -2.6812 -2.5122 -2.1496 -1.8336 -1.5609 -1.3307 -1.1344
 -0.9637 -0.8147 -0.6869 -0.5788 -0.4878 -0.4111 -0.3473 -0.2948 -0.2527 -0.2193
 -0.1933
 -7.8095 -6.7245 -5.8406 -5.2232 -4.6953 -4.2508 -3.8887 -3.6002 -3.3740 -3.1959
 -3.0492 -2.9196 -2.7976 -2.6752 -2.5766 -2.2045 -1.8826 -1.5993 -1.3578
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  B   
 -5.9575 -5.5365 -5.1604 -4.8250 -4.5047 -4.2176 -3.9645 -3.7398 -3.5384 -3.3562
 -3.1895 -3.0351 -2.8904 -2.7528 -2.6213 -2.3268 -2.0616 -1.8107 -1.5766
 -6.1760 -5.6232 -5.1722 -4.8130 -4.4768 -4.1880 -3.9367 -3.7035 -3.4891 -3.3024
 -3.1287 -2.9668 -2.8158 -2.6749 -2.5433 -2.2498 -1.9942 -1.7550 -1.5276 -1.3049
 -6.3587 -5.7678 -5.2662 -4.8453 -4.4925 -4.1719 -3.9039 -3.6639 -3.4405 -3.2522
 -3.0771 -2.9140 -2.7621 -2.6203 -2.4878 -2.1929 -1.9385 -1.7066 -1.4852 -1.2705
 -1.0648
 -6.3030 -5.8909 -5.3972 -4.9324 -4.5405 -4.1976 -3.9002 -3.6484 -3.4221 -3.2207
 -3.0438 -2.8791 -2.7255 -2.5822 -2.4481 -2.1497 -1.8945 -1.6655 -1.4494 -1.2417
 -1.0443 -0.8610
 -5.9565 -5.8287 -5.4861 -5.0477 -4.6217 -4.2571 -3.9315 -3.6574 -3.4207 -3.2065
 -3.0257 -2.8588 -2.7031 -2.5576 -2.4213 -2.1175 -1.8592 -1.6317 -1.4202 -1.2185
 -1.0279 -0.8520 -0.6930 -0.5508
 -5.7192 -5.4546 -5.3776 -5.1047 -4.7224 -4.3362 -3.9969 -3.6949 -3.4411 -3.2194
 -3.0224 -2.8522 -2.6938 -2.5456 -2.4067 -2.0962 -1.8324 -1.6041 -1.3962 -1.1997
 -1.0150 -0.8453 -0.6927 -0.5571 -0.4372 -0.3281 -0.2261 -0.1357 -0.0672 -0.0149
 -5.8025 -5.2977 -5.0089 -4.9409 -4.7463 -4.4236 -4.0789 -3.7649 -3.4867 -3.2487
 -3.0417 -2.8592 -2.6974 -2.5465 -2.4046 -2.0865 -1.8154 -1.5835 -1.3773 -1.1852
 -1.0054 -0.8409 -0.6939 -0.5641 -0.4495 -0.3481 -0.2576 -0.1729 -0.0986 -0.0455
 -0.0076
 -6.0128 -5.3921 -4.9286 -4.6275 -4.5171 -4.4039 -4.1487 -3.8486 -3.5610 -3.3036
 -3.0800 -2.8854 -2.7144 -2.5602 -2.4154 -2.0894 -1.8096 -1.5716 -1.3644 -1.1751
 -0.9996 -0.8393 -0.6968 -0.5721 -0.4628 -0.3669 -0.2829 -0.2087 -0.1411 -0.0826
 -0.0433
 -6.3095 -5.5964 -5.0323 -4.6025 -4.3022 -4.1392 -4.0507 -3.8837 -3.6356 -3.3763
 -3.1367 -2.9286 -2.7452 -2.5837 -2.4358 -2.1025 -1.8138 -1.5676 -1.3564 -1.1680
 -0.9954 -0.8385 -0.6997 -0.5792 -0.4747 -0.3839 -0.3052 -0.2373 -0.1790 -0.1280
 -0.0848
 -6.7187 -5.9021 -5.2424 -4.7242 -4.3233 -4.0292 -3.8349 -3.7160 -3.6055 -3.4352
 -3.2178 -2.9989 -2.8008 -2.6265 -2.4720 -2.1315 -1.8343 -1.5784 -1.3606 -1.1702
 -0.9989 -0.8443 -0.7079 -0.5903 -0.4895 -0.4028 -0.3286 -0.2654 -0.2128 -0.1694
 -0.1336
 -7.2825 -6.3092 -5.5333 -4.9354 -4.4565 -4.0807 -3.7955 -3.5890 -3.4427 -3.3275
 -3.2072 -3.0559 -2.8736 -2.6882 -2.5221 -2.1717 -1.8673 -1.6020 -1.3754 -1.1804
 -1.0081 -0.8543 -0.7192 -0.6032 -0.5048 -0.4214 -0.3511 -0.2922 -0.2437 -0.2054
 -0.1757
 -8.0010 -6.8177 -5.9050 -5.2131 -4.6680 -4.2235 -3.8698 -3.5939 -3.3841 -3.2245
 -3.0962 -2.9813 -2.8637 -2.7327 -2.5861 -2.2231 -1.9128 -1.6384 -1.4008
