 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -4.5015 -4.2455 -4.0381 -3.8799 -3.7677 -3.6942 -3.6459 -3.6038 -3.5478 -3.4740
 -3.3803 -3.2642 -3.1215 -2.9479 -2.7457 -2.2221 -1.7732 -1.3879 -1.0398 -0.7306
 -0.4690 -0.2539 -0.0799  0.0634  0.1849  0.2905  0.3838  0.4690  0.5480  0.6131
 -4.8383 -4.5184 -4.2423 -4.0094 -3.8203 -3.6713 -3.5578 -3.4772 -3.4193 -3.3581
 -3.2751 -3.1666 -3.0345 -2.8774 -2.6951 -2.1795 -1.7285 -1.3530 -1.0220 -0.7275
 -0.4776 -0.2715 -0.1050  0.0301  0.1427  0.2390  0.3229  0.3968  0.4625  0.5211
  0.5709
 -5.2640 -4.8690 -4.5286 -4.2347 -3.9830 -3.7724 -3.5995 -3.4593 -3.3469 -3.2546
 -3.1718 -3.0850 -2.9774 -2.8409 -2.6771 -2.1815 -1.7200 -1.3445 -1.0242 -0.7409
 -0.4989 -0.2989 -0.1371 -0.0075  0.0982  0.1870  0.2627  0.3287  0.3859  0.4351
  0.4789
 -5.8535 -5.3370 -4.9095 -4.5443 -4.2307 -3.9613 -3.7318 -3.5381 -3.3751 -3.2364
 -3.1135 -2.9997 -2.8898 -2.7763 -2.6454 -2.2122 -1.7395 -1.3553 -1.0383 -0.7631
 -0.5265 -0.3300 -0.1711 -0.0451  0.0552  0.1372  0.2056  0.2642  0.3144  0.3571
  0.3919
 -6.6252 -5.9941 -5.4469 -4.9819 -4.5862 -4.2477 -3.9568 -3.7062 -3.4901 -3.3033
 -3.1390 -2.9901 -2.8506 -2.7170 -2.5868 -2.2297 -1.7940 -1.3932 -1.0709 -0.7985
 -0.5642 -0.3683 -0.2094 -0.0843  0.0129  0.0896  0.1516  0.2033  0.2466  0.2828
  0.3125
 -7.5458 -6.8091 -6.1539 -5.5754 -5.0764 -4.6487 -4.2813 -3.9642 -3.6887 -3.4487
 -3.2376 -3.0494 -2.8781 -2.7183 -2.5668 -2.2106 -1.8415 -1.4532 -1.1177 -0.8416
 -0.6066 -0.4088 -0.2474 -0.1205 -0.0241  0.0489  0.1051  0.1501  0.1867  0.2162
  0.2401
 -8.4779 -7.6920 -6.9555 -6.2901 -5.6943 -5.1727 -4.7183 -4.3222 -3.9773 -3.6760
 -3.4117 -3.1780 -2.9688 -2.7787 -2.5854 -2.1549 -1.8820 -1.5353 -1.1787
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = F390M
 -6.2006 -6.2273 -6.2482 -6.2585 -6.2567 -6.2296 -6.1665 -6.0695 -5.9082 -5.7946
 -5.6429 -5.4799 -5.2982 -5.0914 -4.8603 -4.2403
 -5.5795 -5.6127 -5.6391 -5.6547 -5.6569 -5.6388 -5.5937 -5.5170 -5.4087 -5.2739
 -5.1185 -4.9418 -4.7416 -4.5197 -4.2825 -3.6796 -3.0848 -2.4830 -1.8784
 -5.0419 -5.0719 -5.0978 -5.1151 -5.1200 -5.1087 -5.0766 -5.0166 -4.9266 -4.8064
 -4.6570 -4.4798 -4.2755 -4.0501 -3.8136 -3.2311 -2.6774 -2.1410 -1.6223 -1.1481
 -0.7648
 -4.5878 -4.6049 -4.6243 -4.6397 -4.6461 -4.6394 -4.6152 -4.5683 -4.4950 -4.3921
 -4.2584 -4.0939 -3.8999 -3.6826 -3.4536 -2.8948 -2.3797 -1.8948 -1.4346 -1.0154
 -0.6600 -0.3733 -0.1361
 -4.2763 -4.2545 -4.2517 -4.2558 -4.2580 -4.2520 -4.2326 -4.1948 -4.1347 -4.0485
 -3.9334 -3.7880 -3.6113 -3.4079 -3.1887 -2.6498 -2.1643 -1.7186 -1.3008 -0.9217
 -0.5972 -0.3326 -0.1165  0.0647  0.2224
 -4.2350 -4.1101 -4.0327 -3.9915 -3.9715 -3.9574 -3.9370 -3.9036 -3.8525 -3.7796
 -3.6815 -3.5555 -3.3990 -3.2128 -3.0051 -2.4802 -2.0136 -1.5968 -1.2106 -0.8606
 -0.5600 -0.3132 -0.1134  0.0520  0.1931  0.3173
 -4.4603 -4.2227 -4.0406 -3.9107 -3.8246 -3.7693 -3.7335 -3.6974 -3.6487 -3.5830
 -3.4968 -3.3870 -3.2499 -3.0828 -2.8888 -2.3735 -1.9159 -1.5186 -1.1562 -0.8277
 -0.5449 -0.3113 -0.1227  0.0309  0.1600  0.2709  0.3689  0.4586  0.5411  0.6093
 -4.7930 -4.4820 -4.2181 -4.0024 -3.8327 -3.7040 -3.6123 -3.5531 -3.5086 -3.4525
 -3.3750 -3.2748 -3.1516 -3.0027 -2.8251 -2.3202 -1.8623 -1.4753 -1.1308 -0.8184
 -0.5483 -0.3246 -0.1435  0.0023  0.1223  0.2240  0.3115  0.3884  0.4571  0.5185
  0.5709
 -5.2098 -4.8228 -4.4909 -4.2070 -3.9688 -3.7736 -3.6169 -3.4939 -3.4016 -3.3298
 -3.2634 -3.1864 -3.0847 -2.9545 -2.7969 -2.3117 -1.8462 -1.4603 -1.1270 -0.8275
 -0.5665 -0.3492 -0.1731 -0.0324  0.0811  0.1750  0.2546  0.3231  0.3825  0.4333
  0.4760
 -5.7695 -5.2744 -4.8556 -4.4995 -4.1962 -3.9389 -3.7235 -3.5453 -3.3992 -3.2786
 -3.1744 -3.0786 -2.9850 -2.8831 -2.7599 -2.3346 -1.8597 -1.4661 -1.1370 -0.8467
 -0.5922 -0.3792 -0.2062 -0.0687  0.0400  0.1276  0.1997  0.2608  0.3130  0.3569
  0.3929
 -6.5457 -5.9173 -5.3749 -4.9176 -4.5313 -4.2044 -3.9265 -3.6905 -3.4905 -3.3208
 -3.1739 -3.0420 -2.9186 -2.8004 -2.6840 -2.3487 -1.9095 -1.5005 -1.1669 -0.8807
