 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.3630 -0.3302 -0.3029 -0.2799 -0.2602 -0.2439
 -2.0448 -1.8961 -1.7566 -1.6302 -1.5203 -1.4270 -1.3509 -1.2910 -1.2390 -1.1861
 -1.1271 -1.0654 -1.0055 -0.9478 -0.8878 -0.7389 -0.6192 -0.5282 -0.4601 -0.4094
 -0.3719 -0.3428 -0.3188 -0.2984 -0.2807 -0.2656 -0.2534 -0.2449 -0.2415 -0.2453
 -2.0456 -1.8963 -1.7507 -1.6143 -1.4911 -1.3840 -1.2932 -1.2168 -1.1532 -1.1021
 -1.0615 -1.0222 -0.9771 -0.9271 -0.8744 -0.7356 -0.6178 -0.5280 -0.4615 -0.4132
 -0.3788 -0.3536 -0.3335 -0.3165 -0.3016 -0.2885 -0.2777 -0.2693 -0.2646 -0.2661
 -0.2758
 -2.0372 -1.8956 -1.7528 -1.6143 -1.4862 -1.3721 -1.2730 -1.1882 -1.1168 -1.0563
 -1.0052 -0.9629 -0.9272 -0.8915 -0.8515 -0.7313 -0.6160 -0.5270 -0.4613 -0.4145
 -0.3810 -0.3610 -0.3452 -0.3324 -0.3212 -0.3112 -0.3027 -0.2950 -0.2900 -0.2902
 -0.2971
 -2.0035 -1.8787 -1.7451 -1.6128 -1.4865 -1.3714 -1.2693 -1.1801 -1.1030 -1.0368
 -0.9799 -0.9302 -0.8866 -0.8486 -0.8139 -0.7177 -0.6121 -0.5240 -0.4589 -0.4128
 -0.3823 -0.3637 -0.3521 -0.3441 -0.3375 -0.3317 -0.3266 -0.3221 -0.3189 -0.3180
 -0.3213
 -1.9450 -1.8382 -1.7215 -1.6009 -1.4827 -1.3720 -1.2719 -1.1823 -1.1030 -1.0330
 -0.9713 -0.9170 -0.8686 -0.8248 -0.7854 -0.6966 -0.6050 -0.5212 -0.4561 -0.4098
 -0.3795 -0.3621 -0.3538 -0.3503 -0.3488 -0.3478 -0.3473 -0.3466 -0.3464 -0.3472
 -0.3486
 -1.8676 -1.7772 -1.6775 -1.5712 -1.4652 -1.3633 -1.2689 -1.1830 -1.1052 -1.0347
 -0.9708 -0.9131 -0.8609 -0.8137 -0.7705 -0.6772 -0.5931 -0.5157 -0.4524 -0.4057
 -0.3748 -0.3574 -0.3505 -0.3504 -0.3536 -0.3579 -0.3625 -0.3667 -0.3706 -0.3746
 -0.3792
 -1.7760 -1.6999 -1.6157 -1.5252 -1.4326 -1.3417 -1.2558 -1.1760 -1.1024 -1.0345
 -0.9714 -0.9129 -0.8587 -0.8089 -0.7692 -0.6595 -0.5764 -0.5075 -0.4478
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.0307 -2.9743 -2.9130 -2.8402 -2.7794 -2.6696 -2.4741 -2.2079 -1.9515 -1.6707
 -1.4721 -1.3186 -1.1971 -1.0960 -1.0084 -0.8283
 -2.8007 -2.7387 -2.6784 -2.6132 -2.5459 -2.4479 -2.2877 -2.0577 -1.8141 -1.5939
 -1.4115 -1.2655 -1.1482 -1.0507 -0.9664 -0.7935 -0.6569 -0.5460 -0.4551
 -2.6148 -2.5436 -2.4794 -2.4160 -2.3463 -2.2592 -2.1286 -1.9339 -1.7269 -1.5334
 -1.3662 -1.2276 -1.1139 -1.0189 -0.9368 -0.7689 -0.6381 -0.5342 -0.4511 -0.3844
 -0.3309
 -2.4730 -2.3890 -2.3160 -2.2486 -2.1807 -2.1036 -1.9968 -1.8365 -1.6598 -1.4892
 -1.3362 -1.2049 -1.0942 -1.0006 -0.9196 -0.7545 -0.6273 -0.5278 -0.4493 -0.3867
 -0.3367 -0.2963 -0.2636
 -2.3680 -2.2716 -2.1876 -2.1118 -2.0394 -1.9650 -1.8773 -1.7489 -1.5993 -1.4497
 -1.3112 -1.1884 -1.0820 -0.9902 -0.9101 -0.7468 -0.6216 -0.5248 -0.4496 -0.3902
 -0.3434 -0.3059 -0.2755 -0.2503 -0.2298
 -2.2649 -2.1616 -2.0759 -1.9981 -1.9221 -1.8457 -1.7645 -1.6637 -1.5393 -1.4095
 -1.2854 -1.1725 -1.0721 -0.9835 -0.9050 -0.7432 -0.6192 -0.5240 -0.4511 -0.3944
 -0.3505 -0.3160 -0.2882 -0.2653 -0.2461 -0.2307
 -2.2121 -2.0772 -1.9625 -1.8680 -1.7903 -1.7226 -1.6534 -1.5733 -1.4747 -1.3654
 -1.2562 -1.1538 -1.0606 -0.9770 -0.9014 -0.7419 -0.6186 -0.5245 -0.4530 -0.3986
 -0.3572 -0.3258 -0.3011 -0.2809 -0.2640 -0.2500 -0.2392 -0.2318 -0.2294 -0.2332
 -2.1981 -2.0488 -1.9122 -1.7908 -1.6862 -1.5958 -1.5159 -1.4433 -1.3710 -1.2951
 -1.2135 -1.1287 -1.0455 -0.9681 -0.8967 -0.7415 -0.6188 -0.5252 -0.4547 -0.4019
 -0.3628 -0.3343 -0.3129 -0.2961 -0.2821 -0.2703 -0.2609 -0.2542 -0.2509 -0.2531
 -0.2619
 -2.2000 -2.0459 -1.8994 -1.7629 -1.6390 -1.5297 -1.4335 -1.3471 -1.2669 -1.1922
 -1.1263 -1.0680 -1.0107 -0.9504 -0.8881 -0.7411 -0.6193 -0.5257 -0.4556 -0.4037
 -0.3664 -0.3404 -0.3225 -0.3095 -0.2991 -0.2904 -0.2835 -0.2782 -0.2757 -0.2761
 -0.2827
