 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -4.4367 -4.2081 -4.0008 -3.8043 -3.6187 -3.4418 -3.2703 -3.1012 -2.9327 -2.7657
 -2.6012 -2.4409 -2.2865 -2.1394 -2.0026 -1.6897 -1.4371 -1.2287 -1.0567
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  B   
 -6.3123 -6.0620 -5.8618 -5.6994 -5.5244 -5.3465 -5.1546 -4.9468 -4.7210 -4.4837
 -4.2315 -3.9700 -3.7122 -3.4641 -3.1944 -2.6389
 -5.8210 -5.5345 -5.2967 -5.0957 -4.9204 -4.7566 -4.5909 -4.4141 -4.2247 -4.0235
 -3.8053 -3.5701 -3.3272 -3.0925 -2.8616 -2.3647 -1.9176 -1.5191 -1.1931
 -5.4385 -5.1116 -4.8422 -4.6226 -4.4396 -4.2786 -4.1268 -3.9712 -3.8086 -3.6363
 -3.4485 -3.2414 -3.0187 -2.7980 -2.5922 -2.1421 -1.7544 -1.4129 -1.1267 -0.8985
 -0.7145
 -5.1648 -4.7933 -4.4983 -4.2801 -4.0819 -3.9126 -3.7623 -3.6181 -3.4727 -3.3221
 -3.1611 -2.9839 -2.7867 -2.5806 -2.3862 -1.9711 -1.6282 -1.3316 -1.0788 -0.8744
 -0.7063 -0.5681 -0.4453
 -5.0232 -4.6178 -4.2958 -4.0460 -3.8472 -3.6791 -3.5250 -3.3737 -3.2263 -3.0823
 -2.9364 -2.7835 -2.6151 -2.4283 -2.2436 -1.8517 -1.5390 -1.2752 -1.0494 -0.8639
 -0.7123 -0.5836 -0.4707 -0.3703 -0.2786
 -5.0151 -4.5955 -4.2440 -3.9630 -3.7376 -3.5509 -3.3890 -3.2399 -3.0939 -2.9435
 -2.7886 -2.6381 -2.4874 -2.3245 -2.1511 -1.7741 -1.4801 -1.2387 -1.0335 -0.8631
 -0.7234 -0.6047 -0.5001 -0.4056 -0.3193 -0.2407
 -5.0565 -4.6252 -4.2606 -3.9540 -3.6955 -3.4768 -3.2902 -3.1284 -2.9851 -2.8549
 -2.7184 -2.5647 -2.4091 -2.2551 -2.0950 -1.7279 -1.4444 -1.2171 -1.0268 -0.8681
 -0.7381 -0.6284 -0.5317 -0.4439 -0.3631 -0.2882 -0.2197 -0.1544 -0.0946 -0.0575
 -5.1190 -4.6845 -4.3120 -3.9952 -3.7239 -3.4892 -3.2840 -3.1027 -2.9403 -2.7911
 -2.6511 -2.5151 -2.3732 -2.2252 -2.0699 -1.7055 -1.4256 -1.2063 -1.0256 -0.8755
 -0.7532 -0.6516 -0.5627 -0.4821 -0.4074 -0.3377 -0.2730 -0.2131 -0.1576 -0.1098
 -0.0825
 -5.1791 -4.7531 -4.3808 -4.0584 -3.7781 -3.5321 -3.3133 -3.1165 -2.9382 -2.7748
 -2.6219 -2.4768 -2.3374 -2.2019 -2.0628 -1.7052 -1.4198 -1.2033 -1.0283 -0.8835
 -0.7664 -0.6714 -0.5903 -0.5173 -0.4497 -0.3859 -0.3263 -0.2707 -0.2194 -0.1734
 -0.1373
 -5.2143 -4.8035 -4.4435 -4.1248 -3.8420 -3.5890 -3.3604 -3.1520 -2.9608 -2.7845
 -2.6204 -2.4661 -2.3196 -2.1805 -2.0474 -1.7142 -1.4250 -1.2043 -1.0318 -0.8902
 -0.7758 -0.6853 -0.6109 -0.5459 -0.4860 -0.4296 -0.3763 -0.3259 -0.2788 -0.2358
 -0.1991
 -5.2228 -4.8408 -4.4974 -4.1892 -3.9108 -3.6566 -3.4225 -3.2057 -3.0047 -2.8179
 -2.6437 -2.4806 -2.3269 -2.1817 -2.0446 -1.7236 -1.4421 -1.2147 -1.0400 -0.8994
 -0.7857 -0.6965 -0.6264 -0.5681 -0.5163 -0.4680 -0.4222 -0.3785 -0.3370 -0.2982
 -0.2624
 -5.2073 -4.8531 -4.5300 -4.2359 -3.9671 -3.7184 -3.4852 -3.2653 -3.0580 -2.8634
 -2.6809 -2.5100 -2.3495 -2.1983 -2.0556 -1.7320 -1.4569 -1.2292 -1.0498 -0.9086
