 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  U   
 -5.7237 -5.4493 -5.1367 -4.8148 -4.5007 -3.7659 -3.0726 -2.4244 -1.8835
 -5.8066 -5.7896 -5.7853 -5.7828 -5.7731 -5.7480 -5.7002 -5.6235 -5.5111 -5.3560
 -5.1508 -4.8921 -4.5916 -4.2785 -3.9753 -3.2871 -2.6728 -2.1226 -1.6599 -1.3026
 -1.0436
 -5.4460 -5.3611 -5.3133 -5.2846 -5.2585 -5.2227 -5.1682 -5.0890 -4.9801 -4.8367
 -4.6533 -4.4249 -4.1518 -3.8561 -3.5666 -2.9215 -2.3694 -1.8888 -1.4853 -1.1691
 -0.9368 -0.7665 -0.6378
 -5.3770 -5.1879 -5.0329 -4.9340 -4.8612 -4.8013 -4.7352 -4.6514 -4.5449 -4.4122
 -4.2494 -4.0521 -3.8153 -3.5450 -3.2699 -2.6577 -2.1486 -1.7149 -1.3523 -1.0652
 -0.8540 -0.7024 -0.5909 -0.5048 -0.4342
 -5.5192 -5.2338 -5.0030 -4.8184 -4.6720 -4.5571 -4.4622 -4.3601 -4.2421 -4.1063
 -3.9511 -3.7742 -3.5700 -3.3314 -3.0726 -2.4811 -1.9976 -1.5930 -1.2556 -0.9869
 -0.7880 -0.6475 -0.5474 -0.4731 -0.4145 -0.3656
 -5.7545 -5.4119 -5.1136 -4.8582 -4.6443 -4.4665 -4.3216 -4.2027 -4.0870 -3.9518
 -3.7850 -3.6012 -3.4063 -3.1943 -2.9564 -2.3766 -1.9039 -1.5147 -1.1906 -0.9308
 -0.7369 -0.6011 -0.5070 -0.4402 -0.3903 -0.3509 -0.3179 -0.2877 -0.2577 -0.2271
 -6.0776 -5.6705 -5.3159 -5.0063 -4.7370 -4.5055 -4.3074 -4.1354 -3.9820 -3.8414
 -3.7012 -3.5362 -3.3385 -3.1250 -2.9015 -2.3309 -1.8570 -1.4727 -1.1537 -0.8953
 -0.6993 -0.5623 -0.4696 -0.4063 -0.3615 -0.3287 -0.3035 -0.2825 -0.2635 -0.2448
 -0.2253
 -6.5356 -6.0399 -5.6117 -5.2397 -4.9149 -4.6304 -4.3814 -4.1630 -3.9690 -3.7917
 -3.6244 -3.4628 -3.2981 -3.1125 -2.9001 -2.3332 -1.8486 -1.4609 -1.1415 -0.8798
 -0.6897 -0.5314 -0.4349 -0.3714 -0.3290 -0.3002 -0.2804 -0.2658 -0.2544 -0.2450
 -0.2366
 -7.1499 -6.5462 -6.0248 -5.5735 -5.1800 -4.8346 -4.5305 -4.2622 -4.0239 -3.8097
 -3.6125 -3.4262 -3.2470 -3.0726 -2.8926 -2.3681 -1.8694 -1.4707 -1.1468 -0.8798
 -0.6667 -0.5092 -0.4031 -0.3352 -0.2923 -0.2654 -0.2494 -0.2401 -0.2349 -0.2318
 -0.2299
 -7.8714 -7.1829 -6.5694 -6.0325 -5.5575 -5.1384 -4.7686 -4.4428 -4.1540 -3.8967
 -3.6645 -3.4510 -3.2505 -3.0600 -2.8770 -2.4082 -1.9257 -1.5088 -1.1750 -0.9004
 -0.6767 -0.5040 -0.3822 -0.3033 -0.2548 -0.2263 -0.2111 -0.2047 -0.2038 -0.2062
 -0.2097
 -8.6346 -7.8889 -7.2086 -6.5904 -6.0374 -5.5409 -5.0986 -4.7058 -4.3582 -4.0507
 -3.7765 -3.5295 -3.3031 -3.0926 -2.8941 -2.4290 -1.9835 -1.5669 -1.2181 -0.9340
 -0.7002 -0.5135 -0.3745 -0.2796 -0.2200 -0.1854 -0.1679 -0.1616 -0.1628 -0.1689
 -0.1774
 -9.3847 -8.6029 -7.8766 -7.2032 -6.5862 -6.0231 -5.5124 -5.0517 -4.6403 -4.2754
 -3.9520 -3.6645 -3.4061 -3.1703 -2.9439 -2.4305 -2.0428 -1.6450 -1.2761
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  U   
 -6.8241 -6.8502 -6.8706 -6.8801 -6.8769 -6.8498 -6.7902 -6.6971 -6.5376 -6.3996
 -6.2057 -5.9840 -5.7362 -5.4628 -5.1747 -4.4469
 -6.1892 -6.2199 -6.2432 -6.2552 -6.2528 -6.2294 -6.1789 -6.0961 -5.9767 -5.8190
 -5.6245 -5.3940 -5.1331 -4.8524 -4.5648 -3.8688 -3.2277 -2.6189 -2.0747
 -5.6422 -5.6666 -5.6864 -5.6970 -5.6939 -5.6728 -5.6286 -5.5549 -5.4473 -5.3023
 -5.1173 -4.8926 -4.6341 -4.3564 -4.0747 -3.4109 -2.8180 -2.2906 -1.8333 -1.4578
 -1.1655
 -5.1831 -5.1903 -5.2002 -5.2055 -5.2003 -5.1799 -5.1393 -5.0735 -4.9782 -4.8495
 -4.6841 -4.4798 -4.2392 -3.9748 -3.7044 -3.0732 -2.5251 -2.0495 -1.6448 -1.3133
 -1.0539 -0.8593 -0.7113
 -4.8799 -4.8353 -4.8158 -4.8057 -4.7934 -4.7709 -4.7325 -4.6731 -4.5888 -4.4763
 -4.3323 -4.1537 -3.9389 -3.6946 -3.4376 -2.8325 -2.3157 -1.8745 -1.5029 -1.2004
 -0.9636 -0.7870 -0.6565 -0.5561 -0.4741
 -4.9042 -4.7298 -4.6136 -4.5404 -4.4956 -4.4604 -4.4186 -4.3615 -4.2848 -4.1852
 -4.0595 -3.9047 -3.7172 -3.4973 -3.2561 -2.6695 -2.1714 -1.7519 -1.4001 -1.1150
 -0.8923 -0.7266 -0.6072 -0.5190 -0.4500 -0.3925
 -5.1611 -4.8936 -4.6725 -4.4996 -4.3725 -4.2838 -4.2183 -4.1551 -4.0758 -3.9783
 -3.8612 -3.7223 -3.5578 -3.3635 -3.1413 -2.5692 -2.0790 -1.6712 -1.3304 -1.0539
 -0.8381 -0.6771 -0.5629 -0.4818 -0.4218 -0.3743 -0.3345 -0.2986 -0.2636 -0.2276
 -5.4785 -5.1513 -4.8653 -4.6209 -4.4191 -4.2567 -4.1290 -4.0327 -3.9557 -3.8685
 -3.7537 -3.6138 -3.4549 -3.2763 -3.0760 -2.5200 -2.0289 -1.6248 -1.2890 -1.0146
 -0.7997 -0.6383 -0.5240 -0.4453 -0.3901 -0.3495 -0.3179 -0.2916 -0.2681 -0.2451
 -0.2196
 -5.8761 -5.4764 -5.1288 -4.8260 -4.5641 -4.3427 -4.1584 -4.0065 -3.8811 -3.7738
 -3.6717 -3.5579 -3.4147 -3.2412 -3.0484 -2.5133 -2.0155 -1.6077 -1.2718 -0.9953
 -0.7762 -0.6099 -0.4907 -0.4100 -0.3560 -0.3192 -0.2933 -0.2739 -0.2580 -0.2449
 -0.2308
 -6.4339 -5.9150 -5.4821 -5.1096 -4.7873 -4.5086 -4.2695 -4.0662 -3.8935 -3.7441
 -3.6088 -3.4797 -3.3499 -3.2091 -3.0430 -2.5361 -2.0306 -1.6132 -1.2726 -0.9916
 -0.7651 -0.5899 -0.4622 -0.3753 -0.3192 -0.2836 -0.2612 -0.2469 -0.2375 -0.2310
 -0.2259
 -7.1889 -6.5474 -5.9930 -5.5211 -5.1174 -4.7701 -4.4703 -4.2108 -3.9863 -3.7911
 -3.6178 -3.4586 -3.3066 -3.1573 -3.0069 -2.5749 -2.0817 -1.6492 -1.2986 -1.0102
 -0.7737 -0.5863 -0.4455 -0.3472 -0.2836 -0.2449 -0.2229 -0.2112 -0.2062 -0.2052
 -0.2063
 -8.1302 -7.3638 -6.6882 -6.0965 -5.5866 -5.1491 -4.7719 -4.4455 -4.1611 -3.9129
 -3.6941 -3.4980 -3.3180 -3.1480 -2.9839 -2.5816 -2.1443 -1.7087 -1.3432 -1.0442
 -0.7970 -0.5966 -0.4410 -0.3278 -0.2522 -0.2059 -0.1805 -0.1686 -0.1655 -0.1682
 -0.1740
 -9.1344 -8.2862 -7.5096 -6.8161 -6.1998 -5.6614 -5.1929 -4.7847 -4.4290 -4.1180
 -3.8449 -3.6033 -3.3867 -3.1890 -2.9740 -2.5562 -2.2184 -1.7917 -1.4064
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  U   
 -6.9119 -6.9372 -6.9540 -6.9584 -6.9475 -6.9097 -6.8356 -6.7259 -6.5562 -6.4142
 -6.2340 -6.0353 -5.8121 -5.5628 -5.2910 -4.5777
 -6.2851 -6.3149 -6.3358 -6.3440 -6.3364 -6.3064 -6.2476 -6.1554 -6.0287 -5.8718
 -5.6887 -5.4785 -5.2406 -4.9800 -4.7052 -4.0173 -3.3645 -2.7557 -2.2037
 -5.7409 -5.7666 -5.7861 -5.7950 -5.7894 -5.7652 -5.7178 -5.6405 -5.5306 -5.3875
 -5.2114 -5.0031 -4.7646 -4.5040 -4.2329 -3.5728 -2.9673 -2.4245 -1.9512 -1.5560
 -1.2467
