 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -1.6587 -1.5313 -1.4458 -1.3868
 -7.9217 -7.4198 -6.9857 -6.6082 -6.2809 -5.9994 -5.7565 -5.5451 -5.3616 -5.2027
 -5.0346 -4.8273 -4.5878 -4.3265 -4.0513 -3.4193 -2.8959 -2.4476 -2.0738 -1.7893
 -1.5959 -1.4709 -1.3897 -1.3364 -1.3007 -1.2757 -1.2570 -1.2413 -1.2253 -1.2052
 -8.2832 -7.7033 -7.1974 -6.7560 -6.3699 -6.0316 -5.7358 -5.4756 -5.2436 -5.0335
 -4.8443 -4.6692 -4.4784 -4.2504 -3.9955 -3.3720 -2.8526 -2.4139 -2.0436 -1.7524
 -1.5490 -1.4188 -1.3370 -1.2854 -1.2531 -1.2332 -1.2212 -1.2130 -1.2063 -1.1998
 -1.1896
 -8.7523 -8.0989 -7.5180 -7.0049 -6.5535 -6.1574 -5.8098 -5.5033 -5.2311 -4.9858
 -4.7607 -4.5536 -4.3641 -4.1750 -3.9638 -3.3774 -2.8513 -2.4132 -2.0420 -1.7411
 -1.5206 -1.3767 -1.2882 -1.2346 -1.2027 -1.1850 -1.1768 -1.1740 -1.1737 -1.1746
 -1.1763
 -9.2748 -8.5651 -7.9216 -7.3411 -6.8225 -6.3635 -5.9597 -5.6048 -5.2913 -5.0114
 -4.7575 -4.5240 -4.3083 -4.1071 -3.9115 -3.3966 -2.8781 -2.4338 -2.0594 -1.7492
 -1.5108 -1.3469 -1.2446 -1.1841 -1.1498 -1.1322 -1.1258 -1.1265 -1.1312 -1.1373
 -1.1443
 -9.8329 -9.0840 -8.3927 -7.7563 -7.1778 -6.6568 -6.1934 -5.7850 -5.4257 -5.1076
 -4.8226 -4.5635 -4.3247 -4.1026 -3.8934 -3.4075 -2.9256 -2.4782 -2.0981 -1.7798
 -1.5252 -1.3388 -1.2156 -1.1406 -1.0982 -1.0768 -1.0693 -1.0710 -1.0784 -1.0888
 -1.1001
-10.3747 -9.6067 -8.8861 -8.2132 -7.5892 -7.0168 -6.4984 -6.0356 -5.6260 -5.2648
 -4.9440 -4.6557 -4.3930 -4.1497 -3.9232 -3.4180 -2.9653 -2.5318 -2.1464 -1.8214
 -1.5549 -1.3495 -1.2041 -1.1093 -1.0528 -1.0228 -1.0106 -1.0103 -1.0179 -1.0305
 -1.0454
-10.8675-10.1000 -9.3713 -8.6797 -8.0284 -7.4196 -6.8584 -6.3483 -5.8899 -5.4817
 -5.1198 -4.7976 -4.4990 -4.2327 -4.0009 -3.4281 -2.9972 -2.5946 -2.2043
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  u   
 -7.7760 -7.7525 -7.7397 -7.7280 -7.7097 -7.6751 -7.6150 -7.5216 -7.3861 -7.2018
 -6.9671 -6.6854 -6.3706 -6.0510 -5.7371 -4.9829 -4.2559 -3.5673 -2.9716
 -7.3049 -7.2430 -7.2056 -7.1791 -7.1513 -7.1120 -7.0516 -6.9614 -6.8332 -6.6591
 -6.4332 -6.1574 -5.8494 -5.5345 -5.2272 -4.5083 -3.8463 -3.2471 -2.7363 -2.3410
 -7.0230 -6.8814 -6.7842 -6.7188 -6.6684 -6.6167 -6.5507 -6.4610 -6.3402 -6.1810
 -5.9768 -5.7241 -5.4334 -5.1299 -4.8331 -4.1504 -3.5422 -3.0047 -2.5513 -2.1953
 -1.9394
 -6.9318 -6.7060 -6.5452 -6.4188 -6.3144 -6.2291 -6.1477 -6.0527 -5.9353 -5.7888
 -5.6069 -5.3837 -5.1195 -4.8328 -4.5469 -3.8932 -3.3240 -2.8272 -2.4105 -2.0807
 -1.8419 -1.6783
 -7.0621 -6.7271 -6.4581 -6.2486 -6.0930 -5.9801 -5.8796 -5.7711 -5.6459 -5.5000
 -5.3298 -5.1302 -4.8951 -4.6295 -4.3547 -3.7197 -3.1752 -2.7039 -2.3085 -1.9939
 -1.7632 -1.6068 -1.5022 -1.4298
