 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -2.1412 -2.0225 -1.9065 -1.7773 -1.6356 -1.2852 -1.0041 -0.7988 -0.6461 -0.5272
 -0.4317 -0.3535 -0.2876 -0.2297 -0.1768 -0.1275 -0.0818 -0.0396 -0.0016  0.0315
  0.0551
 -5.0289 -4.4919 -4.0241 -3.6281 -3.2969 -3.0199 -2.7855 -2.5842 -2.4086 -2.2525
 -2.1106 -1.9793 -1.8569 -1.7408 -1.6223 -1.3013 -1.0145 -0.8014 -0.6456 -0.5274
 -0.4350 -0.3615 -0.3016 -0.2505 -0.2044 -0.1615 -0.1212 -0.0832 -0.0483 -0.0177
  0.0088
 -5.0548 -4.5474 -4.0913 -3.6987 -3.3631 -3.0772 -2.8324 -2.6198 -2.4326 -2.2653
 -2.1135 -1.9736 -1.8426 -1.7191 -1.6017 -1.3148 -1.0363 -0.8127 -0.6502 -0.5299
 -0.4380 -0.3668 -0.3113 -0.2662 -0.2272 -0.1913 -0.1576 -0.1254 -0.0949 -0.0669
 -0.0420
 -5.0435 -4.5738 -4.1433 -3.7638 -3.4320 -3.1441 -2.8931 -2.6719 -2.4750 -2.2978
 -2.1367 -1.9885 -1.8506 -1.7210 -1.5982 -1.3178 -1.0586 -0.8314 -0.6591 -0.5337
 -0.4402 -0.3694 -0.3160 -0.2753 -0.2425 -0.2139 -0.1875 -0.1621 -0.1377 -0.1145
 -0.0930
 -5.0046 -4.5716 -4.1730 -3.8131 -3.4926 -3.2089 -2.9568 -2.7311 -2.5275 -2.3425
 -2.1734 -2.0178 -1.8734 -1.7384 -1.6118 -1.3103 -1.0814 -0.8575 -0.6723
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  g   
 -6.5145 -6.1932 -5.8897 -5.5878 -5.2692 -4.9000 -4.4482 -3.9294 -3.4803 -3.1163
 -2.8135 -2.5515 -2.3194 -2.1129 -1.9310 -1.5598 -1.2654 -1.0089 -0.7773
 -6.0876 -5.7257 -5.3923 -5.0763 -4.7629 -4.4280 -4.0362 -3.6166 -3.2409 -2.9223
 -2.6463 -2.4002 -2.1771 -1.9762 -1.7971 -1.4358 -1.1600 -0.9288 -0.7280 -0.5515
 -5.7833 -5.3854 -5.0218 -4.6867 -4.3735 -4.0666 -3.7368 -3.3895 -3.0685 -2.7859
 -2.5348 -2.3052 -2.0917 -1.8952 -1.7176 -1.3581 -1.0911 -0.8769 -0.6939 -0.5345
 -0.3974
 -5.4888 -5.1041 -4.7385 -4.3959 -4.0791 -3.7858 -3.5013 -3.2097 -2.9328 -2.6821
 -2.4548 -2.2435 -2.0423 -1.8517 -1.6757 -1.3139 -1.0485 -0.8430 -0.6722 -0.5256
 -0.3994 -0.2912
 -5.2573 -4.8011 -4.3892 -4.0891 -3.8225 -3.5640 -3.3107 -3.0615 -2.8208 -2.5975
 -2.3919 -2.1991 -2.0129 -1.8312 -1.6583 -1.2932 -1.0244 -0.8223 -0.6594 -0.5223
 -0.4051 -0.3045 -0.2173 -0.1403
 -5.1231 -4.5846 -4.1599 -3.8108 -3.5243 -3.2889 -3.0938 -2.9131 -2.7243 -2.5303
 -2.3424 -2.1642 -1.9926 -1.8230 -1.6560 -1.2889 -1.0137 -0.8109 -0.6524 -0.5221
 -0.4125 -0.3190 -0.2381 -0.1666 -0.1022 -0.0437  0.0093  0.0571  0.0973  0.1211
 -5.1023 -4.5552 -4.0900 -3.7036 -3.3870 -3.1270 -2.9106 -2.7273 -2.5717 -2.4347
 -2.2944 -2.1395 -1.9788 -1.8198 -1.6619 -1.2963 -1.0134 -0.8063 -0.6493 -0.5235
 -0.4199 -0.3329 -0.2583 -0.1927 -0.1335 -0.0793 -0.0301  0.0145  0.0546  0.0863
  0.1021
 -5.1860 -4.6090 -4.1126 -3.6975 -3.3553 -3.0745 -2.8420 -2.6460 -2.4769 -2.3291
 -2.1993 -2.0807 -1.9566 -1.8172 -1.6697 -1.3123 -1.0216 -0.8075 -0.6488 -0.5253
 -0.4261 -0.3444 -0.2761 -0.2168 -0.1636 -0.1146 -0.0695 -0.0284  0.0088  0.0411
  0.0646
 -5.2868 -4.6976 -4.1831 -3.7462 -3.3830 -3.0832 -2.8342 -2.6245 -2.4446 -2.2868
 -2.1455 -2.0168 -1.8984 -1.7842 -1.6627 -1.3310 -1.0349 -0.8123 -0.6492 -0.5258
 -0.4291 -0.3518 -0.2889 -0.2361 -0.1895 -0.1467 -0.1071 -0.0701 -0.0363 -0.0062
  0.0188
 -5.3720 -4.8002 -4.2813 -3.8340 -3.4554 -3.1388 -2.8739 -2.6493 -2.4561 -2.2869
 -2.1358 -1.9982 -1.8705 -1.7508 -1.6370 -1.3479 -1.0588 -0.8261 -0.6555 -0.5291
 -0.4325 -0.3574 -0.2984 -0.2510 -0.2110 -0.1751 -0.1419 -0.1106 -0.0813 -0.0545
 -0.0309
 -5.4122 -4.8720 -4.3751 -3.9302 -3.5467 -3.2194 -2.9413 -2.7030 -2.4966 -2.3150
 -2.1528 -2.0059 -1.8705 -1.7441 -1.6247 -1.3500 -1.0844 -0.8469 -0.6665 -0.5342
 -0.4355 -0.3606 -0.3036 -0.2601 -0.2258 -0.1967 -0.1706 -0.1460 -0.1225 -0.1005
 -0.0805
 -5.4109 -4.9104 -4.4424 -4.0159 -3.6388 -3.3094 -3.0238 -2.7751 -2.5571 -2.3639
 -2.1907 -2.0339 -1.8901 -1.7569 -1.6258 -1.3373 -1.1117 -0.8747 -0.6822
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  g   
 -6.8225 -6.5452 -6.2795 -6.0082 -5.7106 -5.3267 -4.7976 -4.1398 -3.5681 -3.1343
 -2.8028 -2.5304 -2.2966 -2.0914 -1.9102 -1.5422 -1.2557 -1.0091 -0.7861
 -6.3788 -6.0643 -5.7707 -5.4852 -5.1870 -4.8374 -4.3788 -3.8436 -3.3598 -2.9716
 -2.6612 -2.4020 -2.1757 -1.9747 -1.7955 -1.4332 -1.1591 -0.9332 -0.7354 -0.5603
 -6.0524 -5.7008 -5.3748 -5.0686 -4.7689 -4.4505 -4.0682 -3.6287 -3.2150 -2.8641
 -2.5732 -2.3252 -2.1058 -1.9080 -1.7297 -1.3664 -1.0968 -0.8829 -0.7006 -0.5413
 -0.4027
 -5.8053 -5.4293 -5.0768 -4.7474 -4.4371 -4.1352 -3.8140 -3.4521 -3.0980 -2.7839
 -2.5139 -2.2789 -2.0676 -1.8741 -1.6969 -1.3298 -1.0588 -0.8506 -0.6784 -0.5304
 -0.4023 -0.2916
 -5.4870 -5.1184 -4.7938 -4.4828 -4.1777 -3.8825 -3.5957 -3.2950 -2.9932 -2.7148
 -2.4677 -2.2479 -2.0472 -1.8600 -1.6853 -1.3143 -1.0379 -0.8309 -0.6649 -0.5252
 -0.4056 -0.3025 -0.2130 -0.1344
 -5.2958 -4.8344 -4.4491 -4.1295 -3.8601 -3.6216 -3.3889 -3.1450 -2.8927 -2.6496
 -2.4260 -2.2227 -2.0348 -1.8568 -1.6867 -1.3137 -1.0299 -0.8203 -0.6575 -0.5236
 -0.4109 -0.3145 -0.2312 -0.1580 -0.0928 -0.0346  0.0183  0.0665  0.1061  0.1295
 -5.2641 -4.7399 -4.2912 -3.9155 -3.6039 -3.3425 -3.1200 -2.9262 -2.7476 -2.5687
 -2.3835 -2.1998 -2.0248 -1.8575 -1.6950 -1.3239 -1.0321 -0.8168 -0.6542 -0.5241
 -0.4167 -0.3262 -0.2489 -0.1816 -0.1215 -0.0673 -0.0186  0.0255  0.0651  0.0962
  0.1119
 -5.3362 -4.7650 -4.2691 -3.8495 -3.5014 -3.2133 -2.9721 -2.7654 -2.5848 -2.4275
 -2.2890 -2.1549 -2.0107 -1.8582 -1.7054 -1.3419 -1.0429 -0.8198 -0.6542 -0.5256
 -0.4219 -0.3364 -0.2647 -0.2033 -0.1491 -0.1001 -0.0557 -0.0153  0.0215  0.0525
  0.0755
 -5.4662 -4.8595 -4.3278 -3.8728 -3.4924 -3.1779 -2.9173 -2.6983 -2.5104 -2.3458
 -2.2002 -2.0707 -1.9522 -1.8336 -1.7045 -1.3627 -1.0588 -0.8268 -0.6559 -0.5265
 -0.4248 -0.3430 -0.2764 -0.2208 -0.1729 -0.1300 -0.0909 -0.0549 -0.0222  0.0067
  0.0306
 -5.6085 -4.9987 -4.4433 -3.9620 -3.5538 -3.2139 -2.9321 -2.6964 -2.4962 -2.3230
 -2.1700 -2.0322 -1.9063 -1.7897 -1.6781 -1.3835 -1.0850 -0.8434 -0.6642 -0.5308
 -0.4287 -0.3488 -0.2857 -0.2350 -0.1931 -0.1565 -0.1237 -0.0932 -0.0651 -0.0397
 -0.0175
 -5.7129 -5.1216 -4.5751 -4.0804 -3.6550 -3.2946 -2.9924 -2.7386 -2.5231 -2.3371
 -2.1737 -2.0276 -1.8943 -1.7708 -1.6550 -1.3857 -1.1137 -0.8667 -0.6776 -0.5377
 -0.4328 -0.3528 -0.2914 -0.2443 -0.2074 -0.1770 -0.1508 -0.1268 -0.1045 -0.0838
 -0.0653
 -5.7664 -5.2073 -4.6823 -4.2019 -3.7720 -3.4008 -3.0835 -2.8133 -2.5819 -2.3814
 -2.2053 -2.0484 -1.9063 -1.7758 -1.6352 -1.3693 -1.1449 -0.8967 -0.6961
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  g   
 -7.0885 -6.8531 -6.6290 -6.3985 -6.1430 -5.7705 -5.1868 -4.4010 -3.6988 -3.1839
 -2.8117 -2.5228 -2.2834 -2.0771 -1.8953 -1.5289 -1.2476 -1.0094 -0.7946
 -6.6338 -6.3651 -6.1161 -5.8727 -5.6084 -5.2712 -4.7744 -4.1289 -3.5209 -3.0476
 -2.6933 -2.4146 -2.1813 -1.9783 -1.7983 -1.4340 -1.1603 -0.9375 -0.7433 -0.5699
 -6.2860 -5.9825 -5.7021 -5.4377 -5.1716 -4.8666 -4.4561 -3.9285 -3.4042 -2.9674
 -2.6264 -2.3541 -2.1250 -1.9242 -1.7446 -1.3772 -1.1044 -0.8903 -0.7087 -0.5497
 -0.4103
 -6.0281 -5.6927 -5.3794 -5.0873 -4.8079 -4.5211 -4.1828 -3.7546 -3.3084 -2.9121
 -2.5872 -2.3218 -2.0969 -1.8985 -1.7195 -1.3474 -1.0707 -0.8598 -0.6864 -0.5374
 -0.4078 -0.2949
 -5.7864 -5.4494 -5.1252 -4.8151 -4.5183 -4.2305 -3.9349 -3.5890 -3.2141 -2.8625
 -2.5594 -2.3043 -2.0851 -1.8903 -1.7129 -1.3367 -1.0530 -0.8414 -0.6728 -0.5309
 -0.4091 -0.3035 -0.2114 -0.1301
 -5.4971 -5.1089 -4.7895 -4.5142 -4.2518 -3.9845 -3.7114 -3.4243 -3.1133 -2.8078
 -2.5318 -2.2914 -2.0809 -1.8918 -1.7176 -1.3397 -1.0479 -0.8318 -0.6653 -0.5283
 -0.4127 -0.3135 -0.2273 -0.1517 -0.0846 -0.0251  0.0280  0.0769  0.1164  0.1396
 -5.3987 -4.9216 -4.5170 -4.1807 -3.8986 -3.6550 -3.4358 -3.2193 -2.9849 -2.7376
 -2.4971 -2.2768 -2.0782 -1.8973 -1.7284 -1.3522 -1.0530 -0.8298 -0.6622 -0.5283
 -0.4172 -0.3234 -0.2430 -0.1728 -0.1110 -0.0558 -0.0068  0.0374  0.0773  0.1080
  0.1234
 -5.4343 -4.8959 -4.4275 -4.0295 -3.6968 -3.4168 -3.1762 -2.9632 -2.7694 -2.5908
 -2.4192 -2.2456 -2.0710 -1.9023 -1.7417 -1.3723 -1.0666 -0.8349 -0.6630 -0.5298
 -0.4219 -0.3324 -0.2571 -0.1925 -0.1362 -0.0861 -0.0415 -0.0014  0.0346  0.0658
  0.0885
 -5.5573 -4.9710 -4.4524 -4.0054 -3.6282 -3.3132 -3.0492 -2.8231 -2.6241 -2.4467
