 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
  0.0208  0.0293  0.0332  0.0347  0.0339  0.0307  0.0246  0.0146 -0.0014 -0.0263
 -0.0546
 -3.8910 -3.1945 -2.6016 -2.1255 -1.7554 -1.4700 -1.2460 -1.0664 -0.9193 -0.7984
 -0.6996 -0.6213 -0.5570 -0.4946 -0.4303 -0.2808 -0.1672 -0.0855 -0.0307  0.0021
  0.0184  0.0235  0.0233  0.0211  0.0175  0.0128  0.0061 -0.0027 -0.0149 -0.0331
 -0.0610
 -3.8338 -3.1660 -2.5849 -2.1088 -1.7328 -1.4411 -1.2135 -1.0320 -0.8845 -0.7626
 -0.6608 -0.5756 -0.5049 -0.4468 -0.3956 -0.2697 -0.1608 -0.0807 -0.0266  0.0058
  0.0206  0.0228  0.0181  0.0110  0.0034 -0.0045 -0.0132 -0.0228 -0.0342 -0.0496
 -0.0691
 -3.7481 -3.1297 -2.5765 -2.1156 -1.7423 -1.4456 -1.2136 -1.0286 -0.8782 -0.7532
 -0.6480 -0.5589 -0.4830 -0.4183 -0.3635 -0.2508 -0.1512 -0.0740 -0.0204  0.0123
  0.0270  0.0274  0.0188  0.0066 -0.0062 -0.0186 -0.0309 -0.0430 -0.0556 -0.0696
 -0.0862
 -3.6237 -3.0635 -2.5561 -2.1219 -1.7597 -1.4666 -1.2316 -1.0423 -0.8878 -0.7588
 -0.6492 -0.5555 -0.4750 -0.4060 -0.3466 -0.2301 -0.1378 -0.0639 -0.0117  0.0211
  0.0363  0.0365  0.0256  0.0088 -0.0095 -0.0275 -0.0446 -0.0607 -0.0763 -0.0919
 -0.1083
 -3.4727 -2.9722 -2.5184 -2.1210 -1.7822 -1.4983 -1.2633 -1.0695 -0.9093 -0.7750
 -0.6605 -0.5617 -0.4762 -0.4024 -0.3449 -0.2076 -0.1206 -0.0504 -0.0005
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  r   
 -6.1285 -5.6319 -5.1700 -4.7401 -4.3380 -3.8799 -3.2769 -2.5355 -1.9038 -1.4362
 -1.1136 -0.8929 -0.7336 -0.6096 -0.5067 -0.3093 -0.1646 -0.0584  0.0188
 -5.8160 -5.2711 -4.7635 -4.2968 -3.8632 -3.4191 -2.8725 -2.2747 -1.7526 -1.3467
 -1.0511 -0.8422 -0.6908 -0.5736 -0.4767 -0.2890 -0.1537 -0.0566  0.0117  0.0584
 -5.5840 -5.0162 -4.4785 -3.9776 -3.5186 -3.0830 -2.6105 -2.1110 -1.6644 -1.3011
