 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.2675 -1.1842 -1.0953 -0.9905 -0.8682 -0.6969 -0.4534 -0.1532  0.0659  0.2321
  0.3227  0.3890  0.4438  0.4928  0.5379  0.6315
 -0.9832 -0.8947 -0.8108 -0.7209 -0.6168 -0.4792 -0.2889 -0.0559  0.1325  0.2546
  0.3335  0.3928  0.4437  0.4897  0.5318  0.6177  0.6776  0.7131  0.7243
 -0.7518 -0.6539 -0.5693 -0.4882 -0.4000 -0.2923 -0.1489  0.0276  0.1754  0.2773
  0.3460  0.3985  0.4448  0.4875  0.5268  0.6064  0.6610  0.6922  0.7011  0.6904
  0.6664
 -0.5733 -0.4618 -0.3708 -0.2924 -0.2177 -0.1363 -0.0334  0.0973  0.2142  0.3002
  0.3602  0.4061  0.4471  0.4862  0.5229  0.5976  0.6479  0.6759  0.6834  0.6735
  0.6501  0.6180  0.5792
 -0.4402 -0.3152 -0.2139 -0.1315 -0.0617  0.0033  0.0743  0.1663  0.2568  0.3277
  0.3790  0.4180  0.4527  0.4870  0.5206  0.5909  0.6379  0.6634  0.6696  0.6601
  0.6379  0.6070  0.5705  0.5288  0.4819
 -0.3055 -0.1885 -0.0881 -0.0031  0.0676  0.1266  0.1794  0.2397  0.3057  0.3618
  0.4039  0.4357  0.4634  0.4917  0.5211  0.5864  0.6305  0.6540  0.6591  0.6495
  0.6281  0.5980  0.5623  0.5222  0.4781  0.4298
 -0.1910 -0.0527  0.0539  0.1334  0.1924  0.2396  0.2802  0.3182  0.3615  0.4024
  0.4351  0.4599  0.4806  0.5017  0.5254  0.5844  0.6257  0.6473  0.6516  0.6415
  0.6204  0.5907  0.5553  0.5160  0.4734  0.4276  0.3779  0.3238  0.2664  0.2104
 -0.1492  0.0053  0.1321  0.2316  0.3070  0.3618  0.3984  0.4202  0.4367  0.4543
  0.4725  0.4892  0.5039  0.5183  0.5352  0.5853  0.6234  0.6433  0.6467  0.6363
  0.6151  0.5853  0.5495  0.5101  0.4681  0.4236  0.3762  0.3259  0.2716  0.2138
  0.1570
 -0.1360  0.0257  0.1609  0.2711  0.3578  0.4234  0.4711  0.5039  0.5244  0.5352
  0.5377  0.5363  0.5369  0.5421  0.5518  0.5895  0.6239  0.6419  0.6446  0.6339
  0.6123  0.5821  0.5456  0.5053  0.4628  0.4187  0.3727  0.3244  0.2735  0.2193
  0.1612
 -0.1327  0.0325  0.1718  0.2865  0.3783  0.4498  0.5034  0.5420  0.5683  0.5851
  0.5945  0.5971  0.5941  0.5887  0.5852  0.5994  0.6279  0.6437  0.6451  0.6340
  0.6119  0.5811  0.5434  0.5015  0.4577  0.4130  0.3671  0.3199  0.2711  0.2199
  0.1655
 -0.1305  0.0323  0.1736  0.2905  0.3850  0.4593  0.5163  0.5588  0.5893  0.6100
  0.6234  0.6314  0.6354  0.6360  0.6334  0.6256  0.6357  0.6484  0.6486  0.6372
  0.6150  0.5838  0.5452  0.5016  0.4558  0.4095  0.3628  0.3158  0.2680  0.2189
  0.1677
 -0.1167  0.0401  0.1766  0.2935  0.3886  0.4642  0.5226  0.5669  0.6000  0.6240
  0.6409  0.6521  0.6595  0.6643  0.6671  0.6641  0.6567  0.6571  0.6551  0.6430
  0.6209  0.5896  0.5504  0.5054  0.4574  0.4087  0.3601  0.3120  0.2640  0.2156
  0.1663
 -0.0907  0.0580  0.1889  0.3009  0.3948  0.4703  0.5291  0.5741  0.6082  0.6339
  0.6532  0.6672  0.6771  0.6841  0.6863  0.7149  0.6909  0.6698  0.6646
 [Fe/H] = -0.50 [alpha/Fe] = 0.20 BC value =  I   
 -1.4904 -1.4097 -1.3202 -1.2104 -1.0687 -0.8616 -0.5673 -0.2243  0.0530  0.2253
  0.3322  0.3987  0.4529  0.4999  0.5421  0.6317
 -1.1957 -1.1070 -1.0209 -0.9248 -0.8051 -0.6390 -0.4052 -0.1181  0.1112  0.2537
  0.3408  0.4019  0.4523  0.4969  0.5372  0.6203  0.6797  0.7166  0.7303
 -0.9520 -0.8513 -0.7630 -0.6752 -0.5744 -0.4444 -0.2652 -0.0429  0.1440  0.2700
  0.3497  0.4061  0.4528  0.4948  0.5331  0.6110  0.6654  0.6980  0.7088  0.7001
  0.6776
 -0.7593 -0.6426 -0.5465 -0.4616 -0.3766 -0.2778 -0.1473  0.0203  0.1733  0.2848
  0.3589  0.4113  0.4544  0.4936  0.5298  0.6038  0.6544  0.6836  0.6925  0.6839
  0.6615  0.6294  0.5905
 -0.6129 -0.4796 -0.3715 -0.2823 -0.2039 -0.1260 -0.0348  0.0860  0.2074  0.3036
  0.3713  0.4195  0.4585  0.4942  0.5279  0.5982  0.6458  0.6725  0.6799  0.6714
  0.6501  0.6194  0.5823  0.5401  0.4928
 -0.4773 -0.3465 -0.2333 -0.1383 -0.0586  0.0106  0.0777  0.1594  0.2507  0.3299
  0.3892  0.4322  0.4664  0.4978  0.5282  0.5944  0.6393  0.6641  0.6704  0.6616
  0.6411  0.6114  0.5754  0.5348  0.4900  0.4407
 -0.3142 -0.1796 -0.0774  0.0022  0.0702  0.1313  0.1863  0.2408  0.3041  0.3650
  0.4141  0.4507  0.4796  0.5056  0.5318  0.5925  0.6349  0.6579  0.6635  0.6544
  0.6341  0.6051  0.5697  0.5298  0.4865  0.4395  0.3885  0.3332  0.2749  0.2183
 -0.2448 -0.0848  0.0434  0.1424  0.2172  0.2721  0.3115  0.3418  0.3743  0.4113
  0.4465  0.4754  0.4985  0.5189  0.5397  0.5930  0.6327  0.6540  0.6589  0.6495
  0.6293  0.6004  0.5650  0.5252  0.4825  0.4369  0.3882  0.3365  0.2809  0.2222
  0.1649
