 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -0.7821 -0.6981 -0.6318 -0.5758 -0.5254 -0.4778 -0.4324 -0.3885 -0.3466 -0.3072
 -0.2708
 -4.4708 -4.2375 -4.0205 -3.8173 -3.6258 -3.4429 -3.2634 -3.0855 -2.9095 -2.7368
 -2.5691 -2.4081 -2.2551 -2.1109 -1.9752 -1.6718 -1.4199 -1.2102 -1.0398 -0.9014
 -0.7912 -0.7064 -0.6413 -0.5899 -0.5465 -0.5072 -0.4702 -0.4343 -0.3994 -0.3660
 -0.3347
 -4.3830 -4.1566 -3.9517 -3.7575 -3.5744 -3.4000 -3.2312 -3.0649 -2.8992 -2.7349
 -2.5730 -2.4152 -2.2630 -2.1180 -1.9832 -1.6736 -1.4240 -1.2177 -1.0476
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -6.3001 -6.0440 -5.8394 -5.6736 -5.4958 -5.3152 -5.1208 -4.9108 -4.6838 -4.4454
 -4.1931 -3.9318 -3.6749 -3.4283 -3.1597 -2.6089
 -5.8104 -5.5185 -5.2762 -5.0713 -4.8929 -4.7265 -4.5587 -4.3801 -4.1896 -3.9878
 -3.7697 -3.5352 -3.2934 -3.0602 -2.8308 -2.3383 -1.8957 -1.5022 -1.1801
 -5.4272 -5.0957 -4.8223 -4.5993 -4.4134 -4.2502 -4.0966 -3.9396 -3.7761 -3.6035
 -3.4159 -3.2097 -2.9882 -2.7690 -2.5648 -2.1188 -1.7354 -1.3981 -1.1156 -0.8905
 -0.7088
 -5.1505 -4.7756 -4.4777 -4.2576 -4.0573 -3.8863 -3.7345 -3.5893 -3.4433 -3.2925
 -3.1317 -2.9553 -2.7593 -2.5547 -2.3617 -1.9504 -1.6114 -1.3184 -1.0690 -0.8673
 -0.7014 -0.5649 -0.4435
 -5.0053 -4.5975 -4.2737 -4.0225 -3.8227 -3.6539 -3.4991 -3.3473 -3.1997 -3.0556
 -2.9100 -2.7576 -2.5903 -2.4047 -2.2215 -1.8331 -1.5237 -1.2631 -1.0403 -0.8573
