 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -2.0937 -1.8314 -1.6037 -1.4314 -1.2471 -1.0812 -0.9355 -0.8072 -0.6955 -0.6003
 -0.5180 -0.4428 -0.3676 -0.2902 -0.2160 -0.0610  0.0512  0.1269  0.1737  0.2016
  0.2182  0.2260  0.2267
 -1.9808 -1.6812 -1.4351 -1.2361 -1.0737 -0.9378 -0.8202 -0.7139 -0.6154 -0.5290
 -0.4560 -0.3928 -0.3328 -0.2682 -0.2015 -0.0575  0.0476  0.1184  0.1615  0.1866
  0.2015  0.2094  0.2120  0.2105  0.2034
 -1.9362 -1.6298 -1.3536 -1.1284 -0.9504 -0.8100 -0.6991 -0.6107 -0.5390 -0.4762
 -0.4108 -0.3509 -0.2979 -0.2465 -0.1892 -0.0557  0.0439  0.1112  0.1513  0.1735
  0.1861  0.1930  0.1954  0.1940  0.1888  0.1799
 -1.9115 -1.6045 -1.3243 -1.0839 -0.8861 -0.7281 -0.6053 -0.5126 -0.4445 -0.3965
 -0.3564 -0.3122 -0.2660 -0.2207 -0.1734 -0.0522  0.0424  0.1070  0.1448  0.1637
  0.1730  0.1775  0.1786  0.1768  0.1723  0.1649  0.1541  0.1365  0.1105  0.0812
 -1.8744 -1.5826 -1.3107 -1.0740 -0.8760 -0.7140 -0.5839 -0.4815 -0.4027 -0.3418
 -0.2946 -0.2569 -0.2218 -0.1864 -0.1492 -0.0448  0.0445  0.1068  0.1430  0.1588
  0.1639  0.1646  0.1630  0.1595  0.1543  0.1473  0.1377  0.1253  0.1060  0.0774
  0.0442
 -1.8132 -1.5429 -1.2888 -1.0644 -0.8732 -0.7141 -0.5827 -0.4747 -0.3877 -0.3186
 -0.2630 -0.2171 -0.1781 -0.1443 -0.1138 -0.0289  0.0509  0.1106  0.1461  0.1600
  0.1607  0.1564  0.1506  0.1440  0.1366  0.1284  0.1188  0.1073  0.0927  0.0720
  0.0406
 -1.7227 -1.4759 -1.2447 -1.0376 -0.8598 -0.7095 -0.5826 -0.4749 -0.3839 -0.3080
 -0.2457 -0.1943 -0.1504 -0.1120 -0.0793 -0.0041  0.0646  0.1189  0.1533  0.1667
  0.1644  0.1549  0.1436  0.1322  0.1211  0.1102  0.0989  0.0869  0.0735  0.0570
  0.0343
 -1.6108 -1.3952 -1.1884 -1.0001 -0.8363 -0.6967 -0.5773 -0.4740 -0.3838 -0.3052
 -0.2377 -0.1808 -0.1330 -0.0918 -0.0558  0.0189  0.0817  0.1303  0.1627  0.1766
  0.1738  0.1608  0.1441  0.1269  0.1107  0.0954  0.0808  0.0666  0.0522  0.0367
  0.0202
 -1.4870 -1.2997 -1.1187 -0.9507 -0.8018 -0.6730 -0.5619 -0.4648 -0.3786 -0.3012
 -0.2322 -0.1716 -0.1196 -0.0755 -0.0377  0.0381  0.0988  0.1438  0.1735  0.1877
  0.1859  0.1721  0.1518  0.1292  0.1070  0.0863  0.0669  0.0489  0.0317  0.0147
 -0.0030
 -1.3531 -1.1924 -1.0394 -0.8944 -0.7607 -0.6416 -0.5385 -0.4476 -0.3661 -0.2921
 -0.2244 -0.1630 -0.1083 -0.0611 -0.0250  0.0535  0.1159  0.1594  0.1857
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  R   
 -3.1293 -2.9994 -2.8701 -2.7289 -2.5914 -2.3943 -2.1029 -1.7196 -1.3551 -1.0570
 -0.8263 -0.6495 -0.5111 -0.3971 -0.2996 -0.1024
 -2.8955 -2.7365 -2.5784 -2.4131 -2.2426 -2.0407 -1.7784 -1.4577 -1.1616 -0.9162
 -0.7214 -0.5681 -0.4451 -0.3425 -0.2540 -0.0753  0.0577  0.1520  0.2123
 -2.7108 -2.5304 -2.3499 -2.1643 -1.9712 -1.7664 -1.5308 -1.2617 -1.0165 -0.8102
 -0.6428 -0.5081 -0.3978 -0.3045 -0.2232 -0.0590  0.0612  0.1455  0.1999  0.2322
  0.2505
 -2.5752 -2.3811 -2.1846 -1.9825 -1.7771 -1.5713 -1.3601 -1.1316 -0.9198 -0.7390
 -0.5905 -0.4695 -0.3692 -0.2831 -0.2072 -0.0535  0.0587  0.1371  0.1877  0.2175
  0.2340  0.2422  0.2432
 -2.4316 -2.2087 -2.0207 -1.8295 -1.6297 -1.4271 -1.2296 -1.0331 -0.8471 -0.6850
 -0.5498 -0.4393 -0.3479 -0.2690 -0.1981 -0.0527  0.0538  0.1282  0.1762  0.2041
  0.2191  0.2264  0.2281  0.2254  0.2170
 -2.3192 -2.0586 -1.8258 -1.6173 -1.4301 -1.2612 -1.1041 -0.9428 -0.7841 -0.6396
 -0.5153 -0.4121 -0.3274 -0.2558 -0.1906 -0.0528  0.0490  0.1204  0.1663  0.1924
  0.2056  0.2115  0.2130  0.2103  0.2039  0.1930
 -2.2820 -1.9902 -1.7151 -1.4678 -1.2536 -1.0706 -0.9173 -0.7906 -0.6811 -0.5793
 -0.4797 -0.3871 -0.3067 -0.2395 -0.1808 -0.0515  0.0462  0.1150  0.1590  0.1834
  0.1941  0.1979  0.1978  0.1946  0.1887  0.1797  0.1671  0.1478  0.1209  0.0918
 -2.2798 -1.9752 -1.6787 -1.4085 -1.1739 -0.9761 -0.8115 -0.6749 -0.5622 -0.4724
 -0.4022 -0.3409 -0.2801 -0.2209 -0.1664 -0.0472  0.0464  0.1128  0.1552  0.1779
  0.1862  0.1866  0.1838  0.1789  0.1722  0.1635  0.1521  0.1373  0.1169  0.0878
  0.0551
 -2.2798 -1.9793 -1.6778 -1.3960 -1.1485 -0.9398 -0.7668 -0.6241 -0.5074 -0.4120
 -0.3348 -0.2741 -0.2262 -0.1835 -0.1419 -0.0386  0.0501  0.1142  0.1554  0.1768
  0.1862  0.1797  0.1730  0.1649  0.1560  0.1461  0.1347  0.1222  0.1059  0.0828
  0.0511
 -2.2531 -1.9692 -1.6749 -1.3957 -1.1451 -0.9312 -0.7533 -0.6061 -0.4850 -0.3855
 -0.3041 -0.2374 -0.1827 -0.1383 -0.1015 -0.0192  0.0590  0.1200  0.1598  0.1804
  0.1848  0.1782  0.1669  0.1543  0.1417  0.1291  0.1160  0.1023  0.0869  0.0686
  0.0448
 -2.1982 -1.9333 -1.6604 -1.3926 -1.1484 -0.9362 -0.7577 -0.6085 -0.4846 -0.3811
 -0.2948 -0.2232 -0.1634 -0.1134 -0.0715  0.0073  0.0743  0.1288  0.1670  0.1875
  0.1917  0.1831  0.1675  0.1498  0.1322  0.1155  0.0992  0.0832  0.0670  0.0495
  0.0313
 -2.1214 -1.8752 -1.6244 -1.3743 -1.1431 -0.9386 -0.7634 -0.6159 -0.4919 -0.3867
 -0.2970 -0.2206 -0.1559 -0.1013 -0.0551  0.0308  0.0938  0.1428  0.1772  0.1972
