 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -4.7732 -4.1843 -3.6350 -3.1284 -2.6865 -2.3149 -2.0109 -1.7649 -1.5649 -1.4000
 -1.2613 -1.1424 -1.0384 -0.9461 -0.8628 -0.6848 -0.5244 -0.3843 -0.2753 -0.1961
 -0.1421 -0.1079 -0.0882 -0.0783 -0.0732 -0.0697 -0.0663 -0.0623 -0.0578 -0.0536
 -0.0503
 -4.7484 -4.2025 -3.6754 -3.1857 -2.7424 -2.3610 -2.0436 -1.7841 -1.5738 -1.4018
 -1.2587 -1.1370 -1.0314 -0.9381 -0.8529 -0.6613 -0.5234 -0.3895 -0.2793
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F547M
 -6.4297 -6.1099 -5.8345 -5.5947 -5.3229 -4.9562 -4.4452 -3.7503 -2.9309 -2.2990
 -1.8674 -1.5708 -1.3546 -1.1854 -1.0440 -0.7655 -0.5562 -0.3924 -0.2594
 -6.0970 -5.7276 -5.4129 -5.1436 -4.8923 -4.5967 -4.1394 -3.4441 -2.7521 -2.1918
 -1.7867 -1.4998 -1.2889 -1.1239 -0.9868 -0.7176 -0.5190 -0.3680 -0.2487 -0.1530
 -5.8860 -5.4641 -5.0980 -4.7836 -4.5032 -4.2113 -3.8185 -3.2428 -2.6499 -2.1431
 -1.7554 -1.4711 -1.2595 -1.0948 -0.9591 -0.6942 -0.5004 -0.3560 -0.2447 -0.1564
 -0.0861
 -5.7384 -5.2806 -4.8694 -4.5067 -4.1857 -3.8830 -3.5466 -3.0801 -2.5722 -2.1155
 -1.7469 -1.4654 -1.2517 -1.0851 -0.9490 -0.6859 -0.4934 -0.3518 -0.2451 -0.1620
 -0.0962 -0.0433
 -5.4914 -5.0715 -4.6692 -4.2906 -3.9387 -3.6115 -3.2948 -2.9235 -2.4951 -2.0888
 -1.7443 -1.4695 -1.2552 -1.0865 -0.9492 -0.6865 -0.4937 -0.3524 -0.2481 -0.1684
 -0.1062 -0.0568 -0.0161  0.0192
 -5.0405 -4.6387 -4.3007 -3.9945 -3.6923 -3.3821 -3.0684 -2.7552 -2.4041 -2.0510
 -1.7360 -1.4738 -1.2625 -1.0932 -0.9549 -0.6918 -0.4984 -0.3558 -0.2521 -0.1747
 -0.1154 -0.0693 -0.0320 -0.0004  0.0268  0.0499  0.0677  0.0785  0.0809  0.0776
 -4.8064 -4.3212 -3.9170 -3.5839 -3.2981 -3.0367 -2.7845 -2.5289 -2.2598 -1.9784
 -1.7083 -1.4692 -1.2673 -1.1005 -0.9625 -0.6993 -0.5055 -0.3611 -0.2564 -0.1800
 -0.1231 -0.0800 -0.0464 -0.0185  0.0057  0.0271  0.0448  0.0585  0.0655  0.0634
  0.0551
 -4.7651 -4.2169 -3.7440 -3.3462 -3.0146 -2.7315 -2.4789 -2.2451 -2.0207 -1.8042
 -1.6057 -1.4233 -1.2547 -1.1024 -0.9689 -0.7076 -0.5139 -0.3676 -0.2607 -0.1840
 -0.1285 -0.0881 -0.0582 -0.0345 -0.0143  0.0039  0.0198  0.0332  0.0431  0.0463
  0.0400
 -4.8265 -4.2383 -3.7132 -3.2602 -2.8786 -2.5594 -2.2892 -2.0537 -1.8416 -1.6455
 -1.4679 -1.3148 -1.1852 -1.0696 -0.9597 -0.7131 -0.5204 -0.3730 -0.2639 -0.1858
 -0.1310 -0.0926 -0.0660 -0.0469 -0.0314 -0.0175 -0.0049  0.0064  0.0157  0.0216
  0.0216
 -4.9299 -4.3267 -3.7707 -3.2773 -2.8529 -2.4965 -2.2004 -1.9527 -1.7413 -1.5565
 -1.3923 -1.2475 -1.1225 -1.0164 -0.9242 -0.7157 -0.5286 -0.3806 -0.2690 -0.1883
 -0.1324 -0.0947 -0.0704 -0.0551 -0.0445 -0.0358 -0.0278 -0.0201 -0.0131 -0.0082
 -0.0054
 -5.0024 -4.4138 -3.8567 -3.3416 -2.8890 -2.5019 -2.1793 -1.9131 -1.6928 -1.5077
 -1.3492 -1.2116 -1.0911 -0.9859 -0.8938 -0.7036 -0.5342 -0.3878 -0.2745 -0.1908
 -0.1325 -0.0943 -0.0710 -0.0583 -0.0521 -0.0486 -0.0460 -0.0433 -0.0404 -0.0377
 -0.0410
 -5.0440 -4.4699 -3.9287 -3.4207 -2.9556 -2.5493 -2.2048 -1.9191 -1.6849 -1.4920
 -1.3309 -1.1940 -1.0755 -0.9718 -0.8685 -0.6768 -0.5372 -0.3946 -0.2804
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = F547M
 -6.5276 -6.2510 -6.0302 -5.8483 -5.6423 -5.3301 -4.8403 -4.1152 -3.2072 -2.4622
 -1.9510 -1.6073 -1.3664 -1.1848 -1.0380 -0.7554 -0.5465 -0.3841 -0.2503
 -6.2000 -5.8796 -5.6195 -5.4117 -5.2250 -4.9910 -4.5775 -3.8498 -3.0590 -2.3808
 -1.8909 -1.5526 -1.3136 -1.1340 -0.9898 -0.7145 -0.5134 -0.3613 -0.2417 -0.1449
 -5.9901 -5.6152 -5.3029 -5.0497 -4.8361 -4.6085 -4.2616 -3.6656 -2.9830 -2.3629
