 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.7319 -1.5912 -1.4558 -1.3320 -1.2238 -1.1333 -1.0602 -1.0035 -0.9609 -0.9306
 -0.9030 -0.8675 -0.8266 -0.7815 -0.7287 -0.5864 -0.4707 -0.3833 -0.3192 -0.2727
 -0.2375 -0.2091 -0.1851 -0.1643 -0.1460 -0.1300 -0.1168 -0.1074 -0.1036 -0.1081
 -1.7024 -1.5752 -1.4484 -1.3294 -1.2219 -1.1277 -1.0475 -0.9811 -0.9272 -0.8830
 -0.8463 -0.8149 -0.7828 -0.7474 -0.7057 -0.5791 -0.4666 -0.3813 -0.3195 -0.2764
 -0.2456 -0.2216 -0.2016 -0.1842 -0.1687 -0.1547 -0.1427 -0.1328 -0.1275 -0.1292
 -0.1396
 -1.6485 -1.5385 -1.4261 -1.3178 -1.2173 -1.1266 -1.0457 -0.9747 -0.9139 -0.8623
 -0.8174 -0.7774 -0.7407 -0.7069 -0.6730 -0.5674 -0.4619 -0.3783 -0.3177 -0.2765
 -0.2493 -0.2300 -0.2148 -0.2017 -0.1899 -0.1789 -0.1692 -0.1610 -0.1550 -0.1534
 -0.1608
 -1.5692 -1.4765 -1.3814 -1.2875 -1.1986 -1.1163 -1.0404 -0.9708 -0.9075 -0.8512
 -0.8012 -0.7565 -0.7151 -0.6763 -0.6410 -0.5478 -0.4534 -0.3731 -0.3134 -0.2730
 -0.2480 -0.2328 -0.2225 -0.2145 -0.2074 -0.2007 -0.1945 -0.1888 -0.1843 -0.1820
 -0.1847
 -1.4728 -1.3987 -1.3203 -1.2412 -1.1652 -1.0936 -1.0261 -0.9621 -0.9013 -0.8444
 -0.7918 -0.7439 -0.6999 -0.6588 -0.6203 -0.5296 -0.4430 -0.3675 -0.3089 -0.2682
 -0.2434 -0.2303 -0.2241 -0.2212 -0.2195 -0.2179 -0.2163 -0.2146 -0.2130 -0.2123
 -0.2124
 -1.3684 -1.3082 -1.2451 -1.1802 -1.1166 -1.0561 -0.9982 -0.9422 -0.8873 -0.8338
 -0.7821 -0.7333 -0.6879 -0.6456 -0.6060 -0.5150 -0.4320 -0.3606 -0.3038 -0.2628
 -0.2373 -0.2243 -0.2201 -0.2212 -0.2246 -0.2285 -0.2323 -0.2356 -0.2383 -0.2410
 -0.2442
 -1.2577 -1.2110 -1.1614 -1.1095 -1.0572 -1.0062 -0.9575 -0.9099 -0.8625 -0.8149
 -0.7673 -0.7206 -0.6755 -0.6331 -0.5981 -0.5040 -0.4204 -0.3524 -0.2981
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.4227 -2.3677 -2.3156 -2.2602 -2.2102 -2.1302 -2.0005 -1.8217 -1.6346 -1.4640
 -1.3151 -1.1872 -1.0769 -0.9793 -0.8912 -0.7034
 -2.2478 -2.1809 -2.1203 -2.0598 -1.9986 -1.9202 -1.8068 -1.6556 -1.5020 -1.3603
 -1.2331 -1.1191 -1.0164 -0.9238 -0.8400 -0.6627 -0.5200 -0.4044 -0.3133
 -2.1110 -2.0319 -1.9615 -1.8939 -1.8241 -1.7462 -1.6469 -1.5200 -1.3927 -1.2739
 -1.1650 -1.0643 -0.9700 -0.8825 -0.8023 -0.6329 -0.4993 -0.3932 -0.3093 -0.2431
 -0.1905
 -2.0123 -1.9207 -1.8392 -1.7625 -1.6867 -1.6083 -1.5208 -1.4149 -1.3067 -1.2048
 -1.1108 -1.0228 -0.9377 -0.8554 -0.7781 -0.6140 -0.4862 -0.3863 -0.3081 -0.2468
 -0.1983 -0.1590 -0.1268
 -1.9410 -1.8258 -1.7342 -1.6557 -1.5775 -1.4980 -1.4163 -1.3269 -1.2339 -1.1450
 -1.0626 -0.9859 -0.9115 -0.8364 -0.7627 -0.6028 -0.4787 -0.3830 -0.3091 -0.2519
 -0.2072 -0.1710 -0.1410 -0.1157 -0.0947
 -1.9026 -1.7641 -1.6458 -1.5451 -1.4596 -1.3874 -1.3228 -1.2506 -1.1719 -1.0933
 -1.0191 -0.9504 -0.8855 -0.8200 -0.7518 -0.5964 -0.4749 -0.3819 -0.3113 -0.2577
 -0.2166 -0.1838 -0.1565 -0.1335 -0.1138 -0.0975
 -1.8984 -1.7497 -1.6102 -1.4838 -1.3739 -1.2805 -1.2044 -1.1445 -1.0925 -1.0397
 -0.9807 -0.9190 -0.8591 -0.8014 -0.7414 -0.5925 -0.4728 -0.3818 -0.3137 -0.2630
 -0.2255 -0.1963 -0.1724 -0.1520 -0.1343 -0.1191 -0.1068 -0.0984 -0.0951 -0.0989
 -1.8992 -1.7498 -1.6043 -1.4679 -1.3447 -1.2376 -1.1468 -1.0704 -1.0067 -0.9557
 -0.9151 -0.8758 -0.8307 -0.7806 -0.7280 -0.5892 -0.4713 -0.3816 -0.3151 -0.2668
 -0.2324 -0.2071 -0.1870 -0.1701 -0.1552 -0.1421 -0.1313 -0.1229 -0.1182 -0.1197
 -0.1293
 -1.8907 -1.7491 -1.6064 -1.4679 -1.3398 -1.2257 -1.1265 -1.0418 -0.9703 -0.9098
 -0.8588 -0.8164 -0.7808 -0.7451 -0.7051 -0.5849 -0.4696 -0.3806 -0.3149 -0.2681
 -0.2345 -0.2145 -0.1987 -0.1860 -0.1748 -0.1648 -0.1563 -0.1486 -0.1436 -0.1438
 -0.1507
 -1.8569 -1.7323 -1.5987 -1.4663 -1.3401 -1.2249 -1.1229 -1.0336 -0.9565 -0.8904
 -0.8334 -0.7838 -0.7402 -0.7022 -0.6675 -0.5713 -0.4657 -0.3776 -0.3124 -0.2664
 -0.2359 -0.2172 -0.2057 -0.1977 -0.1911 -0.1852 -0.1801 -0.1757 -0.1725 -0.1716
 -0.1749
 -1.7985 -1.6918 -1.5750 -1.4545 -1.3363 -1.2256 -1.1254 -1.0358 -0.9565 -0.8866
 -0.8249 -0.7706 -0.7222 -0.6784 -0.6390 -0.5502 -0.4585 -0.3747 -0.3097 -0.2634
 -0.2330 -0.2157 -0.2074 -0.2039 -0.2024 -0.2014 -0.2008 -0.2002 -0.2000 -0.2007
 -0.2022
 -1.7212 -1.6307 -1.5311 -1.4248 -1.3187 -1.2169 -1.1225 -1.0365 -0.9587 -0.8883
 -0.8244 -0.7667 -0.7145 -0.6673 -0.6241 -0.5308 -0.4466 -0.3693 -0.3060 -0.2593
 -0.2283 -0.2109 -0.2041 -0.2040 -0.2072 -0.2115 -0.2161 -0.2203 -0.2242 -0.2282
 -0.2328
 -1.6296 -1.5533 -1.4692 -1.3788 -1.2861 -1.1953 -1.1094 -1.0296 -0.9560 -0.8881
 -0.8250 -0.7665 -0.7123 -0.6625 -0.6228 -0.5131 -0.4300 -0.3614 -0.3013
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.8839 -2.8279 -2.7666 -2.6941 -2.6328 -2.5232 -2.3277 -2.0615 -1.8051 -1.5240
 -1.3260 -1.1719 -1.0510 -0.9496 -0.8616 -0.6819
 -2.6542 -2.5923 -2.5320 -2.4668 -2.3994 -2.3015 -2.1413 -1.9113 -1.6676 -1.4474
 -1.2651 -1.1190 -1.0018 -0.9043 -0.8199 -0.6471 -0.5106 -0.3994 -0.3086
 -2.4684 -2.3972 -2.3330 -2.2695 -2.1999 -2.1128 -1.9822 -1.7875 -1.5804 -1.3870
 -1.2197 -1.0812 -0.9674 -0.8725 -0.7904 -0.6225 -0.4917 -0.3878 -0.3047 -0.2379
 -0.1845
 -2.3265 -2.2426 -2.1696 -2.1022 -2.0342 -1.9572 -1.8504 -1.6901 -1.5134 -1.3428
 -1.1898 -1.0585 -0.9478 -0.8542 -0.7731 -0.6081 -0.4809 -0.3813 -0.3029 -0.2402
 -0.1902 -0.1499 -0.1172
 -2.2216 -2.1251 -2.0411 -1.9653 -1.8930 -1.8185 -1.7308 -1.6025 -1.4529 -1.3033
 -1.1647 -1.0420 -0.9356 -0.8438 -0.7637 -0.6004 -0.4752 -0.3784 -0.3031 -0.2438
 -0.1969 -0.1595 -0.1291 -0.1039 -0.0834
 -2.1185 -2.0152 -1.9295 -1.8517 -1.7757 -1.6993 -1.6181 -1.5173 -1.3929 -1.2631
 -1.1389 -1.0260 -0.9256 -0.8371 -0.7586 -0.5968 -0.4728 -0.3776 -0.3047 -0.2480
 -0.2041 -0.1696 -0.1418 -0.1189 -0.0997 -0.0843
 -2.0656 -1.9308 -1.8161 -1.7216 -1.6439 -1.5761 -1.5070 -1.4269 -1.3283 -1.2190
 -1.1098 -1.0073 -0.9142 -0.8306 -0.7549 -0.5955 -0.4722 -0.3780 -0.3066 -0.2522
 -0.2108 -0.1793 -0.1547 -0.1345 -0.1176 -0.1035 -0.0928 -0.0854 -0.0830 -0.0868
 -2.0517 -1.9023 -1.7658 -1.6444 -1.5398 -1.4494 -1.3695 -1.2969 -1.2246 -1.1487
 -1.0671 -0.9823 -0.8991 -0.8217 -0.7503 -0.5951 -0.4724 -0.3787 -0.3083 -0.2555
 -0.2164 -0.1878 -0.1665 -0.1497 -0.1356 -0.1239 -0.1145 -0.1077 -0.1044 -0.1067
 -0.1154
 -2.0535 -1.8995 -1.7530 -1.6164 -1.4925 -1.3832 -1.2870 -1.2007 -1.1205 -1.0458
 -0.9799 -0.9216 -0.8643 -0.8040 -0.7417 -0.5947 -0.4729 -0.3792 -0.3092 -0.2573
 -0.2200 -0.1940 -0.1761 -0.1631 -0.1527 -0.1440 -0.1370 -0.1318 -0.1293 -0.1296
 -0.1361
 -2.0567 -1.9045 -1.7565 -1.6133 -1.4786 -1.3560 -1.2471 -1.1508 -1.0649 -0.9869
 -0.9162 -0.8540 -0.8016 -0.7565 -0.7122 -0.5905 -0.4718 -0.3783 -0.3082 -0.2570
 -0.2208 -0.1967 -0.1819 -0.1729 -0.1668 -0.1621 -0.1586 -0.1559 -0.1547 -0.1557
 -0.1603
 -2.0482 -1.9073 -1.7642 -1.6223 -1.4842 -1.3546 -1.2371 -1.1329 -1.0409 -0.9597
 -0.8872 -0.8225 -0.7652 -0.7153 -0.6723 -0.5751 -0.4709 -0.3779 -0.3074 -0.2559
 -0.2200 -0.1968 -0.1841 -0.1785 -0.1768 -0.1766 -0.1774 -0.1784 -0.1800 -0.1828
 -0.1874
 -2.0175 -1.8915 -1.7608 -1.6265 -1.4920 -1.3622 -1.2415 -1.1326 -1.0361 -0.9510
 -0.8757 -0.8089 -0.7493 -0.6960 -0.6484 -0.5510 -0.4624 -0.3766 -0.3060 -0.2538
 -0.2174 -0.1944 -0.1826 -0.1793 -0.1813 -0.1857 -0.1912 -0.1968 -0.2024 -0.2083
 -0.2149
 -1.9655 -1.8539 -1.7373 -1.6163 -1.4908 -1.3666 -1.2485 -1.1392 -1.0410 -0.9536
 -0.8760 -0.8067 -0.7446 -0.6888 -0.6405 -0.5182 -0.4463 -0.3744 -0.3040
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =F350LP
 -3.0670 -3.0108 -2.9467 -2.8676 -2.7936 -2.6616 -2.4331 -2.1277 -1.8404 -1.5386
 -1.3278 -1.1665 -1.0410 -0.9387 -0.8506 -0.6715
 -2.8223 -2.7604 -2.6981 -2.6281 -2.5515 -2.4379 -2.2537 -1.9921 -1.7175 -1.4729
 -1.2746 -1.1192 -0.9969 -0.8974 -0.8123 -0.6401 -0.5055 -0.3964 -0.3066
 -2.6212 -2.5498 -2.4843 -2.4178 -2.3425 -2.2455 -2.0984 -1.8789 -1.6430 -1.4237
 -1.2378 -1.0876 -0.9674 -0.8693 -0.7859 -0.6180 -0.4881 -0.3851 -0.3024 -0.2356
 -0.1812
 -2.4637 -2.3790 -2.3053 -2.2367 -2.1665 -2.0845 -1.9672 -1.7881 -1.5867 -1.3910
 -1.2174 -1.0717 -0.9525 -0.8544 -0.7714 -0.6052 -0.4780 -0.3786 -0.3002 -0.2372
 -0.1865 -0.1456 -0.1125
 -2.3463 -2.2475 -2.1622 -2.0859 -2.0134 -1.9379 -1.8453 -1.7035 -1.5337 -1.3615
 -1.2020 -1.0630 -0.9456 -0.8475 -0.7642 -0.5987 -0.4728 -0.3756 -0.3000 -0.2400
 -0.1922 -0.1540 -0.1226 -0.0970 -0.0767
 -2.2352 -2.1355 -2.0460 -1.9638 -1.8855 -1.8088 -1.7267 -1.6177 -1.4776 -1.3286
 -1.1850 -1.0550 -0.9417 -0.8446 -0.7614 -0.5961 -0.4708 -0.3747 -0.3010 -0.2434
 -0.1982 -0.1627 -0.1342 -0.1110 -0.0921 -0.0771
 -2.1462 -2.0173 -1.9124 -1.8283 -1.7575 -1.6889 -1.6138 -1.5265 -1.4149 -1.2891
 -1.1626 -1.0438 -0.9369 -0.8428 -0.7606 -0.5957 -0.4706 -0.3752 -0.3025 -0.2469
 -0.2040 -0.1711 -0.1455 -0.1250 -0.1083 -0.0946 -0.0842 -0.0778 -0.0760 -0.0801
 -2.1180 -1.9678 -1.8340 -1.7197 -1.6235 -1.5413 -1.4689 -1.3992 -1.3208 -1.2288
 -1.1278 -1.0253 -0.9280 -0.8393 -0.7597 -0.5963 -0.4714 -0.3760 -0.3040 -0.2497
 -0.2088 -0.1785 -0.1560 -0.1387 -0.1248 -0.1135 -0.1049 -0.0988 -0.0964 -0.0993
 -0.1082
 -2.1153 -1.9565 -1.8083 -1.6732 -1.5538 -1.4501 -1.3588 -1.2750 -1.1944 -1.1161
 -1.0437 -0.9740 -0.9024 -0.8286 -0.7560 -0.5972 -0.4725 -0.3770 -0.3050 -0.2515
 -0.2121 -0.1839 -0.1644 -0.1507 -0.1403 -0.1321 -0.1259 -0.1215 -0.1193 -0.1212
