 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  J   
  1.6981  1.6605  1.6305  1.6071  1.5879  1.5416  1.4868  1.4226  1.3504  1.2722
  1.1893  1.1038
  2.2473  2.2127  2.1664  2.1125  2.0544  1.9945  1.9342  1.8748  1.8172  1.7632
  1.7142  1.6712  1.6353  1.6068  1.5839  1.5336  1.4772  1.4121  1.3396  1.2618
  1.1801  1.0959  1.0106  0.9250
  2.1899  2.1773  2.1542  2.1181  2.0710  2.0166  1.9586  1.9003  1.8427  1.7870
  1.7350  1.6878  1.6466  1.6124  1.5848  1.5292  1.4710  1.4049  1.3320  1.2542
  1.1730  1.0894  1.0049  0.9202  0.8357  0.7510  0.6655  0.5786  0.4913  0.4067
  2.1455  2.1275  2.1087  2.0857  2.0555  2.0168  1.9696  1.9154  1.8595  1.8056
  1.7546  1.7067  1.6626  1.6237  1.5908  1.5280  1.4676  1.4005  1.3271  1.2490
  1.1678  1.0843  0.9999  0.9156  0.8318  0.7486  0.6652  0.5816  0.4969  0.4116
  0.3286
  2.1308  2.1047  2.0789  2.0532  2.0256  1.9941  1.9574  1.9151  1.8667  1.8148
  1.7641  1.7173  1.6751  1.6366  1.6014  1.5300  1.4668  1.3985  1.3245  1.2461
  1.1646  1.0809  0.9961  0.9114  0.8276  0.7449  0.6629  0.5812  0.4993  0.4167
  0.3332
  2.1332  2.1015  2.0694  2.0375  2.0059  1.9737  1.9394  1.9019  1.8605  1.8157
  1.7694  1.7240  1.6817  1.6436  1.6097  1.5351  1.4681  1.3981  1.3232  1.2443
  1.1623  1.0781  0.9926  0.9069  0.8223  0.7393  0.6574  0.5766  0.4965  0.4163
  0.3353
  2.1431  2.1087  2.0731  2.0366  2.0003  1.9642  1.9284  1.8918  1.8535  1.8131
  1.7712  1.7292  1.6889  1.6513  1.6169  1.5425  1.4726  1.4008  1.3250  1.2457
  1.1634  1.0789  0.9928  0.9061  0.8203  0.7362  0.6539  0.5733  0.4939  0.4151
  0.3367
  2.1564  2.1201  2.0824  2.0440  2.0044  1.9649  1.9260  1.8877  1.8497  1.8114
  1.7725  1.7333  1.6948  1.6581  1.6239  1.5485  1.4792  1.4057  1.3286  1.2487
  1.1663  1.0814  0.9949  0.9075  0.8204  0.7349  0.6514  0.5700  0.4904  0.4121
  0.3374
  2.1731  2.1348  2.0955  2.0553  2.0147  1.9733  1.9319  1.8913  1.8518  1.8133
  1.7756  1.7383  1.7014  1.6655  1.6307  1.5531  1.4879  1.4128  1.3340
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  J   
  2.1747  2.1197  2.0650  2.0112  1.9604  1.9129  1.8686  1.8272  1.7885  1.7527
  1.7217  1.6961  1.6756  1.6588  1.6438  1.6040  1.5534  1.4907  1.4152
  2.2089  2.1525  2.0943  2.0363  1.9799  1.9263  1.8762  1.8296  1.7861  1.7460
  1.7107  1.6811  1.6572  1.6379  1.6211  1.5784  1.5263  1.4636  1.3913  1.3108
  2.2395  2.1847  2.1264  2.0668  2.0075  1.9500  1.8951  1.8433  1.7950  1.7504
  1.7106  1.6765  1.6485  1.6259  1.6068  1.5611  1.5075  1.4442  1.3724  1.2939
  1.2100
  2.2642  2.2129  2.1568  2.0979  2.0379  1.9784  1.9204  1.8646  1.8120  1.7630
