 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.6736 -4.2518 -3.8950 -3.6200 -3.4326 -3.3088 -3.1204 -2.8535 -2.5996 -2.3818
 -2.1942 -2.0243 -1.8643 -1.7133 -1.5718 -1.2670 -1.0284 -0.8357 -0.6734 -0.5349
 -0.4170 -0.3162 -0.2292 -0.1535 -0.0870 -0.0277  0.0260  0.0745  0.1135  0.1364
 -4.7345 -4.3008 -3.9180 -3.5932 -3.3325 -3.1295 -2.9727 -2.8348 -2.6487 -2.4270
 -2.2245 -2.0494 -1.8884 -1.7359 -1.5919 -1.2759 -1.0268 -0.8297 -0.6686 -0.5342
 -0.4216 -0.3265 -0.2454 -0.1750 -0.1131 -0.0579 -0.0090  0.0350  0.0744  0.1045
  0.1193
 -4.8122 -4.3736 -3.9772 -3.6285 -3.3326 -3.0872 -2.8859 -2.7144 -2.5668 -2.4266
 -2.2633 -2.0846 -1.9210 -1.7676 -1.6215 -1.2957 -1.0345 -0.8302 -0.6675 -0.5350
 -0.4260 -0.3358 -0.2600 -0.1953 -0.1389 -0.0888 -0.0441 -0.0031  0.0329  0.0624
  0.0843
 -4.8922 -4.4554 -4.0531 -3.6900 -3.3713 -3.0994 -2.8720 -2.6791 -2.5089 -2.3557
 -2.2171 -2.0841 -1.9440 -1.7996 -1.6553 -1.3224 -1.0491 -0.8352 -0.6682 -0.5355
 -0.4286 -0.3419 -0.2709 -0.2118 -0.1613 -0.1169 -0.0775 -0.0416 -0.0095  0.0182
  0.0410
 -4.9770 -4.5445 -4.1438 -3.7742 -3.4408 -3.1487 -2.8985 -2.6864 -2.5036 -2.3400
 -2.1899 -2.0518 -1.9241 -1.8023 -1.6783 -1.3597 -1.0756 -0.8504 -0.6759 -0.5400
 -0.4328 -0.3478 -0.2801 -0.2256 -0.1807 -0.1424 -0.1088 -0.0785 -0.0510 -0.0257
 -0.0054
 -5.0611 -4.6287 -4.2340 -3.8661 -3.5261 -3.2201 -2.9514 -2.7198 -2.5213 -2.3483
 -2.1926 -2.0487 -1.9147 -1.7900 -1.6720 -1.3873 -1.1098 -0.8732 -0.6890 -0.5473
 -0.4377 -0.3524 -0.2863 -0.2350 -0.1948 -0.1624 -0.1350 -0.1108 -0.0890 -0.0692
 -0.0501
 -5.1516 -4.7033 -4.3141 -3.9540 -3.6167 -3.3050 -3.0235 -2.7752 -2.5597 -2.3729
 -2.2088 -2.0608 -1.9238 -1.7952 -1.6736 -1.3948 -1.1388 -0.9034 -0.7086
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  g   
 -5.2417 -4.7166 -4.2770 -3.9179 -3.5990 -3.3171 -3.0792 -2.8573 -2.6510 -2.4707
 -2.3006 -2.1411 -1.9937 -1.8580 -1.7339 -1.4657 -1.2289 -1.0135 -0.8170
 -5.1693 -4.7728 -4.3020 -3.8967 -3.5546 -3.2553 -3.0067 -2.7801 -2.5730 -2.3900
 -2.2183 -2.0578 -1.9090 -1.7721 -1.6469 -1.3807 -1.1590 -0.9577 -0.7683 -0.5913
 -5.0032 -4.7859 -4.3663 -3.9400 -3.5658 -3.2437 -2.9738 -2.7420 -2.5338 -2.3477
 -2.1753 -2.0138 -1.8635 -1.7244 -1.5969 -1.3268 -1.1070 -0.9128 -0.7341 -0.5704
 -0.4248
 -4.7737 -4.5035 -4.3623 -4.0064 -3.6223 -3.2786 -2.9832 -2.7356 -2.5220 -2.3318
 -2.1587 -1.9964 -1.8445 -1.7030 -1.5723 -1.2947 -1.0728 -0.8824 -0.7109 -0.5567
 -0.4206 -0.3024
 -4.6329 -4.2569 -4.0544 -3.9587 -3.6838 -3.3434 -3.0305 -2.7604 -2.5327 -2.3360
 -2.1605 -1.9974 -1.8441 -1.7004 -1.5666 -1.2792 -1.0517 -0.8622 -0.6958 -0.5485
 -0.4201 -0.3089 -0.2129 -0.1297
 -4.6867 -4.2500 -3.9032 -3.6729 -3.5550 -3.3850 -3.0988 -2.8161 -2.5681 -2.3585
 -2.1761 -2.0118 -1.8574 -1.7119 -1.5752 -1.2774 -1.0414 -0.8498 -0.6864 -0.5443
 -0.4220 -0.3170 -0.2265 -0.1478 -0.0788 -0.0183  0.0362  0.0854  0.1239  0.1465
 -4.7811 -4.3151 -3.9178 -3.5971 -3.3600 -3.1982 -3.0707 -2.8754 -2.6299 -2.4015
 -2.2066 -2.0367 -1.8812 -1.7342 -1.5953 -1.2877 -1.0409 -0.8442 -0.6813 -0.5428
 -0.4251 -0.3253 -0.2402 -0.1666 -0.1023 -0.0458  0.0048  0.0495  0.0875  0.1169
  0.1313
 -4.9036 -4.4174 -3.9916 -3.6290 -3.3325 -3.1008 -2.9194 -2.7729 -2.6333 -2.4563
 -2.2553 -2.0731 -1.9135 -1.7656 -1.6249 -1.3087 -1.0501 -0.8454 -0.6801 -0.5431
 -0.4286 -0.3331 -0.2528 -0.1844 -0.1253 -0.0737 -0.0283  0.0115  0.0468  0.0771
  0.0982
 -5.0427 -4.5386 -4.0947 -3.7053 -3.3733 -3.0996 -2.8788 -2.6962 -2.5385 -2.3983
 -2.2615 -2.1099 -1.9502 -1.8011 -1.6594 -1.3367 -1.0666 -0.8518 -0.6814 -0.5437
 -0.4309 -0.3385 -0.2624 -0.1990 -0.1453 -0.0991 -0.0588 -0.0233  0.0080  0.0348
  0.0566
 -5.1786 -4.6747 -4.2217 -3.8149 -3.4578 -3.1528 -2.8994 -2.6903 -2.5135 -2.3567
 -2.2144 -2.0834 -1.9569 -1.8283 -1.6973 -1.3759 -1.0954 -0.8691 -0.6906 -0.5491
 -0.4358 -0.3446 -0.2713 -0.2120 -0.1633 -0.1225 -0.0877 -0.0574 -0.0307 -0.0074
  0.0120
 -5.3001 -4.8067 -4.3549 -3.9409 -3.5676 -3.2395 -2.9585 -2.7226 -2.5250 -2.3555
 -2.2042 -2.0655 -1.9371 -1.8174 -1.7028 -1.4139 -1.1322 -0.8943 -0.7060 -0.5582
 -0.4419 -0.3502 -0.2781 -0.2215 -0.1769 -0.1413 -0.1122 -0.0875 -0.0661 -0.0475
 -0.0302
 -5.4072 -4.9347 -4.4758 -4.0683 -3.6902 -3.3484 -3.0463 -2.7861 -2.5654 -2.3780
 -2.2160 -2.0711 -1.9379 -1.8139 -1.6759 -1.4507 -1.1770 -0.9274 -0.7276
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  g   
 -5.0730 -4.5743 -4.1639 -3.8332 -3.5250 -3.2572 -3.0224 -2.8082 -2.6068 -2.4325
 -2.2674 -2.1127 -1.9694 -1.8376 -1.7166 -1.4544 -1.2244 -1.0174 -0.8304
 -5.1667 -4.6535 -4.1970 -3.8129 -3.4907 -3.2049 -2.9604 -2.7422 -2.5390 -2.3621
 -2.1957 -2.0402 -1.8959 -1.7629 -1.6407 -1.3797 -1.1633 -0.9683 -0.7839 -0.6088
 -4.9285 -4.7424 -4.2729 -3.8622 -3.5049 -3.1966 -2.9352 -2.7105 -2.5057 -2.3255
 -2.1584 -2.0020 -1.8565 -1.7216 -1.5973 -1.3323 -1.1167 -0.9269 -0.7511 -0.5875
 -0.4396
