 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
  0.0561  0.0649  0.0680  0.0680  0.0654  0.0601  0.0520  0.0391  0.0192 -0.0078
 -0.0373
 -2.3892 -2.0936 -1.8242 -1.5864 -1.3811 -1.2054 -1.0562 -0.9280 -0.8199 -0.7325
 -0.6580 -0.5799 -0.5015 -0.4276 -0.3613 -0.2254 -0.1243 -0.0498  0.0028  0.0365
  0.0546  0.0612  0.0607  0.0571  0.0518  0.0449  0.0356  0.0241  0.0087 -0.0127
 -0.0428
 -2.4563 -2.1536 -1.8786 -1.6302 -1.4116 -1.2229 -1.0606 -0.9203 -0.7984 -0.6927
 -0.6033 -0.5291 -0.4671 -0.4085 -0.3496 -0.2176 -0.1188 -0.0455  0.0064  0.0397
  0.0570  0.0614  0.0574  0.0495  0.0402  0.0301  0.0189  0.0064 -0.0080 -0.0256
 -0.0491
 -2.5435 -2.2239 -1.9474 -1.6948 -1.4653 -1.2634 -1.0889 -0.9379 -0.8066 -0.6920
 -0.5922 -0.5064 -0.4346 -0.3761 -0.3252 -0.2085 -0.1118 -0.0397  0.0119  0.0453
  0.0625  0.0659  0.0591  0.0467  0.0326  0.0183  0.0037 -0.0111 -0.0266 -0.0437
 -0.0635
 -2.6601 -2.3081 -2.0226 -1.7686 -1.5353 -1.3232 -1.1359 -0.9733 -0.8321 -0.7089
 -0.6012 -0.5079 -0.4278 -0.3609 -0.3054 -0.1951 -0.1027 -0.0315  0.0197  0.0533
  0.0708  0.0740  0.0656  0.0496  0.0306  0.0112 -0.0080 -0.0265 -0.0448 -0.0634
 -0.0821
 -2.8241 -2.4149 -2.1068 -1.8467 -1.6124 -1.3971 -1.2007 -1.0261 -0.8736 -0.7407
 -0.6245 -0.5233 -0.4359 -0.3616 -0.2995 -0.1829 -0.0942 -0.0221  0.0293
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  r   
 -2.9490 -2.5730 -2.2346 -1.9478 -1.6957 -1.4716 -1.2922 -1.1366 -1.0070 -0.8932
 -0.7866 -0.6874 -0.5952 -0.5093 -0.4294 -0.2560 -0.1221 -0.0241  0.0464
 -2.6997 -2.5546 -2.2260 -1.9242 -1.6633 -1.4365 -1.2521 -1.0977 -0.9668 -0.8529
 -0.7482 -0.6515 -0.5617 -0.4782 -0.4007 -0.2356 -0.1110 -0.0211  0.0422  0.0865
 -2.4782 -2.4376 -2.2237 -1.9335 -1.6637 -1.4277 -1.2339 -1.0741 -0.9409 -0.8266
 -0.7236 -0.6291 -0.5416 -0.4605 -0.3854 -0.2264 -0.1073 -0.0221  0.0373  0.0784
  0.1056
 -2.3159 -2.1270 -2.0815 -1.9350 -1.6837 -1.4435 -1.2360 -1.0653 -0.9258 -0.8088
 -0.7066 -0.6138 -0.5283 -0.4494 -0.3766 -0.2226 -0.1074 -0.0251  0.0320  0.0710
  0.0963  0.1117
 -2.3036 -2.0282 -1.8350 -1.7480 -1.6678 -1.4672 -1.2558 -1.0719 -0.9211 -0.7975
 -0.6940 -0.6020 -0.5181 -0.4411 -0.3703 -0.2210 -0.1090 -0.0287  0.0269  0.0644
  0.0882  0.1021  0.1097  0.1132
 -2.3398 -2.0329 -1.7826 -1.5921 -1.4659 -1.3908 -1.2701 -1.0930 -0.9298 -0.7948
 -0.6848 -0.5923 -0.5093 -0.4337 -0.3646 -0.2195 -0.1106 -0.0318  0.0229  0.0593
  0.0818  0.0939  0.0997  0.1013  0.0996  0.0933  0.0812  0.0621  0.0368  0.0104
 -2.4060 -2.0782 -1.8008 -1.5715 -1.3884 -1.2469 -1.1422 -1.0574 -0.9425 -0.8041
 -0.6824 -0.5845 -0.5012 -0.4264 -0.3586 -0.2170 -0.1108 -0.0335  0.0206  0.0561
  0.0775  0.0879  0.0912  0.0905  0.0870  0.0805  0.0705  0.0556  0.0342  0.0061
 -0.0238
 -2.4936 -2.1520 -1.8537 -1.6006 -1.3900 -1.2166 -1.0742 -0.9559 -0.8603 -0.7769
 -0.6832 -0.5812 -0.4943 -0.4192 -0.3520 -0.2130 -0.1092 -0.0333  0.0203  0.0554
  0.0758  0.0846  0.0852  0.0814  0.0752  0.0671  0.0564  0.0432  0.0258  0.0022
 -0.0288
 -2.5921 -2.2401 -1.9301 -1.6575 -1.4251 -1.2307 -1.0683 -0.9309 -0.8128 -0.7116
 -0.6267 -0.5521 -0.4792 -0.4094 -0.3434 -0.2063 -0.1045 -0.0299  0.0231  0.0579
  0.0774  0.0846  0.0826  0.0751  0.0652  0.0541  0.0416  0.0279  0.0117 -0.0087
 -0.0342
 -2.7108 -2.3419 -2.0250 -1.7422 -1.4916 -1.2772 -1.0966 -0.9439 -0.8133 -0.6997
 -0.6008 -0.5159 -0.4436 -0.3828 -0.3273 -0.1993 -0.0990 -0.0252  0.0276  0.0625
  0.0818  0.0881  0.0839  0.0730  0.0589  0.0438  0.0280  0.0117 -0.0058 -0.0241
 -0.0469
 -2.8556 -2.4562 -2.1276 -1.8395 -1.5801 -1.3497 -1.1508 -0.9818 -0.8377 -0.7136
 -0.6056 -0.5117 -0.4305 -0.3617 -0.3048 -0.1887 -0.0914 -0.0184  0.0342  0.0694
