 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
  0.1954  0.1675  0.1340  0.0988  0.0635  0.0278 -0.0088 -0.0465 -0.0860 -0.1289
 -0.1752
 -0.8195 -0.6783 -0.5699 -0.4825 -0.4069 -0.3366 -0.2695 -0.2051 -0.1444 -0.0889
 -0.0394  0.0034  0.0390  0.0674  0.0897  0.1322  0.1731  0.2060  0.2208  0.2190
  0.2025  0.1738  0.1377  0.0989  0.0601  0.0218 -0.0163 -0.0545 -0.0932 -0.1333
 -0.1759
 -0.8427 -0.6671 -0.5396 -0.4412 -0.3620 -0.2955 -0.2349 -0.1775 -0.1224 -0.0700
 -0.0213  0.0226  0.0613  0.0942  0.1215  0.1682  0.1971  0.2183  0.2302  0.2284
  0.2126  0.1843  0.1466  0.1043  0.0614  0.0194 -0.0216 -0.0617 -0.1014 -0.1413
 -0.1816
 -0.9169 -0.6907 -0.5333 -0.4155 -0.3242 -0.2526 -0.1937 -0.1415 -0.0928 -0.0462
 -0.0015  0.0403  0.0784  0.1123  0.1415  0.1944  0.2233  0.2381  0.2436
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  i   
 -1.6403 -1.4303 -1.2182 -1.0341 -0.8711 -0.7236 -0.6109 -0.5192 -0.4402 -0.3615
 -0.2884 -0.2196 -0.1547 -0.0937 -0.0362  0.0920  0.1923  0.2571  0.2893
 -1.4623 -1.3941 -1.2132 -1.0239 -0.8589 -0.7115 -0.5927 -0.4984 -0.4166 -0.3406
 -0.2704 -0.2047 -0.1429 -0.0846 -0.0295  0.0917  0.1843  0.2435  0.2697  0.2699
 -1.2145 -1.1939 -1.1678 -1.0211 -0.8555 -0.7089 -0.5829 -0.4824 -0.3990 -0.3242
 -0.2568 -0.1941 -0.1352 -0.0797 -0.0271  0.0885  0.1758  0.2304  0.2546  0.2553
  0.2405
 -1.1313 -1.0031 -0.9487 -0.9465 -0.8498 -0.7098 -0.5813 -0.4723 -0.3848 -0.3103
 -0.2446 -0.1845 -0.1284 -0.0756 -0.0256  0.0849  0.1682  0.2197  0.2425  0.2436
  0.2295  0.2068
 -1.0865 -0.9426 -0.8214 -0.7433 -0.7219 -0.6854 -0.5808 -0.4698 -0.3750 -0.2983
 -0.2326 -0.1745 -0.1208 -0.0705 -0.0229  0.0824  0.1621  0.2113  0.2331  0.2342
  0.2207  0.1984  0.1713  0.1402
 -1.0472 -0.9073 -0.7781 -0.6656 -0.5792 -0.5270 -0.5038 -0.4554 -0.3709 -0.2889
 -0.2210 -0.1635 -0.1116 -0.0635 -0.0183  0.0819  0.1582  0.2054  0.2263  0.2274
  0.2140  0.1915  0.1643  0.1339  0.1003  0.0626  0.0202 -0.0275 -0.0794 -0.1307
 -1.0087 -0.8744 -0.7494 -0.6340 -0.5318 -0.4464 -0.3807 -0.3380 -0.3111 -0.2703
 -0.2095 -0.1514 -0.1008 -0.0545 -0.0113  0.0839  0.1567  0.2020  0.2223  0.2233
  0.2100  0.1868  0.1585  0.1276  0.0943  0.0582  0.0192 -0.0237 -0.0717 -0.1242
 -0.1769
 -0.9768 -0.8398 -0.7202 -0.6098 -0.5082 -0.4158 -0.3357 -0.2689 -0.2165 -0.1798
 -0.1536 -0.1227 -0.0838 -0.0423 -0.0017  0.0887  0.1580  0.2014  0.2212  0.2222
  0.2088  0.1848  0.1548  0.1222  0.0881  0.0524  0.0144 -0.0258 -0.0692 -0.1171
 -0.1706
 -0.9613 -0.8118 -0.6864 -0.5806 -0.4841 -0.3949 -0.3130 -0.2400 -0.1770 -0.1242
