 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  u   
 -1.5404 -1.4321 -1.3611 -1.3147 -1.2848 -1.2649 -1.2504 -1.2380 -1.2248 -1.2072
 -7.6765 -7.1832 -6.7473 -6.3609 -6.0172 -5.7109 -5.4375 -5.1919 -4.9681 -4.7593
 -4.5607 -4.3648 -4.1552 -3.9285 -3.6843 -3.0983 -2.6281 -2.2405 -1.9160 -1.6632
 -1.4899 -1.3794 -1.3092 -1.2649 -1.2381 -1.2230 -1.2151 -1.2100 -1.2061 -1.2016
 -1.1932
 -8.0648 -7.5147 -7.0188 -6.5743 -6.1769 -5.8220 -5.5046 -5.2196 -4.9619 -4.7257
 -4.5040 -4.2929 -4.0886 -3.8872 -3.6736 -3.0978 -2.6167 -2.2309 -1.9074 -1.6455
 -1.4566 -1.3348 -1.2599 -1.2145 -1.1884 -1.1753 -1.1710 -1.1715 -1.1738 -1.1764
 -1.1794
 -8.5267 -7.9145 -7.3680 -6.8688 -6.4156 -6.0070 -5.6410 -5.3136 -5.0194 -4.7528
 -4.5075 -4.2781 -4.0605 -3.8533 -3.6530 -3.1248 -2.6368 -2.2417 -1.9162 -1.6465
 -1.4408 -1.3011 -1.2145 -1.1636 -1.1356 -1.1228 -1.1202 -1.1241 -1.1312 -1.1393
 -1.1474
 -9.0240 -8.3771 -7.7838 -7.2377 -6.7344 -6.2733 -5.8553 -5.4800 -5.1444 -4.8434
 -4.5703 -4.3192 -4.0851 -3.8647 -3.6563 -3.1540 -2.6827 -2.2757 -1.9434 -1.6674
 -1.4473 -1.2874 -1.1821 -1.1185 -1.0835 -1.0672 -1.0635 -1.0682 -1.0780 -1.0902
 -1.1030
 -9.5216 -8.8587 -8.2309 -7.6474 -7.1034 -6.5984 -6.1340 -5.7108 -5.3302 -4.9892
 -4.6833 -4.4060 -4.1515 -3.9149 -3.6929 -3.1825 -2.7274 -2.3211 -1.9787 -1.6968
 -1.4671 -1.2910 -1.1659 -1.0846 -1.0367 -1.0125 -1.0044 -1.0071 -1.0169 -1.0312
 -1.0476
-10.0126 -9.3291 -8.6834 -8.0730 -7.4983 -6.9598 -6.4582 -5.9952 -5.5720 -5.1895
 -4.8458 -4.5369 -4.2571 -4.0006 -3.7628 -3.2103 -2.7709 -2.3779 -2.0221
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  u   
 -8.0017 -7.9929 -7.9941 -7.9989 -7.9997 -7.9849 -7.9459 -7.8751 -7.7628 -7.5954
 -7.3655 -7.0829 -6.7648 -6.4335 -6.1022 -5.2963
 -7.3212 -7.3301 -7.3423 -7.3508 -7.3496 -7.3308 -7.2869 -7.2114 -7.0956 -6.9292
 -6.7042 -6.4221 -6.1005 -5.7693 -5.4461 -4.6909 -3.9828 -3.3293 -2.7920
 -6.7965 -6.7795 -6.7749 -6.7718 -6.7611 -6.7345 -6.6845 -6.6050 -6.4888 -6.3286
 -6.1170 -5.8505 -5.5412 -5.2190 -4.9070 -4.1996 -3.5724 -3.0177 -2.5579 -2.2084
 -1.9592
 -6.4276 -6.3411 -6.2919 -6.2619 -6.2341 -6.1961 -6.1387 -6.0559 -5.9424 -5.7936
 -5.6039 -5.3681 -5.0869 -4.7826 -4.4849 -3.8224 -3.2585 -2.7737 -2.3725 -2.0630
 -1.8414 -1.6846 -1.5714
 -6.3525 -6.1596 -6.0010 -5.8991 -5.8235 -5.7607 -5.6911 -5.6032 -5.4919 -5.3537
 -5.1848 -4.9810 -4.7370 -4.4593 -4.1768 -3.5485 -3.0285 -2.5904 -2.2290 -1.9474
 -1.7455 -1.6062 -1.5092 -1.4387 -1.3845
 -6.4905 -6.1995 -5.9640 -5.7752 -5.6249 -5.5061 -5.4070 -5.2999 -5.1764 -5.0349
 -4.8739 -4.6909 -4.4806 -4.2357 -3.9704 -3.3641 -2.8701 -2.4602 -2.1228 -1.8581
 -1.6667 -1.5369 -1.4497 -1.3899 -1.3465 -1.3130
 -6.7227 -6.3735 -6.0693 -5.8086 -5.5903 -5.4086 -5.2597 -5.1366 -5.0160 -4.8745
 -4.7003 -4.5096 -4.3085 -4.0908 -3.8473 -3.2541 -2.7709 -2.3754 -2.0496 -1.7921
 -1.6038 -1.4767 -1.3936 -1.3393 -1.3032 -1.2779 -1.2588 -1.2427 -1.2259 -1.2039
 -7.0443 -6.6292 -6.2675 -5.9517 -5.6772 -5.4413 -5.2393 -5.0637 -4.9067 -4.7620
 -4.6166 -4.4443 -4.2382 -4.0172 -3.7877 -3.2048 -2.7205 -2.3289 -2.0066 -1.7483
 -1.5557 -1.4251 -1.3413 -1.2885 -1.2555 -1.2353 -1.2229 -1.2144 -1.2072 -1.1991
 -1.1866
 -7.5041 -6.9981 -6.5612 -6.1817 -5.8506 -5.5609 -5.3075 -5.0854 -4.8881 -4.7075
 -4.5367 -4.3708 -4.2005 -4.0075 -3.7870 -3.2051 -2.7102 -2.3144 -1.9901 -1.7266
 -1.5378 -1.3832 -1.2932 -1.2380 -1.2052 -1.1870 -1.1784 -1.1751 -1.1745 -1.1747
 -1.1745
 -8.1276 -7.5085 -6.9755 -6.5147 -6.1132 -5.7613 -5.4518 -5.1793 -4.9375 -4.7202
 -4.5200 -4.3305 -4.1477 -3.9688 -3.7831 -3.2410 -2.7302 -2.3229 -1.9929 -1.7224
 -1.5083 -1.3523 -1.2500 -1.1880 -1.1525 -1.1342 -1.1274 -1.1277 -1.1320 -1.1379
 -1.1439
 -8.8650 -8.1565 -7.5269 -6.9774 -6.4918 -6.0642 -5.6875 -5.3562 -5.0630 -4.8022
 -4.5670 -4.3508 -4.1476 -3.9539 -3.7671 -3.2851 -2.7880 -2.3611 -2.0202 -1.7408
 -1.5144 -1.3411 -1.2205 -1.1448 -1.1012 -1.0789 -1.0709 -1.0721 -1.0792 -1.0894
 -1.1005
 -9.6484 -8.8794 -8.1793 -7.5444 -6.9775 -6.4698 -6.0182 -5.6180 -5.2646 -4.9525
