 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
 -0.7384 -0.6618 -0.5956 -0.5333 -0.4664 -0.3122 -0.1960 -0.1147 -0.0621 -0.0287
 -0.0058  0.0105  0.0218  0.0290  0.0322  0.0315
 -3.0104 -2.4482 -1.9975 -1.6452 -1.3736 -1.1659 -1.0086 -0.8907 -0.8031 -0.7385
 -0.6827 -0.6227 -0.5619 -0.5044 -0.4473 -0.3062 -0.1955 -0.1174 -0.0679 -0.0384
 -0.0194 -0.0059  0.0036  0.0100  0.0134  0.0138  0.0107  0.0002 -0.0194 -0.0429
 -2.9403 -2.4048 -1.9664 -1.6197 -1.3489 -1.1385 -0.9754 -0.8496 -0.7532 -0.6780
 -0.6179 -0.5679 -0.5202 -0.4723 -0.4234 -0.2974 -0.1923 -0.1168 -0.0692 -0.0433
 -0.0290 -0.0198 -0.0133 -0.0091 -0.0068 -0.0064 -0.0087 -0.0140 -0.0268 -0.0495
 -0.0774
 -2.8507 -2.3503 -1.9371 -1.6051 -1.3417 -1.1336 -0.9685 -0.8370 -0.7329 -0.6505
 -0.5834 -0.5268 -0.4772 -0.4326 -0.3914 -0.2821 -0.1853 -0.1126 -0.0660 -0.0422
 -0.0326 -0.0287 -0.0268 -0.0261 -0.0265 -0.0277 -0.0305 -0.0352 -0.0434 -0.0578
 -0.0839
 -2.7265 -2.2682 -1.8884 -1.5781 -1.3292 -1.1293 -0.9674 -0.8346 -0.7254 -0.6362
 -0.5631 -0.5020 -0.4487 -0.4008 -0.3586 -0.2602 -0.1725 -0.1044 -0.0588 -0.0356
 -0.0291 -0.0307 -0.0347 -0.0391 -0.0436 -0.0480 -0.0529 -0.0585 -0.0658 -0.0762
 -0.0932
 -2.5751 -2.1770 -1.8337 -1.5468 -1.3127 -1.1225 -0.9662 -0.8355 -0.7249 -0.6312
 -0.5523 -0.4862 -0.4299 -0.3802 -0.3356 -0.2398 -0.1578 -0.0942 -0.0501 -0.0262
 -0.0202 -0.0253 -0.0350 -0.0455 -0.0555 -0.0646 -0.0733 -0.0816 -0.0902 -0.1001
 -0.1107
 -2.4072 -2.0702 -1.7685 -1.5082 -1.2902 -1.1098 -0.9596 -0.8325 -0.7230 -0.6279
 -0.5453 -0.4746 -0.4143 -0.3626 -0.3172 -0.2218 -0.1429 -0.0824 -0.0403 -0.0160
 -0.0089 -0.0148 -0.0280 -0.0441 -0.0602 -0.0752 -0.0891 -0.1017 -0.1135 -0.1253
 -0.1378
 -2.2251 -1.9466 -1.6946 -1.4674 -1.2667 -1.0945 -0.9501 -0.8263 -0.7184 -0.6234
 -0.5392 -0.4652 -0.4010 -0.3461 -0.3034 -0.2062 -0.1278 -0.0690 -0.0294
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  r   
 -5.8703 -5.4453 -5.0313 -4.6124 -4.2107 -3.7447 -3.1780 -2.5145 -1.9630 -1.5523
 -1.2552 -1.0393 -0.8746 -0.7424 -0.6293 -0.4015
 -5.5091 -4.9758 -4.4808 -4.0175 -3.5867 -3.1491 -2.6624 -2.1343 -1.6978 -1.3644
 -1.1157 -0.9290 -0.7838 -0.6650 -0.5631 -0.3575 -0.2023 -0.0882 -0.0098
 -5.1880 -4.6017 -4.0604 -3.5679 -3.1203 -2.7048 -2.2849 -1.8591 -1.5048 -1.2268
 -1.0134 -0.8489 -0.7188 -0.6107 -0.5174 -0.3289 -0.1891 -0.0879 -0.0180  0.0282
  0.0593
 -4.9070 -4.3230 -3.7701 -3.2636 -2.8116 -2.4117 -2.0455 -1.6889 -1.3840 -1.1395
 -0.9483 -0.7990 -0.6796 -0.5795 -0.4922 -0.3157 -0.1855 -0.0919 -0.0275  0.0149
  0.0428  0.0616  0.0726
 -4.4439 -3.8819 -3.4314 -2.9964 -2.5834 -2.2053 -1.8708 -1.5660 -1.2978 -1.0769
 -0.9010 -0.7627 -0.6522 -0.5596 -0.4776 -0.3103 -0.1866 -0.0979 -0.0372  0.0023
  0.0279  0.0453  0.0563  0.0627  0.0631
 -4.0113 -3.4454 -2.9747 -2.5810 -2.2471 -1.9586 -1.7000 -1.4521 -1.2236 -1.0260
 -0.8630 -0.7323 -0.6282 -0.5427 -0.4668 -0.3076 -0.1891 -0.1038 -0.0460 -0.0090
  0.0142  0.0296  0.0399  0.0458  0.0478  0.0450
 -3.8456 -3.2300 -2.7139 -2.2917 -1.9494 -1.6700 -1.4425 -1.2570 -1.0998 -0.9583
 -0.8251 -0.7062 -0.6060 -0.5242 -0.4547 -0.3046 -0.1904 -0.1081 -0.0525 -0.0178
  0.0024  0.0150  0.0234  0.0284  0.0304  0.0291  0.0241  0.0119 -0.0086 -0.0319
 -3.8098 -3.1637 -2.6130 -2.1644 -1.8056 -1.5199 -1.2910 -1.1060 -0.9559 -0.8368
 -0.7427 -0.6604 -0.5809 -0.5059 -0.4393 -0.2992 -0.1894 -0.1096 -0.0559 -0.0232
 -0.0059  0.0030  0.0082  0.0109  0.0117  0.0104  0.0062 -0.0016 -0.0154 -0.0386
 -0.0661
 -3.8064 -3.1590 -2.5942 -2.1260 -1.7513 -1.4555 -1.2216 -1.0351 -0.8858 -0.7654
 -0.6684 -0.5913 -0.5287 -0.4721 -0.4175 -0.2900 -0.1851 -0.1078 -0.0554 -0.0243
 -0.0060 -0.0046 -0.0038 -0.0046 -0.0065 -0.0094 -0.0141 -0.0199 -0.0296 -0.0466
 -0.0730
 -3.7658 -3.1439 -2.5869 -2.1190 -1.7379 -1.4351 -1.1962 -1.0061 -0.8540 -0.7317
 -0.6325 -0.5514 -0.4842 -0.4283 -0.3805 -0.2725 -0.1759 -0.1017 -0.0507 -0.0205
 -0.0076 -0.0065 -0.0106 -0.0163 -0.0223 -0.0284 -0.0351 -0.0426 -0.0519 -0.0642
 -0.0823
 -3.6733 -3.0952 -2.5744 -2.1203 -1.7445 -1.4411 -1.1996 -1.0061 -0.8504 -0.7237
 -0.6200 -0.5347 -0.4637 -0.4034 -0.3518 -0.2498 -0.1622 -0.0931 -0.0436 -0.0136
 -0.0010 -0.0020 -0.0107 -0.0219 -0.0332 -0.0439 -0.0543 -0.0644 -0.0749 -0.0867
 -0.0992
 -3.5293 -3.0105 -2.5366 -2.1099 -1.7497 -1.4528 -1.2121 -1.0179 -0.8599 -0.7297
 -0.6212 -0.5305 -0.4546 -0.3905 -0.3355 -0.2288 -0.1459 -0.0805 -0.0340 -0.0044
  0.0087  0.0072 -0.0042 -0.0203 -0.0374 -0.0537 -0.0691 -0.0834 -0.0970 -0.1106
 -0.1249
 -3.3342 -2.8894 -2.4733 -2.0883 -1.7511 -1.4657 -1.2293 -1.0353 -0.8755 -0.7427
 -0.6306 -0.5352 -0.4539 -0.3848 -0.3316 -0.2095 -0.1270 -0.0639 -0.0219
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  r   
 -6.2581 -5.9024 -5.5779 -5.2791 -5.1265 -4.8392 -4.2489 -3.3225 -2.5546 -1.7705
 -1.3297 -1.0415 -0.8450 -0.6989 -0.5828 -0.3637
 -5.8873 -5.4719 -5.1028 -4.7771 -4.5234 -4.2074 -3.6771 -2.9053 -2.1824 -1.6182
 -1.2228 -0.9555 -0.7722 -0.6380 -0.5318 -0.3304 -0.1822 -0.0715  0.0087
 -5.6217 -5.1581 -4.7445 -4.3817 -4.0569 -3.7202 -3.2478 -2.6043 -2.0050 -1.5179
 -1.1568 -0.9028 -0.7260 -0.5980 -0.4979 -0.3093 -0.1718 -0.0711  0.0004  0.0490
  0.0802
 -5.4613 -4.9610 -4.5030 -4.0929 -3.7269 -3.3777 -2.9610 -2.4195 -1.9040 -1.4696
 -1.1317 -0.8834 -0.7064 -0.5789 -0.4811 -0.3004 -0.1702 -0.0755 -0.0087  0.0368
  0.0661  0.0850  0.0953
 -5.2806 -4.7873 -4.3181 -3.8808 -3.4791 -3.1083 -2.7366 -2.2824 -1.8327 -1.4410
 -1.1239 -0.8806 -0.7014 -0.5713 -0.4734 -0.2975 -0.1723 -0.0814 -0.0179  0.0253
  0.0530  0.0703  0.0805  0.0857  0.0844
 -4.8422 -4.4292 -4.0421 -3.6597 -3.2741 -2.8985 -2.5371 -2.1597 -1.7691 -1.4162
 -1.1200 -0.8840 -0.7036 -0.5699 -0.4702 -0.2967 -0.1753 -0.0873 -0.0261  0.0151
  0.0411  0.0568  0.0661  0.0706  0.0713  0.0663
 -4.4428 -3.9629 -3.5655 -3.2295 -2.9269 -2.6335 -2.3289 -2.0116 -1.6876 -1.3801
 -1.1104 -0.8863 -0.7079 -0.5714 -0.4689 -0.2958 -0.1774 -0.0919 -0.0325  0.0068
  0.0311  0.0448  0.0522  0.0555  0.0556  0.0521  0.0441  0.0298  0.0075 -0.0162
 -4.2954 -3.7398 -3.2663 -2.8737 -2.5464 -2.2607 -1.9982 -1.7487 -1.5049 -1.2755
 -1.0632 -0.8721 -0.7074 -0.5734 -0.4679 -0.2936 -0.1776 -0.0943 -0.0364  0.0014
  0.0238  0.0351  0.0397  0.0407  0.0394  0.0356  0.0290  0.0185  0.0021 -0.0226
 -0.0498
 -4.3103 -3.7037 -3.1670 -2.7117 -2.3344 -2.0217 -1.7544 -1.5167 -1.2980 -1.0999
 -0.9317 -0.7923 -0.6713 -0.5620 -0.4646 -0.2896 -0.1754 -0.0940 -0.0374 -0.0008
  0.0200  0.0288  0.0301  0.0277  0.0236  0.0182  0.0109  0.0015 -0.0120 -0.0297
 -0.0555
 -4.3711 -3.7502 -3.1773 -2.6741 -2.2501 -1.9020 -1.6163 -1.3768 -1.1702 -0.9888
 -0.8310 -0.6991 -0.5936 -0.5092 -0.4361 -0.2814 -0.1693 -0.0898 -0.0345  0.0009
  0.0202  0.0269  0.0247  0.0181  0.0100  0.0014 -0.0080 -0.0182 -0.0302 -0.0453
 -0.0656
 -4.4110 -3.8078 -3.2294 -2.7047 -2.2504 -1.8716 -1.5627 -1.3117 -1.1043 -0.9300
 -0.7816 -0.6555 -0.5502 -0.4645 -0.3955 -0.2653 -0.1610 -0.0835 -0.0294  0.0055
  0.0241  0.0293  0.0243  0.0135  0.0007 -0.0122 -0.0251 -0.0378 -0.0510 -0.0657
 -0.0828
 -4.3872 -3.8121 -3.2619 -2.7422 -2.2801 -1.8852 -1.5595 -1.2949 -1.0803 -0.9044
 -0.7580 -0.6349 -0.5312 -0.4444 -0.3720 -0.2419 -0.1474 -0.0739 -0.0215  0.0128
  0.0312  0.0356  0.0290  0.0148 -0.0028 -0.0208 -0.0383 -0.0549 -0.0711 -0.0874
 -0.1045
 -4.3057 -3.7762 -3.2543 -2.7620 -2.3095 -1.9153 -1.5833 -1.3092 -1.0865 -0.9051
 -0.7557 -0.6311 -0.5262 -0.4377 -0.3656 -0.2112 -0.1285 -0.0610 -0.0108
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  r   
 -6.3362 -5.9936 -5.6813 -5.4025 -5.3052 -5.0589 -4.4720 -3.5231 -2.6863 -1.8374
 -1.3572 -1.0450 -0.8353 -0.6836 -0.5644 -0.3452
 -5.9607 -5.5645 -5.2166 -4.9190 -4.7106 -4.4374 -3.9241 -3.1252 -2.3328 -1.7002
 -1.2605 -0.9672 -0.7693 -0.6279 -0.5182 -0.3156 -0.1690 -0.0602  0.0193
 -5.6977 -5.2560 -4.8679 -4.5369 -4.2518 -3.9575 -3.5070 -2.8355 -2.1707 -1.6162
 -1.2072 -0.9240 -0.7302 -0.5930 -0.4884 -0.2971 -0.1599 -0.0599  0.0115  0.0606
  0.0928
 -5.5472 -5.0681 -4.6352 -4.2562 -3.9286 -3.6191 -3.2207 -2.6540 -2.0829 -1.5854
 -1.1973 -0.9154 -0.7180 -0.5789 -0.4750 -0.2897 -0.1586 -0.0638  0.0031  0.0491
  0.0790  0.0977  0.1072
 -5.4085 -4.9228 -4.4681 -4.0532 -3.6817 -3.3438 -2.9914 -2.5156 -2.0195 -1.5719
 -1.2048 -0.9248 -0.7214 -0.5766 -0.4706 -0.2879 -0.1609 -0.0693 -0.0053  0.0384
  0.0668  0.0842  0.0949  0.0991  0.0961
 -5.0654 -4.6555 -4.2560 -3.8657 -3.4858 -3.1266 -2.7808 -2.3888 -1.9591 -1.5579
 -1.2150 -0.9410 -0.7334 -0.5817 -0.4711 -0.2882 -0.1642 -0.0749 -0.0129  0.0290
  0.0559  0.0719  0.0809  0.0848  0.0839  0.0779
 -4.6010 -4.1626 -3.8034 -3.4946 -3.2041 -2.9046 -2.5817 -2.2459 -1.8843 -1.5318
 -1.2178 -0.9558 -0.7482 -0.5909 -0.4748 -0.2886 -0.1668 -0.0795 -0.0189  0.0214
  0.0468  0.0611  0.0683  0.0711  0.0701  0.0660  0.0567  0.0403  0.0171 -0.0073
 -4.3928 -3.8704 -3.4315 -3.0750 -2.7778 -2.5126 -2.2589 -1.9982 -1.7241 -1.4493
 -1.1890 -0.9559 -0.7593 -0.6013 -0.4800 -0.2881 -0.1677 -0.0822 -0.0227  0.0163
  0.0401  0.0525  0.0573  0.0577  0.0553  0.0504  0.0423  0.0307  0.0125 -0.0132
 -0.0408
 -4.3769 -3.7952 -3.2849 -2.8556 -2.5029 -2.2088 -1.9506 -1.7094 -1.4748 -1.2532
