 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -5.2344 -4.8851 -4.5952 -4.3521 -4.1440 -3.9548 -3.7696 -3.5781 -3.3803 -3.1782
 -2.9661 -2.7434 -2.5179 -2.3039 -2.0937 -1.6702 -1.3063 -0.9934 -0.7417
 -4.8691 -4.4921 -4.1787 -3.9222 -3.7096 -3.5265 -3.3591 -3.1929 -3.0253 -2.8542
 -2.6737 -2.4794 -2.2741 -2.0736 -1.8899 -1.5042 -1.1887 -0.9211 -0.7015 -0.5273
 -0.3861
 -4.5739 -4.1706 -3.8480 -3.6150 -3.3987 -3.2141 -3.0519 -2.9001 -2.7517 -2.6030
 -2.4489 -2.2833 -2.1020 -1.9145 -1.7398 -1.3802 -1.0994 -0.8666 -0.6734 -0.5176
 -0.3889 -0.2824 -0.1884
 -4.3948 -3.9732 -3.6394 -3.3816 -3.1780 -3.0078 -2.8534 -2.7033 -2.5579 -2.4177
 -2.2787 -2.1358 -1.9809 -1.8107 -1.6434 -1.2982 -1.0384 -0.8299 -0.6574 -0.5165
 -0.4001 -0.3005 -0.2126 -0.1337 -0.0623
 -4.3529 -3.9250 -3.5697 -3.2874 -3.0630 -2.8798 -2.7239 -2.5834 -2.4488 -2.3118
 -2.1696 -2.0309 -1.8926 -1.7441 -1.5864 -1.2488 -0.9997 -0.8066 -0.6496 -0.5209
 -0.4141 -0.3221 -0.2403 -0.1660 -0.0979 -0.0360
 -4.3545 -3.9257 -3.5650 -3.2643 -3.0138 -2.8045 -2.6282 -2.4777 -2.3469 -2.2305
 -2.1109 -1.9762 -1.8381 -1.6999 -1.5552 -1.2231 -0.9775 -0.7927 -0.6463 -0.5274
 -0.4292 -0.3447 -0.2693 -0.2001 -0.1359 -0.0764 -0.0220  0.0277  0.0699  0.0942
 -4.3606 -3.9449 -3.5872 -3.2841 -3.0268 -2.8068 -2.6170 -2.4515 -2.3049 -2.1717
 -2.0482 -1.9296 -1.8066 -1.6775 -1.5413 -1.2147 -0.9674 -0.7854 -0.6450 -0.5333
 -0.4426 -0.3657 -0.2971 -0.2339 -0.1746 -0.1188 -0.0671 -0.0193  0.0230  0.0560
  0.0718
 -4.3507 -3.9583 -3.6140 -3.3156 -3.0571 -2.8322 -2.6342 -2.4579 -2.2996 -2.1554
