 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
  0.2364
 -1.4383 -1.3075 -1.1978 -1.1016 -1.0113 -0.9172 -0.8009 -0.6479 -0.4994 -0.3734
 -0.2708 -0.1859 -0.1141 -0.0532 -0.0011  0.0996  0.1687  0.2120  0.2324  0.2339
  0.2208  0.1988  0.1695
 -1.3128 -1.1719 -1.0531 -0.9513 -0.8612 -0.7764 -0.6863 -0.5696 -0.4486 -0.3414
 -0.2513 -0.1753 -0.1096 -0.0524 -0.0029  0.0928  0.1579  0.1984  0.2176  0.2195
  0.2076  0.1867  0.1596  0.1277  0.0901
 -1.1786 -1.0406 -0.9276 -0.8289 -0.7391 -0.6571 -0.5792 -0.4924 -0.3960 -0.3058
 -0.2275 -0.1605 -0.1017 -0.0494 -0.0029  0.0882  0.1499  0.1881  0.2061  0.2078
  0.1965  0.1762  0.1504  0.1202  0.0860  0.0468
 -1.1021 -0.9346 -0.7974 -0.6885 -0.6033 -0.5350 -0.4733 -0.4098 -0.3382 -0.2655
 -0.1988 -0.1402 -0.0885 -0.0421  0.0002  0.0863  0.1448  0.1809  0.1977  0.1988
  0.1875  0.1672  0.1415  0.1121  0.0795  0.0434  0.0033 -0.0420 -0.0922 -0.1418
 -1.0793 -0.8970 -0.7400 -0.6083 -0.5012 -0.4153 -0.3468 -0.2923 -0.2454 -0.2017
 -0.1576 -0.1131 -0.0696 -0.0292  0.0080  0.0874  0.1429  0.1769  0.1926  0.1930
  0.1812  0.1601  0.1335  0.1038  0.0718  0.0373  0.0001 -0.0407 -0.0861 -0.1365
 -0.1872
 -1.0807 -0.8913 -0.7242 -0.5796 -0.4576 -0.3576 -0.2768 -0.2114 -0.1571 -0.1122
 -0.0780 -0.0526 -0.0299 -0.0050  0.0229  0.0920  0.1442  0.1761  0.1907  0.1905
  0.1780  0.1560  0.1277  0.0964  0.0636  0.0295 -0.0066 -0.0447 -0.0862 -0.1312
 -0.1817
 -1.0889 -0.8972 -0.7260 -0.5745 -0.4438 -0.3342 -0.2443 -0.1714 -0.1121 -0.0630
 -0.0223  0.0099  0.0332  0.0491  0.0623  0.1032  0.1496  0.1791  0.1923  0.1913
  0.1781  0.1550  0.1247  0.0909  0.0560  0.0207 -0.0155 -0.0527 -0.0915 -0.1331
 -0.1787
 -1.0928 -0.9062 -0.7347 -0.5810 -0.4459 -0.3304 -0.2343 -0.1554 -0.0910 -0.0384
  0.0050  0.0410  0.0704  0.0933  0.1094  0.1329  0.1594  0.1854  0.1972  0.1957
  0.1822  0.1584  0.1265  0.0899  0.0520  0.0143 -0.0234 -0.0610 -0.0992 -0.1388
 -0.1805
 -1.0874 -0.9046 -0.7375 -0.5852 -0.4492 -0.3314 -0.2320 -0.1495 -0.0816 -0.0258
  0.0204  0.0587  0.0906  0.1170  0.1383  0.1694  0.1835  0.1965  0.2055  0.2033
  0.1897  0.1656  0.1327  0.0938  0.0526  0.0114 -0.0290 -0.0686 -0.1078 -0.1471
 -0.1872
 -1.0859 -0.8979 -0.7303 -0.5807 -0.4460 -0.3284 -0.2283 -0.1444 -0.0750 -0.0176
  0.0302  0.0701  0.1037  0.1319  0.1490  0.2127  0.2219  0.2124  0.2172
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  i   
 -2.3805 -2.2690 -2.1538 -2.0250 -1.8933 -1.7040 -1.4213 -1.0608 -0.7660 -0.5002
 -0.3408 -0.2244 -0.1348 -0.0613  0.0016  0.1264
 -2.0675 -1.9507 -1.8409 -1.7278 -1.6069 -1.4488 -1.2226 -0.9302 -0.6626 -0.4602
 -0.3154 -0.2073 -0.1226 -0.0536  0.0049  0.1194  0.2009  0.2541  0.2804
 -1.8161 -1.6899 -1.5794 -1.4748 -1.3649 -1.2344 -1.0568 -0.8235 -0.6040 -0.4288
 -0.2969 -0.1958 -0.1152 -0.0495  0.0058  0.1125  0.1872  0.2352  0.2586  0.2608
  0.2479
 -1.6263 -1.4866 -1.3693 -1.2660 -1.1672 -1.0607 -0.9239 -0.7407 -0.5592 -0.4060
 -0.2853 -0.1899 -0.1126 -0.0490  0.0043  0.1057  0.1753  0.2197  0.2413  0.2441
  0.2319  0.2098  0.1798
 -1.4855 -1.3331 -1.2055 -1.0969 -1.0004 -0.9073 -0.8035 -0.6635 -0.5148 -0.3823
 -0.2730 -0.1844 -0.1109 -0.0494  0.0024  0.0998  0.1657  0.2073  0.2275  0.2304
  0.2195  0.1987  0.1716  0.1387  0.0997
 -1.3403 -1.1980 -1.0730 -0.9625 -0.8637 -0.7743 -0.6875 -0.5843 -0.4656 -0.3532
 -0.2564 -0.1754 -0.1070 -0.0485  0.0015  0.0957  0.1585  0.1979  0.2168  0.2194
  0.2091  0.1892  0.1631  0.1323  0.0969  0.0567
 -1.2127 -1.0467 -0.9151 -0.8117 -0.7276 -0.6518 -0.5771 -0.4992 -0.4089 -0.3169
 -0.2332 -0.1610 -0.0988 -0.0445  0.0029  0.0937  0.1538  0.1911  0.2090  0.2111
  0.2009  0.1812  0.1554  0.1254  0.0918  0.0547  0.0133 -0.0334 -0.0844 -0.1345
 -1.1678 -0.9801 -0.8217 -0.6925 -0.5886 -0.5050 -0.4376 -0.3806 -0.3236 -0.2623
 -0.1995 -0.1394 -0.0847 -0.0359  0.0077  0.0943  0.1518  0.1872  0.2041  0.2056
  0.1951  0.1751  0.1486  0.1183  0.0853  0.0498  0.0111 -0.0309 -0.0776 -0.1289
 -0.1799
 -1.1615 -0.9626 -0.7898 -0.6423 -0.5199 -0.4201 -0.3388 -0.2712 -0.2133 -0.1635
 -0.1233 -0.0890 -0.0549 -0.0188  0.0180  0.0977  0.1527  0.1862  0.2022  0.2032
  0.1921  0.1714  0.1438  0.1122  0.0785  0.0431  0.0059 -0.0336 -0.0761 -0.1228
 -0.1746
 -1.1715 -0.9668 -0.7860 -0.6283 -0.4935 -0.3812 -0.2891 -0.2138 -0.1511 -0.0975
 -0.0521 -0.0162  0.0100  0.0299  0.0489  0.1059  0.1573  0.1887  0.2034  0.2038
  0.1920  0.1704  0.1413  0.1075  0.0719  0.0355 -0.0019 -0.0404 -0.0805 -0.1236
 -0.1705
 -1.1884 -0.9835 -0.7980 -0.6345 -0.4921 -0.3711 -0.2705 -0.1879 -0.1203 -0.0642
 -0.0170  0.0229  0.0555  0.0805  0.0984  0.1293  0.1651  0.1942  0.2076  0.2076
  0.1955  0.1733  0.1429  0.1070  0.0688  0.0301 -0.0086 -0.0476 -0.0871 -0.1281
 -0.1712
