 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -0.5984 -0.3266 -0.1225  0.0355  0.1657  0.2770  0.3751  0.4650  0.5477  0.6159
 -8.6819 -7.5755 -6.6901 -6.0452 -5.5981 -5.2932 -5.0769 -4.9179 -4.7854 -4.6065
 -4.3315 -4.0266 -3.7484 -3.4848 -3.2335 -2.6583 -2.1495 -1.6976 -1.2960 -0.9355
 -0.6147 -0.3484 -0.1469  0.0055  0.1271  0.2293  0.3172  0.3942  0.4631  0.5248
  0.5762
 -9.1874 -8.0417 -7.0408 -6.2454 -5.6577 -5.2358 -4.9311 -4.6956 -4.5000 -4.3343
 -4.1824 -3.9994 -3.7733 -3.5284 -3.2773 -2.6843 -2.1606 -1.7046 -1.3070 -0.9548
 -0.6436 -0.3816 -0.1799 -0.0297  0.0863  0.1810  0.2606  0.3293  0.3887  0.4394
  0.4816
 -9.7026 -8.5424 -7.5052 -6.5986 -5.8799 -5.3361 -4.9330 -4.6294 -4.3859 -4.1747
 -3.9863 -3.8184 -3.6552 -3.4857 -3.2961 -2.7376 -2.1971 -1.7313 -1.3325 -0.9839
 -0.6780 -0.4191 -0.2164 -0.0662  0.0463  0.1348  0.2071  0.2680  0.3197  0.3635
  0.3990
-10.1694 -9.1078 -8.0418 -7.0681 -6.2447 -5.5859 -5.0760 -4.6858 -4.3829 -4.1351
 -3.9179 -3.7200 -3.5371 -3.3669 -3.2069 -2.7787 -2.2662 -1.7872 -1.3816 -1.0311
 -0.7256 -0.4661 -0.2599 -0.1066  0.0055  0.0899  0.1561  0.2100  0.2545  0.2916
  0.3218
-10.5277 -9.5961 -8.5856 -7.5924 -6.7014 -5.9485 -5.3389 -4.8570 -4.4779 -4.1755
 -3.9249 -3.7047 -3.5021 -3.3110 -3.1326 -2.7322 -2.3194 -1.8619 -1.4461 -1.0893
 -0.7801 -0.5169 -0.3055 -0.1465 -0.0320  0.0506  0.1118  0.1594  0.1972  0.2273
  0.2527
-10.7790 -9.9849 -9.0753 -8.1239 -7.2072 -6.3910 -5.6974 -5.1284 -4.6688 -4.2995
 -3.9984 -3.7454 -3.5225 -3.3166 -3.1214 -2.6853 -2.3078 -1.9244 -1.5232
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F390M
-10.1407 -9.4452 -8.7189 -7.9085 -7.1203 -6.4918 -6.0767 -5.7602 -5.5038 -5.2838
 -5.0682 -4.8576 -4.6529 -4.4530 -4.2561 -3.7658 -3.2631 -2.7269 -2.1444
 -9.1066 -8.8398 -8.3496 -7.7587 -7.0255 -6.3371 -5.8464 -5.4921 -5.2087 -4.9683
 -4.7398 -4.5203 -4.3086 -4.1032 -3.9022 -3.4111 -2.9206 -2.4162 -1.8952 -1.3776
 -8.3430 -8.1535 -7.8523 -7.4879 -6.9804 -6.3170 -5.7398 -5.3186 -5.0015 -4.7373
 -4.4968 -4.2686 -4.0505 -3.8407 -3.6370 -3.1464 -2.6675 -2.1895 -1.7132 -1.2510
 -0.8267
 -7.9026 -7.3812 -7.2322 -7.0550 -6.7736 -6.3376 -5.7631 -5.2569 -4.8839 -4.5888
 -4.3350 -4.0974 -3.8720 -3.6567 -3.4493 -2.9567 -2.4857 -2.0269 -1.5836 -1.1617
 -0.7721 -0.4453
 -7.9314 -7.1145 -6.6429 -6.4615 -6.3655 -6.1571 -5.7998 -5.3115 -4.8630 -4.5223
 -4.2462 -3.9983 -3.7646 -3.5424 -3.3296 -2.8303 -2.3620 -1.9159 -1.4953 -1.1026
 -0.7408 -0.4304 -0.1895 -0.0014
 -8.2269 -7.2057 -6.4972 -6.0589 -5.8291 -5.7278 -5.6002 -5.3337 -4.9413 -4.5390
 -4.2225 -3.9603 -3.7180 -3.4885 -3.2691 -2.7584 -2.2874 -1.8480 -1.4421 -1.0697
 -0.7295 -0.4325 -0.1982 -0.0193  0.1244  0.2450  0.3505  0.4471  0.5352  0.6082
 -8.7202 -7.5454 -6.6384 -6.0054 -5.5898 -5.3295 -5.1711 -5.0594 -4.8959 -4.6153
 -4.2694 -3.9736 -3.7210 -3.4845 -3.2587 -2.7335 -2.2549 -1.8166 -1.4192 -1.0601
 -0.7352 -0.4493 -0.2191 -0.0443  0.0913  0.2025  0.2971  0.3794  0.4527  0.5186
  0.5745
 -9.2961 -8.0665 -7.0055 -6.1913 -5.6113 -5.2104 -4.9351 -4.7356 -4.5832 -4.4488
