 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -1.2829 -1.1501 -1.0276 -0.9157 -0.8144 -0.6056 -0.4472 -0.3236 -0.2264 -0.1499
 -0.0902 -0.0427 -0.0027  0.0324  0.0638  0.0903  0.1104  0.1231  0.1281  0.1265
 -3.4776 -3.0527 -2.6971 -2.4069 -2.1727 -1.9830 -1.8248 -1.6961 -1.5841 -1.4480
 -1.2940 -1.1590 -1.0372 -0.9253 -0.8232 -0.6108 -0.4486 -0.3233 -0.2265 -0.1521
 -0.0955 -0.0521 -0.0168  0.0141  0.0414  0.0654  0.0862  0.1018  0.1101  0.1099
  0.1023
 -3.6032 -3.1614 -2.7741 -2.4505 -2.1864 -1.9709 -1.7921 -1.6370 -1.5013 -1.3851
 -1.2794 -1.1660 -1.0500 -0.9383 -0.8357 -0.6199 -0.4532 -0.3246 -0.2267 -0.1529
 -0.0984 -0.0585 -0.0279 -0.0021  0.0209  0.0416  0.0595  0.0747  0.0857  0.0902
  0.0846
 -3.7468 -3.2906 -2.8858 -2.5312 -2.2355 -1.9936 -1.7951 -1.6276 -1.4807 -1.3491
 -1.2321 -1.1293 -1.0364 -0.9428 -0.8472 -0.6298 -0.4589 -0.3261 -0.2257 -0.1514
 -0.0980 -0.0606 -0.0343 -0.0140  0.0036  0.0196  0.0340  0.0467  0.0570  0.0637
  0.0641
 -3.9000 -3.4431 -3.0282 -2.6536 -2.3274 -2.0547 -1.8309 -1.6457 -1.4887 -1.3505
 -1.2263 -1.1144 -1.0150 -0.9266 -0.8439 -0.6436 -0.4690 -0.3314 -0.2269 -0.1504
 -0.0962 -0.0599 -0.0366 -0.0213 -0.0095  0.0009  0.0104  0.0192  0.0269  0.0327
  0.0354
 -4.0551 -3.5946 -3.1802 -2.7993 -2.4548 -2.1539 -1.9005 -1.6908 -1.5163 -1.3678
 -1.2376 -1.1211 -1.0159 -0.9217 -0.8365 -0.6504 -0.4814 -0.3391 -0.2297 -0.1495
 -0.0933 -0.0564 -0.0345 -0.0228 -0.0164 -0.0120 -0.0083 -0.0048 -0.0013  0.0015
  0.0039
 -4.2152 -3.7436 -3.3298 -2.9512 -2.6018 -2.2852 -2.0063 -1.7688 -1.5702 -1.4039
 -1.2622 -1.1388 -1.0291 -0.9304 -0.8411 -0.6517 -0.4919 -0.3498 -0.2349
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F555W
 -4.1105 -3.6140 -3.1952 -2.8546 -2.5599 -2.2932 -2.0672 -1.8611 -1.6828 -1.5264
 -1.3787 -1.2418 -1.1169 -1.0042 -0.9029 -0.6913 -0.5217 -0.3771 -0.2491
 -3.8004 -3.5784 -3.1613 -2.7991 -2.4934 -2.2263 -1.9987 -1.7971 -1.6190 -1.4615
 -1.3148 -1.1794 -1.0559 -0.9446 -0.8452 -0.6413 -0.4815 -0.3481 -0.2329 -0.1337
 -3.5320 -3.4486 -3.1596 -2.7994 -2.4777 -2.1993 -1.9650 -1.7623 -1.5845 -1.4268
 -1.2815 -1.1473 -1.0245 -0.9136 -0.8145 -0.6126 -0.4575 -0.3305 -0.2231 -0.1320
 -0.0566
 -3.3430 -3.0888 -3.0088 -2.8094 -2.4986 -2.2100 -1.9611 -1.7506 -1.5700 -1.4112
 -1.2671 -1.1340 -1.0117 -0.9006 -0.8010 -0.5980 -0.4442 -0.3206 -0.2182 -0.1328
 -0.0628 -0.0056
 -3.3436 -2.9794 -2.7305 -2.6094 -2.4936 -2.2417 -1.9839 -1.7597 -1.5708 -1.4083
 -1.2646 -1.1325 -1.0106 -0.8993 -0.7988 -0.5930 -0.4379 -0.3157 -0.2164 -0.1351
 -0.0694 -0.0162  0.0283  0.0670
 -3.4178 -2.9996 -2.6750 -2.4359 -2.2754 -2.1712 -2.0116 -1.7904 -1.5878 -1.4165
 -1.2695 -1.1382 -1.0169 -0.9055 -0.8042 -0.5948 -0.4367 -0.3140 -0.2162 -0.1377
 -0.0754 -0.0260  0.0146  0.0495  0.0801  0.1054  0.1246  0.1366  0.1408  0.1384
 -3.5496 -3.0835 -2.7094 -2.4159 -2.1898 -2.0159 -1.8826 -1.7681 -1.6160 -1.4388
 -1.2819 -1.1485 -1.0279 -0.9167 -0.8148 -0.6016 -0.4394 -0.3144 -0.2167 -0.1400
 -0.0803 -0.0342  0.0024  0.0334  0.0604  0.0836  0.1028  0.1168  0.1241  0.1229
  0.1149
 -3.7212 -3.2215 -2.8008 -2.4622 -2.1946 -1.9822 -1.8102 -1.6647 -1.5418 -1.4287
 -1.3005 -1.1636 -1.0422 -0.9313 -0.8289 -0.6124 -0.4456 -0.3170 -0.2177 -0.1415
 -0.0834 -0.0400 -0.0072  0.0192  0.0419  0.0619  0.0787  0.0928  0.1022  0.1045
  0.0981
 -3.9079 -3.3927 -2.9392 -2.5565 -2.2469 -2.0006 -1.8028 -1.6383 -1.4949 -1.3681
 -1.2564 -1.1531 -1.0488 -0.9446 -0.8434 -0.6245 -0.4533 -0.3202 -0.2181 -0.1410
 -0.0837 -0.0424 -0.0130  0.0087  0.0265  0.0421  0.0554  0.0671  0.0758  0.0800
  0.0786
 -4.1033 -3.5842 -3.1163 -2.7033 -2.3525 -2.0670 -1.8381 -1.6520 -1.4958 -1.3588
 -1.2359 -1.1260 -1.0277 -0.9388 -0.8518 -0.6409 -0.4657 -0.3277 -0.2212 -0.1415
 -0.0835 -0.0428 -0.0157  0.0021  0.0148  0.0250  0.0337  0.0412  0.0472  0.0522
  0.0519
