 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.5403 -1.6308 -1.7228 -1.8140 -1.9027 -1.9887 -2.0722 -2.1531 -2.2321 -2.3097
 -2.3863
 -0.5922 -0.6409 -0.6900 -0.7380 -0.7838 -0.8266 -0.8658 -0.9011 -0.9329 -0.9621
 -0.9897 -1.0166 -1.0430 -1.0689 -1.0945 -1.1585 -1.2227 -1.2911 -1.3670
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F125W
 -1.1856 -1.1574 -1.1173 -1.0859 -1.0561 -1.0324 -1.0226 -1.0188 -1.0159 -1.0104
 -1.0080 -1.0090 -1.0143 -1.0237 -1.0365 -1.0801 -1.1384 -1.2089 -1.2905
 -1.1085 -1.1635 -1.1394 -1.1032 -1.0768 -1.0546 -1.0429 -1.0380 -1.0347 -1.0304
 -1.0293 -1.0320 -1.0390 -1.0499 -1.0639 -1.1095 -1.1673 -1.2355 -1.3142 -1.4017
 -1.0472 -1.0661 -1.1182 -1.1188 -1.0898 -1.0696 -1.0558 -1.0500 -1.0474 -1.0442
 -1.0441 -1.0478 -1.0557 -1.0676 -1.0826 -1.1300 -1.1882 -1.2557 -1.3324 -1.4174
 -1.5064
 -1.0205 -1.0241 -1.0323 -1.0646 -1.0938 -1.0790 -1.0642 -1.0566 -1.0548 -1.0535
 -1.0541 -1.0584 -1.0669 -1.0793 -1.0950 -1.1440 -1.2031 -1.2705 -1.3462 -1.4295
 -1.5170 -1.6054
 -0.9882 -1.0008 -1.0041 -1.0090 -1.0245 -1.0555 -1.0684 -1.0612 -1.0578 -1.0587
 -1.0604 -1.0652 -1.0739 -1.0866 -1.1028 -1.1532 -1.2132 -1.2810 -1.3564 -1.4388
 -1.5255 -1.6129 -1.6999 -1.7866
 -0.9462 -0.9712 -0.9834 -0.9888 -0.9945 -1.0043 -1.0229 -1.0475 -1.0585 -1.0601
 -1.0635 -1.0690 -1.0779 -1.0907 -1.1071 -1.1587 -1.2197 -1.2880 -1.3636 -1.4455
 -1.5318 -1.6192 -1.7057 -1.7914 -1.8767 -1.9622 -2.0485 -2.1356 -2.2232 -2.3099
 -0.8952 -0.9319 -0.9557 -0.9695 -0.9783 -0.9865 -0.9964 -1.0099 -1.0289 -1.0493
 -1.0621 -1.0702 -1.0794 -1.0922 -1.1087 -1.1613 -1.2233 -1.2922 -1.3679 -1.4497
 -1.5360 -1.6239 -1.7107 -1.7962 -1.8807 -1.9646 -2.0483 -2.1325 -2.2177 -2.3043
 -2.3884
 -0.8381 -0.8840 -0.9187 -0.9429 -0.9592 -0.9717 -0.9831 -0.9953 -1.0091 -1.0250
 -1.0438 -1.0624 -1.0774 -1.0918 -1.1082 -1.1614 -1.2245 -1.2940 -1.3698 -1.4515
 -1.5378 -1.6263 -1.7143 -1.8005 -1.8850 -1.9682 -2.0504 -2.1323 -2.2148 -2.2984
 -2.3836
 -0.7784 -0.8302 -0.8736 -0.9076 -0.9331 -0.9525 -0.9686 -0.9835 -0.9986 -1.0143
 -1.0310 -1.0492 -1.0683 -1.0875 -1.1064 -1.1597 -1.2239 -1.2942 -1.3704 -1.4521
 -1.5384 -1.6276 -1.7171 -1.8049 -1.8904 -1.9741 -2.0563 -2.1374 -2.2179 -2.2988
 -2.3803
 -0.7196 -0.7738 -0.8227 -0.8646 -0.8988 -0.9262 -0.9486 -0.9681 -0.9866 -1.0046
 -1.0228 -1.0417 -1.0611 -1.0815 -1.1028 -1.1579 -1.2208 -1.2917 -1.3680 -1.4494
 -1.5353 -1.6247 -1.7154 -1.8050 -1.8923 -1.9771 -2.0599 -2.1409 -2.2206 -2.2995
 -2.3784
 -0.6650 -0.7189 -0.7701 -0.8166 -0.8575 -0.8924 -0.9220 -0.9473 -0.9701 -0.9917
 -1.0128 -1.0338 -1.0551 -1.0767 -1.0989 -1.1571 -1.2183 -1.2878 -1.3642 -1.4453
 -1.5307 -1.6198 -1.7111 -1.8023 -1.8916 -1.9783 -2.0625 -2.1443 -2.2242 -2.3027
 -2.3800
 -0.6156 -0.6679 -0.7189 -0.7674 -0.8122 -0.8526 -0.8885 -0.9200 -0.9482 -0.9740
 -0.9985 -1.0226 -1.0464 -1.0701 -1.0940 -1.1552 -1.2175 -1.2846 -1.3596
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F125W
 -1.1749 -1.1310 -1.0940 -1.0668 -1.0438 -1.0225 -1.0127 -1.0087 -1.0084 -1.0053
 -1.0045 -1.0065 -1.0121 -1.0215 -1.0343 -1.0782 -1.1362 -1.2057 -1.2848
 -1.1577 -1.1600 -1.1176 -1.0838 -1.0615 -1.0431 -1.0328 -1.0288 -1.0267 -1.0244
 -1.0246 -1.0279 -1.0349 -1.0457 -1.0598 -1.1058 -1.1638 -1.2317 -1.3084 -1.3938
 -1.0634 -1.1116 -1.1357 -1.1012 -1.0730 -1.0560 -1.0453 -1.0410 -1.0394 -1.0377
 -1.0387 -1.0428 -1.0506 -1.0622 -1.0771 -1.1248 -1.1835 -1.2508 -1.3261 -1.4090
 -1.4975
