 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.9177 -0.8944 -0.8762 -0.8624 -0.8518 -0.8353 -0.8312 -0.8402 -0.8633 -0.9006
 -0.9495
 -1.3056 -1.2682 -1.3056 -1.2866 -1.2081 -1.1329 -1.0715 -1.0245 -0.9869 -0.9529
 -0.9244 -0.9017 -0.8840 -0.8707 -0.8607 -0.8460 -0.8432 -0.8537 -0.8781 -0.9159
 -0.9644 -1.0186
 -1.2755 -1.2051 -1.1586 -1.1688 -1.1867 -1.1386 -1.0793 -1.0294 -0.9906 -0.9582
 -0.9293 -0.9068 -0.8893 -0.8763 -0.8668 -0.8537 -0.8521 -0.8636 -0.8891 -0.9273
 -0.9757 -1.0302 -1.0861 -1.1412
 -1.2439 -1.1825 -1.1180 -1.0700 -1.0558 -1.0745 -1.0714 -1.0326 -0.9930 -0.9605
 -0.9326 -0.9098 -0.8925 -0.8796 -0.8704 -0.8587 -0.8585 -0.8707 -0.8969 -0.9354
 -0.9839 -1.0389 -1.0960 -1.1529 -1.2088 -1.2649 -1.3225 -1.3826 -1.4448 -1.5059
 -1.1971 -1.1559 -1.1008 -1.0444 -0.9995 -0.9751 -0.9741 -0.9873 -0.9841 -0.9598
 -0.9338 -0.9110 -0.8936 -0.8809 -0.8720 -0.8614 -0.8625 -0.8754 -0.9019 -0.9407
 -0.9893 -1.0448 -1.1034 -1.1621 -1.2200 -1.2771 -1.3340 -1.3921 -1.4525 -1.5153
 -1.5774
 -1.1345 -1.1138 -1.0768 -1.0300 -0.9826 -0.9430 -0.9170 -0.9054 -0.9077 -0.9176
 -0.9198 -0.9082 -0.8923 -0.8800 -0.8713 -0.8619 -0.8642 -0.8778 -0.9044 -0.9432
 -0.9919 -1.0480 -1.1081 -1.1692 -1.2293 -1.2882 -1.3465 -1.4044 -1.4630 -1.5238
 -1.5875
 -1.0551 -1.0528 -1.0357 -1.0056 -0.9678 -0.9293 -0.8964 -0.8727 -0.8588 -0.8540
 -0.8575 -0.8662 -0.8714 -0.8703 -0.8664 -0.8597 -0.8634 -0.8778 -0.9047 -0.9436
 -0.9925 -1.0491 -1.1108 -1.1744 -1.2374 -1.2989 -1.3594 -1.4185 -1.4773 -1.5370
 -1.5984
 -0.9641 -0.9759 -0.9765 -0.9646 -0.9423 -0.9139 -0.8843 -0.8580 -0.8381 -0.8253
 -0.8189 -0.8185 -0.8236 -0.8307 -0.8387 -0.8529 -0.8602 -0.8753 -0.9022 -0.9407
 -0.9893 -1.0461 -1.1088 -1.1746 -1.2407 -1.3054 -1.3686 -1.4302 -1.4907 -1.5508
 -1.6108
 -0.8655 -0.8867 -0.9008 -0.9052 -0.8993 -0.8852 -0.8657 -0.8446 -0.8251 -0.8098
 -0.7995 -0.7942 -0.7934 -0.7962 -0.8021 -0.8273 -0.8514 -0.8702 -0.8973 -0.9355
 -0.9836 -1.0403 -1.1034 -1.1708 -1.2397 -1.3077 -1.3742 -1.4388 -1.5019 -1.5636
 -1.6239
 -0.7624 -0.7896 -0.8130 -0.8298 -0.8385 -0.8391 -0.8327 -0.8217 -0.8088 -0.7960
 -0.7856 -0.7788 -0.7757 -0.7760 -0.7790 -0.7984 -0.8288 -0.8598 -0.8900
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.5527 -1.4259 -1.3149 -1.2235 -1.1379 -1.0661 -1.0187 -0.9801 -0.9444 -0.9120
 -0.8829 -0.8579 -0.8381 -0.8229 -0.8115 -0.7939 -0.7895 -0.7963 -0.8126
 -1.5407 -1.4642 -1.3436 -1.2407 -1.1556 -1.0822 -1.0320 -0.9909 -0.9543 -0.9218
 -0.8936 -0.8701 -0.8517 -0.8379 -0.8276 -0.8126 -0.8095 -0.8178 -0.8378 -0.8704
 -1.4758 -1.4690 -1.3685 -1.2607 -1.1707 -1.0964 -1.0403 -0.9984 -0.9633 -0.9296
 -0.9023 -0.8797 -0.8621 -0.8490 -0.8394 -0.8262 -0.8246 -0.8345 -0.8564 -0.8903
 -0.9356
 -1.3705 -1.3375 -1.3554 -1.2766 -1.1858 -1.1100 -1.0495 -1.0045 -0.9690 -0.9364
 -0.9093 -0.8872 -0.8700 -0.8572 -0.8481 -0.8364 -0.8360 -0.8469 -0.8701 -0.9050
 -0.9503 -1.0028
 -1.2868 -1.2175 -1.2048 -1.2380 -1.1931 -1.1208 -1.0588 -1.0101 -0.9731 -0.9425
 -0.9146 -0.8928 -0.8758 -0.8632 -0.8544 -0.8440 -0.8445 -0.8562 -0.8803 -0.9159
 -0.9614 -1.0140 -1.0697 -1.1251
 -1.2655 -1.1919 -1.1264 -1.0952 -1.1135 -1.1139 -1.0650 -1.0156 -0.9760 -0.9454
 -0.9187 -0.8966 -0.8797 -0.8672 -0.8586 -0.8492 -0.8510 -0.8632 -0.8877 -0.9238
 -0.9695 -1.0223 -1.0789 -1.1361 -1.1929 -1.2497 -1.3083 -1.3701 -1.4333 -1.4954
 -1.2339 -1.1752 -1.1091 -1.0500 -1.0124 -1.0063 -1.0210 -1.0116 -0.9781 -0.9464
 -0.9210 -0.8988 -0.8817 -0.8692 -0.8607 -0.8522 -0.8552 -0.8681 -0.8928 -0.9291
 -0.9750 -1.0281 -1.0856 -1.1445 -1.2028 -1.2607 -1.3189 -1.3784 -1.4402 -1.5041
 -1.5670
 -1.1831 -1.1465 -1.0946 -1.0380 -0.9867 -0.9497 -0.9317 -0.9324 -0.9417 -0.9382
 -0.9194 -0.8994 -0.8819 -0.8695 -0.8609 -0.8529 -0.8572 -0.8709 -0.8957 -0.9320
 -0.9780 -1.0316 -1.0900 -1.1507 -1.2111 -1.2707 -1.3299 -1.3889 -1.4491 -1.5117
 -1.5765
 -1.1187 -1.0983 -1.0659 -1.0228 -0.9761 -0.9333 -0.9004 -0.8799 -0.8718 -0.8741
