 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
 -0.8770 -0.8751 -0.8682 -0.8579 -0.8471 -0.8300 -0.8294 -0.8420 -0.8666 -0.9033
 -0.9501
 -0.7673 -0.7614 -0.7696 -0.7869 -0.8078 -0.8276 -0.8418 -0.8486 -0.8546 -0.8624
 -0.8698 -0.8733 -0.8712 -0.8643 -0.8553 -0.8400 -0.8410 -0.8554 -0.8818 -0.9192
 -0.9659 -1.0182
 -0.7173 -0.7050 -0.7048 -0.7166 -0.7373 -0.7628 -0.7882 -0.8087 -0.8257 -0.8416
 -0.8554 -0.8650 -0.8684 -0.8659 -0.8597 -0.8467 -0.8491 -0.8650 -0.8927 -0.9311
 -0.9778 -1.0303 -1.0852 -1.1399
 -0.6899 -0.6606 -0.6526 -0.6625 -0.6823 -0.7072 -0.7363 -0.7653 -0.7910 -0.8142
 -0.8345 -0.8504 -0.8599 -0.8627 -0.8602 -0.8507 -0.8543 -0.8716 -0.9005 -0.9396
 -0.9867 -1.0396 -1.0953 -1.1517 -1.2076 -1.2636 -1.3208 -1.3808 -1.4429 -1.5035
 -0.7051 -0.6664 -0.6417 -0.6314 -0.6350 -0.6519 -0.6809 -0.7173 -0.7531 -0.7838
 -0.8093 -0.8302 -0.8455 -0.8542 -0.8566 -0.8520 -0.8570 -0.8757 -0.9055 -0.9452
 -0.9928 -1.0462 -1.1030 -1.1610 -1.2185 -1.2755 -1.3324 -1.3903 -1.4506 -1.5132
 -1.5747
 -0.7199 -0.6820 -0.6554 -0.6387 -0.6320 -0.6350 -0.6475 -0.6694 -0.7003 -0.7366
 -0.7728 -0.8033 -0.8256 -0.8400 -0.8480 -0.8509 -0.8573 -0.8772 -0.9080 -0.9481
 -0.9962 -1.0503 -1.1083 -1.1681 -1.2278 -1.2866 -1.3448 -1.4025 -1.4611 -1.5218
 -1.5852
 -0.7270 -0.6922 -0.6677 -0.6517 -0.6429 -0.6410 -0.6460 -0.6579 -0.6764 -0.7002
 -0.7276 -0.7570 -0.7862 -0.8113 -0.8295 -0.8464 -0.8552 -0.8763 -0.9083 -0.9490
 -0.9977 -1.0526 -1.1119 -1.1737 -1.2359 -1.2972 -1.3575 -1.4169 -1.4757 -1.5351
 -1.5963
 -0.7259 -0.6951 -0.6736 -0.6601 -0.6529 -0.6507 -0.6530 -0.6597 -0.6712 -0.6868
 -0.7054 -0.7258 -0.7468 -0.7685 -0.7902 -0.8325 -0.8506 -0.8727 -0.9055 -0.9467
 -0.9955 -1.0511 -1.1113 -1.1748 -1.2394 -1.3035 -1.3665 -1.4281 -1.4886 -1.5485
 -1.6087
 -0.7087 -0.6861 -0.6702 -0.6602 -0.6559 -0.6559 -0.6589 -0.6642 -0.6720 -0.6824
 -0.6953 -0.7099 -0.7253 -0.7410 -0.7571 -0.8007 -0.8389 -0.8664 -0.9001 -0.9419
 -0.9909 -1.0466 -1.1076 -1.1723 -1.2391 -1.3060 -1.3720 -1.4365 -1.4995 -1.5613
 -1.6224
 -0.6690 -0.6583 -0.6515 -0.6484 -0.6482 -0.6517 -0.6573 -0.6640 -0.6715 -0.6798
 -0.6891 -0.6999 -0.7117 -0.7242 -0.7302 -0.7510 -0.8201 -0.8574 -0.8921
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = F098M
 -1.2572 -1.2603 -1.2549 -1.2330 -1.1868 -1.1074 -1.0077 -0.9126 -0.8617 -0.8421
 -0.8346 -0.8280 -0.8192 -0.8083 -0.7978 -0.7796 -0.7779 -0.7892 -0.8093
 -1.0995 -1.1062 -1.1108 -1.1059 -1.0850 -1.0428 -0.9777 -0.9083 -0.8658 -0.8494
 -0.8448 -0.8414 -0.8353 -0.8265 -0.8170 -0.8012 -0.8010 -0.8132 -0.8354 -0.8683
 -0.9648 -0.9693 -0.9787 -0.9859 -0.9845 -0.9692 -0.9362 -0.8927 -0.8613 -0.8486
