 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.3698 -0.2318 -0.1722 -0.1850 -0.0966  0.0287  0.1356  0.2189  0.2842  0.3378
  0.3851  0.4251  0.4601  0.4920  0.5214  0.5864  0.6418  0.6850  0.7105  0.7162
  0.7045  0.6796  0.6453  0.6042  0.5585  0.5088  0.4534  0.3924  0.3312  0.2708
 -0.3785 -0.2180 -0.0912 -0.0144 -0.0066  0.0285  0.1266  0.2189  0.2912  0.3486
  0.3950  0.4358  0.4699  0.5001  0.5276  0.5879  0.6394  0.6807  0.7060  0.7123
  0.7012  0.6771  0.6438  0.6038  0.5593  0.5112  0.4593  0.4027  0.3409  0.2789
  0.2180
 -0.4038 -0.2285 -0.0840  0.0312  0.1130  0.1512  0.1651  0.2171  0.2922  0.3561
  0.4060  0.4464  0.4812  0.5103  0.5363  0.5920  0.6393  0.6778  0.7025  0.7095
  0.6992  0.6757  0.6431  0.6039  0.5603  0.5134  0.4632  0.4096  0.3517  0.2895
  0.2267
 -0.4423 -0.2515 -0.0935  0.0349  0.1383  0.2178  0.2707  0.2991  0.3217  0.3632
  0.4156  0.4590  0.4934  0.5229  0.5478  0.5994  0.6426  0.6779  0.7010  0.7080
  0.6983  0.6753  0.6431  0.6043  0.5610  0.5146  0.4653  0.4131  0.3578  0.2990
  0.2364
 -0.4954 -0.2894 -0.1172  0.0245  0.1385  0.2306  0.3043  0.3600  0.3988  0.4250
  0.4471  0.4744  0.5073  0.5358  0.5605  0.6088  0.6479  0.6799  0.7013  0.7080
  0.6991  0.6769  0.6452  0.6067  0.5636  0.5173  0.4682  0.4169  0.3631  0.3065
  0.2459
 -0.5667 -0.3422 -0.1537  0.0023  0.1291  0.2300  0.3117  0.3784  0.4314  0.4722
  0.5028  0.5253  0.5437  0.5614  0.5797  0.6210  0.6561  0.6848  0.7040  0.7101
  0.7018  0.6804  0.6491  0.6109  0.5677  0.5211  0.4717  0.4203  0.3671  0.3119
  0.2548
 -0.6562 -0.4099 -0.1947 -0.0316  0.1085  0.2217  0.3114  0.3837  0.4431  0.4917
  0.5307  0.5612  0.5848  0.6027  0.6054  0.6360  0.6672  0.6926  0.7091
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  I   
 -0.5622 -0.4046 -0.2730 -0.1649 -0.0484  0.0389  0.1125  0.1797  0.2410  0.2971
  0.3486  0.3968  0.4416  0.4829  0.5209  0.6027  0.6683  0.7167  0.7486
 -0.6271 -0.4346 -0.2781 -0.1541 -0.0436  0.0504  0.1271  0.1939  0.2552  0.3096
  0.3590  0.4053  0.4481  0.4877  0.5242  0.6033  0.6662  0.7128  0.7424  0.7542
 -0.6863 -0.4866 -0.3043 -0.1569 -0.0436  0.0582  0.1389  0.2054  0.2675  0.3206
  0.3684  0.4125  0.4531  0.4907  0.5255  0.6016  0.6630  0.7084  0.7366  0.7466
  0.7380
 -0.6400 -0.5273 -0.3444 -0.1771 -0.0444  0.0595  0.1478  0.2174  0.2761  0.3317
  0.3779  0.4199  0.4584  0.4939  0.5268  0.5991  0.6587  0.7036  0.7312  0.7405
  0.7318  0.7078
 -0.4282 -0.4520 -0.3682 -0.2071 -0.0580  0.0593  0.1523  0.2270  0.2876  0.3405
  0.3880  0.4281  0.4647  0.4981  0.5290  0.5970  0.6540  0.6983  0.7260  0.7354
  0.7270  0.7039  0.6697  0.6274
 -0.3729 -0.2559 -0.2603 -0.2154 -0.0803  0.0499  0.1525  0.2333  0.2977  0.3506
  0.3980  0.4378  0.4725  0.5040  0.5329  0.5962  0.6500  0.6929  0.7209  0.7308
  0.7231  0.7008  0.6680  0.6273  0.5811  0.5303  0.4738  0.4118  0.3502  0.2886
 -0.3811 -0.2207 -0.1054 -0.0753 -0.0673  0.0344  0.1456  0.2357  0.3055  0.3614
  0.4075  0.4483  0.4822  0.5119  0.5389  0.5975  0.6473  0.6883  0.7161  0.7268
  0.7199  0.6986  0.6668  0.6275  0.5829  0.5343  0.4816  0.4236  0.3606  0.2980
  0.2359
 -0.4168 -0.2316 -0.0860  0.0236  0.0816  0.0897  0.1402  0.2302  0.3088  0.3698
  0.4185  0.4584  0.4932  0.5220  0.5475  0.6015  0.6469  0.6851  0.7120  0.7234
  0.7176  0.6972  0.6663  0.6281  0.5847  0.5376  0.4872  0.4327  0.3733  0.3096
  0.2460
 -0.4652 -0.2626 -0.0977  0.0332  0.1347  0.2037  0.2356  0.2571  0.3095  0.3752
  0.4294  0.4711  0.5052  0.5345  0.5590  0.6089  0.6501  0.6847  0.7099  0.7213
  0.7163  0.6967  0.6663  0.6288  0.5862  0.5400  0.4905  0.4379  0.3817  0.3214
  0.2569
 -0.5428 -0.3151 -0.1291  0.0193  0.1364  0.2287  0.2983  0.3448  0.3729  0.3988
  0.4368  0.4811  0.5174  0.5466  0.5714  0.6183  0.6554  0.6864  0.7093  0.7203
  0.7163  0.6978  0.6683  0.6314  0.5893  0.5436  0.4949  0.4434  0.3890  0.3314
  0.2704
 -0.6455 -0.3891 -0.1789 -0.0104  0.1228  0.2272  0.3102  0.3759  0.4252  0.4608
  0.4869  0.5099  0.5350  0.5623  0.5856  0.6302  0.6636  0.6910  0.7114  0.7213
  0.7178  0.7005  0.6719  0.6354  0.5937  0.5481  0.4995  0.4484  0.3949  0.3389
  0.2803
 -0.7734 -0.4846 -0.2445 -0.0569  0.0947  0.2142  0.3075  0.3818  0.4416  0.4891
  0.5259  0.5541  0.5760  0.5944  0.6016  0.6446  0.6747  0.6985  0.7162
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.5075 -0.3755 -0.2545 -0.1435 -0.0318  0.0658  0.1479  0.2174  0.2770  0.3291
  0.3755  0.4179  0.4578  0.4963  0.5338  0.6139  0.6775  0.7248  0.7539
 -0.5820 -0.3965 -0.2493 -0.1366 -0.0264  0.0657  0.1413  0.2078  0.2697  0.3238
  0.3734  0.4195  0.4620  0.5013  0.5374  0.6151  0.6764  0.7220  0.7506  0.7639
 -0.6585 -0.4448 -0.2719 -0.1358 -0.0264  0.0741  0.1531  0.2197  0.2818  0.3346
  0.3824  0.4264  0.4670  0.5044  0.5389  0.6139  0.6738  0.7184  0.7468  0.7589
  0.7538
 -0.6705 -0.5014 -0.3118 -0.1508 -0.0280  0.0754  0.1626  0.2314  0.2898  0.3455
  0.3916  0.4336  0.4721  0.5074  0.5401  0.6114  0.6697  0.7140  0.7425  0.7543
  0.7492  0.7281
 -0.5126 -0.4998 -0.3528 -0.1813 -0.0362  0.0731  0.1668  0.2411  0.3011  0.3548
  0.4015  0.4416  0.4781  0.5114  0.5421  0.6092  0.6650  0.7088  0.7377  0.7501
  0.7454  0.7252  0.6927  0.6510
 -0.3800 -0.3176 -0.3279 -0.2096 -0.0590  0.0693  0.1664  0.2477  0.3110  0.3635
  0.4114  0.4509  0.4856  0.5170  0.5458  0.6082  0.6607  0.7032  0.7325  0.7458
  0.7420  0.7229  0.6918  0.6518  0.6056  0.5535  0.4954  0.4331  0.3711  0.3083
 -0.3795 -0.2251 -0.1420 -0.1545 -0.0758  0.0518  0.1638  0.2497  0.3189  0.3743
  0.4199  0.4612  0.4950  0.5247  0.5516  0.6093  0.6577  0.6981  0.7272  0.7415
  0.7390  0.7210  0.6911  0.6527  0.6081  0.5588  0.5050  0.4457  0.3823  0.3193
  0.2559
 -0.4134 -0.2301 -0.0881  0.0049  0.0197  0.0505  0.1508  0.2475  0.3233  0.3829
  0.4309  0.4706  0.5059  0.5345  0.5598  0.6130  0.6571  0.6943  0.7224  0.7375
  0.7363  0.7196  0.6910  0.6538  0.6107  0.5632  0.5120  0.4567  0.3964  0.3318
  0.2677
 -0.4712 -0.2631 -0.0965  0.0327  0.1262  0.1713  0.1863  0.2433  0.3230  0.3905
  0.4428  0.4831  0.5173  0.5468  0.5711  0.6202  0.6599  0.6935  0.7196  0.7344
  0.7343  0.7188  0.6911  0.6549  0.6129  0.5667  0.5169  0.4639  0.4070  0.3455
  0.2798
 -0.5660 -0.3246 -0.1309  0.0198  0.1365  0.2255  0.2849  0.3154  0.3423  0.3911
  0.4477  0.4937  0.5291  0.5583  0.5833  0.6294  0.6651  0.6948  0.7183  0.7324
  0.7332  0.7193  0.6928  0.6576  0.6165  0.5712  0.5226  0.4710  0.4163  0.3579
  0.2956
 -0.6943 -0.4146 -0.1895 -0.0136  0.1221  0.2271  0.3092  0.3709  0.4128  0.4415
  0.4693  0.5036  0.5411  0.5716  0.5960  0.6411  0.6732  0.6993  0.7198  0.7324
  0.7335  0.7209  0.6958  0.6614  0.6209  0.5762  0.5282  0.4775  0.4240  0.3675
  0.3079
 -0.8560 -0.5331 -0.2723 -0.0694  0.0898  0.2122  0.3067  0.3814  0.4399  0.4845
  0.5177  0.5435  0.5669  0.5904  0.6092  0.6553  0.6842  0.7070  0.7241
