 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -0.1455 -0.1132 -0.0881 -0.0662 -0.0464 -0.0283 -0.0108  0.0038  0.0126  0.0136
  0.0053
 -3.3917 -3.0145 -2.6759 -2.3761 -2.1190 -1.9018 -1.7177 -1.5586 -1.4176 -1.2905
 -1.1767 -1.0772 -0.9909 -0.9106 -0.8297 -0.6335 -0.4724 -0.3471 -0.2546 -0.1889
 -0.1443 -0.1151 -0.0950 -0.0789 -0.0644 -0.0506 -0.0380 -0.0266 -0.0173 -0.0125
 -0.0123
 -3.5125 -3.1234 -2.7763 -2.4619 -2.1838 -1.9457 -1.7447 -1.5737 -1.4258 -1.2946
 -1.1763 -1.0700 -0.9756 -0.8918 -0.8160 -0.6403 -0.4798 -0.3508 -0.2545 -0.1864
 -0.1410 -0.1131 -0.0968 -0.0863 -0.0778 -0.0696 -0.0618 -0.0541 -0.0471 -0.0418
 -0.0394
 -3.6523 -3.2457 -2.8916 -2.5699 -2.2783 -2.0195 -1.7970 -1.6087 -1.4485 -1.3097
 -1.1870 -1.0771 -0.9782 -0.8895 -0.8097 -0.6390 -0.4875 -0.3565 -0.2558 -0.1841
 -0.1364 -0.1079 -0.0934 -0.0873 -0.0846 -0.0827 -0.0807 -0.0781 -0.0752 -0.0726
 -0.0705
 -3.8122 -3.3800 -3.0161 -2.6905 -2.3927 -2.1210 -1.8790 -1.6694 -1.4912 -1.3391
 -1.2077 -1.0923 -0.9895 -0.8971 -0.8137 -0.6377 -0.4916 -0.3635 -0.2592
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  V   
 -3.9517 -3.5280 -3.1378 -2.8105 -2.5239 -2.2628 -2.0462 -1.8562 -1.6872 -1.5292
 -1.3818 -1.2455 -1.1215 -1.0100 -0.9101 -0.7010 -0.5329 -0.3898 -0.2664
 -3.6610 -3.4572 -3.1005 -2.7577 -2.4630 -2.1996 -1.9767 -1.7859 -1.6147 -1.4586
 -1.3131 -1.1790 -1.0571 -0.9479 -0.8505 -0.6508 -0.4942 -0.3644 -0.2547 -0.1637
 -3.2890 -3.1729 -3.0488 -2.7498 -2.4434 -2.1756 -1.9424 -1.7460 -1.5742 -1.4192
 -1.2761 -1.1439 -1.0234 -0.9152 -0.8188 -0.6225 -0.4715 -0.3491 -0.2479 -0.1648
 -0.0982
 -3.1937 -2.9092 -2.7551 -2.6757 -2.4509 -2.1794 -1.9376 -1.7298 -1.5540 -1.3994
 -1.2583 -1.1280 -1.0087 -0.9010 -0.8047 -0.6084 -0.4594 -0.3410 -0.2452 -0.1679
 -0.1064 -0.0565
 -3.1882 -2.8539 -2.5927 -2.4119 -2.3112 -2.1795 -1.9542 -1.7366 -1.5500 -1.3920
 -1.2522 -1.1236 -1.0055 -0.8982 -0.8017 -0.6038 -0.4543 -0.3375 -0.2450 -0.1718
 -0.1145 -0.0686 -0.0299  0.0037
 -3.2292 -2.8656 -2.5661 -2.3249 -2.1376 -1.9994 -1.8965 -1.7513 -1.5652 -1.3960
 -1.2531 -1.1261 -1.0091 -0.9022 -0.8055 -0.6056 -0.4538 -0.3367 -0.2458 -0.1755
 -0.1217 -0.0796 -0.0447 -0.0144  0.0126  0.0349  0.0508  0.0591  0.0598  0.0548
