 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  U   
 -4.5335 -4.3188 -4.1193 -3.9300 -3.7312 -3.1361 -2.5084 -1.9748 -1.5298 -1.1627
 -0.8680 -0.6457 -0.4928 -0.3945 -0.3323 -0.2925 -0.2670 -0.2501 -0.2387 -0.2305
 -0.2250
-10.5049 -9.4725 -8.4830 -7.5812 -6.8061 -6.1732 -5.6742 -5.2846 -4.9736 -4.7094
 -4.4664 -4.2335 -4.0103 -3.8009 -3.6073 -3.1328 -2.5844 -2.0426 -1.5863 -1.2073
 -0.8986 -0.6576 -0.4843 -0.3699 -0.2984 -0.2550 -0.2295 -0.2152 -0.2081 -0.2054
 -0.2053
-10.9126 -9.9429 -8.9791 -8.0573 -7.2187 -6.4949 -5.8972 -5.4176 -5.0348 -4.7228
 -4.4562 -4.2132 -3.9806 -3.7556 -3.5419 -3.0706 -2.6177 -2.1253 -1.6613 -1.2697
 -0.9465 -0.6874 -0.4922 -0.3570 -0.2703 -0.2178 -0.1883 -0.1735 -0.1682 -0.1691
 -0.1733
-11.2516-10.3589 -9.4543 -8.5541 -7.6964 -6.9143 -6.2336 -5.6643 -5.1988 -4.8199
 -4.5070 -4.2380 -3.9946 -3.7633 -3.5395 -3.0325 -2.6036 -2.1814 -1.7447
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  U   
-11.1325-10.4503 -9.8420 -9.2031 -8.3869 -7.5637 -7.0210 -6.6429 -6.3414 -6.0590
 -5.7903 -5.5306 -5.2785 -5.0322 -4.7888 -4.1776 -3.5573 -2.9406 -2.3314
-10.0115 -9.6443 -9.2204 -8.7975 -8.2525 -7.4982 -6.8566 -6.4129 -6.0630 -5.7567
 -5.4671 -5.1909 -4.9259 -4.6698 -4.4191 -3.8073 -3.2088 -2.6336 -2.1034 -1.6491
 -9.0368 -8.7530 -8.5776 -8.3076 -7.9818 -7.4875 -6.8294 -6.2879 -5.8852 -5.5478
 -5.2383 -4.9456 -4.6678 -4.4025 -4.1463 -3.5347 -2.9533 -2.4112 -1.9263 -1.5137
 -1.1913
 -8.7181 -8.0934 -7.8210 -7.7302 -7.5631 -7.2978 -6.8600 -6.2832 -5.8013 -5.4250
 -5.0962 -4.7877 -4.4967 -4.2212 -3.9584 -3.3434 -2.7727 -2.2515 -1.7948 -1.4097
 -1.1059 -0.8874
 -8.7102 -7.8954 -7.3752 -7.0978 -6.9912 -6.8990 -6.6903 -6.3228 -5.8212 -5.3819
 -5.0273 -4.7049 -4.4017 -4.1156 -3.8445 -3.2205 -2.6533 -2.1429 -1.7017 -1.3331
