 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -6.0239 -5.8477 -5.6804 -5.5173 -5.3486 -5.1540 -4.8916 -4.5124 -4.0670 -3.6456
 -3.2974 -3.0187 -2.7874 -2.5853 -2.4018 -2.0077 -1.6911 -1.4293 -1.2034 -1.0041
 -0.8273 -0.6699
 -5.7809 -5.5749 -5.3771 -5.1910 -5.0096 -4.8201 -4.6006 -4.3050 -3.9406 -3.5708
 -3.2448 -2.9741 -2.7467 -2.5474 -2.3658 -1.9708 -1.6526 -1.3942 -1.1753 -0.9846
 -0.8174 -0.6695 -0.5391 -0.4250
 -5.6435 -5.3836 -5.1581 -4.9469 -4.7441 -4.5444 -4.3390 -4.1006 -3.8074 -3.4918
 -3.1958 -2.9385 -2.7176 -2.5225 -2.3439 -1.9490 -1.6274 -1.3700 -1.1563 -0.9724
 -0.8127 -0.6728 -0.5498 -0.4421 -0.3482 -0.2661 -0.1905 -0.1190 -0.0607 -0.0222
 -5.6158 -5.2453 -4.9406 -4.6937 -4.4870 -4.2976 -4.1064 -3.9024 -3.6670 -3.4046
 -3.1439 -2.9058 -2.6950 -2.5062 -2.3321 -1.9404 -1.6141 -1.3548 -1.1442 -0.9656
 -0.8119 -0.6786 -0.5623 -0.4608 -0.3728 -0.2969 -0.2296 -0.1674 -0.1094 -0.0629
 -0.0347
 -5.7125 -5.2626 -4.8730 -4.5441 -4.2701 -4.0385 -3.8377 -3.6570 -3.4781 -3.2845
 -3.0775 -2.8702 -2.6749 -2.4951 -2.3275 -1.9425 -1.6120 -1.3480 -1.1379 -0.9631
 -0.8138 -0.6858 -0.5753 -0.4798 -0.3976 -0.3267 -0.2649 -0.2105 -0.1615 -0.1161
 -0.0802
 -5.9044 -5.3842 -4.9271 -4.5321 -4.1963 -3.9134 -3.6728 -3.4637 -3.2765 -3.1048
 -2.9451 -2.7922 -2.6382 -2.4808 -2.3239 -1.9511 -1.6180 -1.3478 -1.1350 -0.9618
 -0.8158 -0.6919 -0.5865 -0.4966 -0.4201 -0.3551 -0.2993 -0.2506 -0.2077 -0.1694
 -0.1357
 -6.2148 -5.6150 -5.0896 -4.6325 -4.2404 -3.9084 -3.6286 -3.3911 -3.1857 -3.0041
 -2.8415 -2.6960 -2.5638 -2.4383 -2.3104 -1.9692 -1.6382 -1.3604 -1.1418 -0.9670
 -0.8224 -0.7008 -0.5989 -0.5134 -0.4419 -0.3823 -0.3324 -0.2895 -0.2521 -0.2194
 -0.1910
 -6.5959 -5.9365 -5.3418 -4.8231 -4.3747 -3.9934 -3.6723 -3.4020 -3.1730 -2.9760
 -2.8036 -2.6506 -2.5131 -2.3876 -2.2698 -1.9779 -1.6666 -1.3825 -1.1557 -0.9765
 -0.8310 -0.7103 -0.6104 -0.5280 -0.4606 -0.4057 -0.3612 -0.3243 -0.2927 -0.2656
 -0.2421
 -6.9496 -6.2767 -5.6492 -5.0816 -4.5820 -4.1524 -3.7887 -3.4824 -3.2242 -3.0045
 -2.8152 -2.6495 -2.5020 -2.3684 -2.2021 -1.9772 -1.7032 -1.4141 -1.1767
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value = BX   
 -7.5969 -7.4922 -7.3802 -7.2001 -6.9247 -6.5406 -6.0379 -5.4090 -4.6983 -4.0986
 -3.6648 -3.3468 -3.0958 -2.8843 -2.6954 -2.2997 -1.9733 -1.6878 -1.4241
 -7.0513 -6.9357 -6.8193 -6.6895 -6.5214 -6.2676 -5.8315 -5.1844 -4.5185 -3.9529
 -3.5334 -3.2228 -2.9771 -2.7688 -2.5839 -2.1916 -1.8701 -1.5920 -1.3433 -1.1164
 -6.5785 -6.4494 -6.3244 -6.1952 -6.0442 -5.8364 -5.5037 -4.9855 -4.3941 -3.8631
 -3.4520 -3.1421 -2.8976 -2.6910 -2.5072 -2.1155 -1.7959 -1.5250 -1.2872 -1.0741
 -0.8851
 -6.1883 -6.0408 -5.9008 -5.7638 -5.6190 -5.4426 -5.1877 -4.7873 -4.2874 -3.7989
 -3.3985 -3.0885 -2.8432 -2.6371 -2.4543 -2.0624 -1.7430 -1.4768 -1.2468 -1.0435
 -0.8630 -0.7020
 -5.8962 -5.7195 -5.5563 -5.4018 -5.2503 -5.0857 -4.8807 -4.5787 -4.1727 -3.7404
 -3.3586 -3.0516 -2.8056 -2.5997 -2.4178 -2.0258 -1.7050 -1.4414 -1.2176 -1.0219
 -0.8498 -0.6977 -0.5627 -0.4433
 -5.7283 -5.5030 -5.3018 -5.1191 -4.9468 -4.7762 -4.5923 -4.3581 -4.0402 -3.6727
 -3.3213 -3.0241 -2.7795 -2.5742 -2.3935 -2.0024 -1.6789 -1.4158 -1.1968 -1.0072
 -0.8418 -0.6969 -0.5692 -0.4564 -0.3574 -0.2698 -0.1905 -0.1153 -0.0566 -0.0167
 -5.6184 -5.3252 -5.0871 -4.8917 -4.7078 -4.5250 -4.3393 -4.1387 -3.8897 -3.5888
 -3.2788 -2.9989 -2.7606 -2.5578 -2.3790 -1.9907 -1.6639 -1.3988 -1.1824 -0.9979
 -0.8380 -0.6990 -0.5777 -0.4712 -0.3781 -0.2968 -0.2255 -0.1613 -0.1008 -0.0544
 -0.0255
 -5.6648 -5.2676 -4.9336 -4.6617 -4.4405 -4.2540 -4.0839 -3.9109 -3.7162 -3.4822
 -3.2234 -2.9709 -2.7448 -2.5473 -2.3719 -1.9891 -1.6599 -1.3906 -1.1741 -0.9931
 -0.8375 -0.7033 -0.5874 -0.4867 -0.3993 -0.3237 -0.2584 -0.2015 -0.1507 -0.1038
 -0.0683
 -5.8127 -5.3433 -4.9330 -4.5824 -4.2886 -4.0427 -3.8318 -3.6463 -3.4723 -3.2961
 -3.1083 -2.9133 -2.7194 -2.5363 -2.3677 -1.9936 -1.6641 -1.3892 -1.1695 -0.9899
 -0.8376 -0.7072 -0.5959 -0.5005 -0.4186 -0.3486 -0.2891 -0.2381 -0.1938 -0.1552
 -0.1207
 -6.0795 -5.5341 -5.0544 -4.6372 -4.2791 -3.9758 -3.7190 -3.4976 -3.3014 -3.1214
 -2.9540 -2.7972 -2.6492 -2.5051 -2.3610 -2.0082 -1.6820 -1.4013 -1.1757 -0.9940
 -0.8430 -0.7151 -0.6068 -0.5155 -0.4383 -0.3733 -0.3192 -0.2737 -0.2351 -0.2021
 -0.1740
 -6.4590 -5.8350 -5.2807 -4.7966 -4.3775 -4.0190 -3.7150 -3.4569 -3.2354 -3.0412
 -2.8672 -2.7104 -2.5692 -2.4410 -2.3206 -2.0194 -1.7081 -1.4235 -1.1902 -1.0037
 -0.8514 -0.7243 -0.6179 -0.5294 -0.4559 -0.3953 -0.3460 -0.3059 -0.2728 -0.2452
 -0.2223
 -6.8777 -6.2074 -5.5958 -5.0454 -4.5674 -4.1536 -3.8010 -3.5024 -3.2494 -3.0331
 -2.8454 -2.6801 -2.5329 -2.4007 -2.2465 -2.0272 -1.7424 -1.4558 -1.2130
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value = BX   
 -7.8240 -7.9385 -7.8790 -7.6635 -7.3078 -6.8259 -6.2302 -5.5498 -4.8648 -4.2305
 -3.7512 -3.4064 -3.1441 -2.9280 -2.7404 -2.3429 -2.0171 -1.7317 -1.4701
 -7.2781 -7.1858 -7.0837 -6.9682 -6.8064 -6.5223 -6.0435 -5.3727 -4.7012 -4.0955
 -3.6309 -3.2930 -3.0347 -2.8227 -2.6378 -2.2469 -1.9240 -1.6429 -1.3900 -1.1609
 -6.7892 -6.6818 -6.5741 -6.4618 -6.3219 -6.1158 -5.7692 -5.2175 -4.5940 -4.0178
 -3.5608 -3.2206 -2.9612 -2.7495 -2.5657 -2.1764 -1.8550 -1.5799 -1.3385 -1.1221
 -0.9289
 -6.3672 -6.2424 -6.1242 -6.0075 -5.8797 -5.7140 -5.4594 -5.0412 -4.5019 -3.9661
 -3.5168 -3.1738 -2.9104 -2.6973 -2.5136 -2.1250 -1.8042 -1.5334 -1.2987 -1.0908
 -0.9053 -0.7398
 -6.0255 -5.8789 -5.7423 -5.6127 -5.4845 -5.3382 -5.1435 -4.8383 -4.4005 -3.9187
 -3.4869 -3.1431 -2.8753 -2.6595 -2.4754 -2.0874 -1.7660 -1.4978 -1.2687 -1.0675
 -0.8896 -0.7322 -0.5923 -0.4678
 -5.7926 -5.6053 -5.4395 -5.2877 -5.1438 -4.9990 -4.8342 -4.6066 -4.2724 -3.8617
 -3.4603 -3.1216 -2.8516 -2.6330 -2.4480 -2.0609 -1.7382 -1.4707 -1.2459 -1.0506
 -0.8787 -0.7279 -0.5951 -0.4773 -0.3729 -0.2799 -0.1947 -0.1171 -0.0548 -0.0125
 -5.6502 -5.3951 -5.2267 -5.0441 -4.8750 -4.7140 -4.5517 -4.3655 -4.1138 -3.7834
 -3.4271 -3.1041 -2.8355 -2.6156 -2.4301 -2.0446 -1.7206 -1.4515 -1.2291 -1.0387
 -0.8721 -0.7267 -0.5997 -0.4881 -0.3898 -0.3032 -0.2271 -0.1580 -0.0939 -0.0471
 -0.0167
 -5.6189 -5.2805 -5.0108 -4.8016 -4.6297 -4.4715 -4.3086 -4.1350 -3.9342 -3.6777
 -3.3781 -3.0829 -2.8235 -2.6056 -2.4202 -2.0377 -1.7134 -1.4411 -1.2184 -1.0313
 -0.8691 -0.7281 -0.6061 -0.5000 -0.4074 -0.3264 -0.2563 -0.1955 -0.1413 -0.0918
 -0.0564
 -5.7193 -5.2987 -4.9375 -4.6378 -4.3944 -4.1948 -4.0250 -3.8697 -3.7094 -3.5205
 -3.2919 -3.0436 -2.8064 -2.5965 -2.4142 -2.0367 -1.7140 -1.4376 -1.2119 -1.0259
 -0.8670 -0.7297 -0.6119 -0.5107 -0.4234 -0.3479 -0.2834 -0.2285 -0.1816 -0.1410
 -0.1050
 -5.9329 -5.4401 -5.0079 -4.6345 -4.3183 -4.0540 -3.8313 -3.6377 -3.4632 -3.2968
 -3.1250 -2.9442 -2.7606 -2.5821 -2.4137 -2.0465 -1.7278 -1.4479 -1.2167 -1.0285
 -0.8709 -0.7362 -0.6212 -0.5237 -0.4407 -0.3699 -0.3105 -0.2608 -0.2194 -0.1850
 -0.1563
 -6.2748 -5.6963 -5.1906 -4.7497 -4.3690 -4.0439 -3.7684 -3.5335 -3.3286 -3.1441
 -2.9727 -2.8115 -2.6601 -2.5182 -2.3829 -2.0588 -1.7496 -1.4684 -1.2308 -1.0376
 -0.8787 -0.7449 -0.6317 -0.5366 -0.4569 -0.3902 -0.3352 -0.2903 -0.2541 -0.2249
 -0.2016
 -6.7134 -6.0646 -5.4804 -4.9693 -4.5238 -4.1402 -3.8121 -3.5328 -3.2940 -3.0870
 -2.9034 -2.7378 -2.5876 -2.4523 -2.3218 -2.0736 -1.7794 -1.4991 -1.2542
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value = BX   
 -8.0131 -7.9555 -7.7871 -7.5197 -7.1635 -6.7273 -6.2193 -5.6463 -5.0179 -4.3823
 -3.8644 -3.4885 -3.2099 -2.9882 -2.7979 -2.3972 -2.0701 -1.7824 -1.5200
 -7.4786 -7.4051 -7.3285 -7.2290 -7.0254 -6.6766 -6.1599 -5.5060 -4.8700 -4.2552
 -3.7531 -3.3833 -3.1080 -2.8890 -2.7027 -2.3127 -1.9869 -1.7023 -1.4484 -1.2180
 -6.9855 -6.8971 -6.8122 -6.7165 -6.5849 -6.3730 -5.9940 -5.3971 -4.7751 -4.1838
 -3.6893 -3.3171 -3.0384 -2.8184 -2.6327 -2.2462 -1.9239 -1.6442 -1.3978 -1.1773
 -0.9774
 -6.5448 -6.4406 -6.3428 -6.2446 -6.1298 -5.9682 -5.7072 -5.2640 -4.6970 -4.1386
 -3.6524 -3.2758 -2.9903 -2.7666 -2.5799 -2.1947 -1.8744 -1.5996 -1.3594 -1.1464
 -0.9551 -0.7837
 -6.1672 -6.0444 -5.9302 -5.8216 -5.7115 -5.5772 -5.3862 -5.0733 -4.6090 -4.0970
 -3.6291 -3.2500 -2.9576 -2.7283 -2.5392 -2.1544 -1.8351 -1.5638 -1.3291 -1.1224
 -0.9381 -0.7741 -0.6283 -0.4986
 -5.8736 -5.7223 -5.5854 -5.4586 -5.3375 -5.2123 -5.0604 -4.8364 -4.4900 -4.0482
 -3.6080 -3.2333 -2.9359 -2.7009 -2.5087 -2.1236 -1.8045 -1.5347 -1.3047 -1.1036
 -0.9252 -0.7672 -0.6280 -0.5047 -0.3948 -0.2958 -0.2036 -0.1194 -0.0567 -0.0107
 -5.7055 -5.5033 -5.3260 -5.1699 -5.0276 -4.8920 -4.7512 -4.5779 -4.3267 -3.9750
 -3.5813 -3.2197 -2.9214 -2.6826 -2.4872 -2.1018 -1.7831 -1.5127 -1.2853 -1.0891
 -0.9159 -0.7632 -0.6295 -0.5122 -0.4085 -0.3164 -0.2345 -0.1588 -0.0905 -0.0422
 -0.0092
 -5.5884 -5.3278 -5.1163 -4.9449 -4.7903 -4.6353 -4.4831 -4.3253 -4.1320 -3.8672
 -3.5372 -3.2037 -2.9131 -2.6724 -2.4743 -2.0887 -1.7714 -1.4991 -1.2717 -1.0788
 -0.9102 -0.7619 -0.6329 -0.5207 -0.4225 -0.3362 -0.2606 -0.1943 -0.1347 -0.0817
 -0.0458
 -5.6349 -5.2623 -4.9551 -4.7095 -4.5193 -4.3667 -4.2293 -4.0855 -3.9215 -3.7187
 -3.4602 -3.1717 -2.8988 -2.6636 -2.4661 -2.0814 -1.7670 -1.4927 -1.2626 -1.0706
 -0.9055 -0.7610 -0.6360 -0.5283 -0.4352 -0.3542 -0.2842 -0.2240 -0.1727 -0.1283
 -0.0896
 -5.7976 -5.3532 -4.9659 -4.6370 -4.3659 -4.1454 -3.9629 -3.8061 -3.6619 -3.5105
 -3.3285 -3.1097 -2.8773 -2.6594 -2.4673 -2.0853 -1.7749 -1.4998 -1.2652 -1.0710
 -0.9072 -0.7656 -0.6435 -0.5391 -0.4500 -0.3735 -0.3083 -0.2532 -0.2074 -0.1696
 -0.1389
 -6.0778 -5.5577 -5.1008 -4.7032 -4.3618 -4.0741 -3.8332 -3.6286 -3.4489 -3.2845
 -3.1255 -2.9609 -2.7893 -2.6180 -2.4542 -2.0955 -1.7909 -1.5169 -1.2778 -1.0788
 -0.9135 -0.7731 -0.6528 -0.5507 -0.4645 -0.3917 -0.3308 -0.2802 -0.2391 -0.2067
 -0.1820
 -6.4884 -5.8826 -5.3479 -4.8813 -4.4753 -4.1259 -3.8278 -3.5744 -3.3568 -3.1656
 -2.9917 -2.8294 -2.6768 -2.5329 -2.4268 -2.1120 -1.8150 -1.5440 -1.3004
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value = BX   
 -8.1556 -8.0457 -7.8432 -7.5578 -7.1981 -6.7719 -6.2856 -5.7453 -5.1564 -4.5432
 -3.9975 -3.5893 -3.2911 -3.0597 -2.8664 -2.4640 -2.1306 -1.8391 -1.5739
 -7.6368 -7.9964 -8.0797 -7.9152 -7.5279 -6.9397 -6.2307 -5.6146 -5.0217 -4.4219
 -3.8931 -3.4917 -3.1956 -2.9666 -2.7766 -2.3872 -2.0571 -1.7676 -1.5101 -1.2769
 -7.1484 -7.3523 -7.0241 -6.9478 -6.8243 -6.6026 -6.1425 -5.5211 -4.9330 -4.3508
 -3.8345 -3.4308 -3.1294 -2.8977 -2.7077 -2.3229 -2.0000 -1.7155 -1.4634 -1.2382
 -1.0339
 -6.6998 -6.6176 -6.5427 -6.4648 -6.3625 -6.2015 -5.9253 -5.4412 -4.8663 -4.3067
 -3.8018 -3.3942 -3.0837 -2.8458 -2.6532 -2.2701 -1.9518 -1.6736 -1.4273 -1.2085
 -1.0121 -0.8342
 -6.3011 -6.2001 -6.1078 -6.0201 -5.9266 -5.8004 -5.6067 -5.2804 -4.7928 -4.2677
 -3.7798 -3.3716 -3.0534 -2.8071 -2.6101 -2.2260 -1.9108 -1.6377 -1.3976 -1.1850
 -0.9945 -0.8233 -0.6706 -0.5340
 -5.9674 -5.8435 -5.7304 -5.6259 -5.5248 -5.4148 -5.2701 -5.0443 -4.6846 -4.2227
 -3.7611 -3.3579 -3.0336 -2.7795 -2.5767 -2.1899 -1.8767 -1.6066 -1.3720 -1.1650
 -0.9803 -0.8149 -0.6682 -0.5386 -0.4234 -0.3172 -0.2172 -0.1304 -0.0636 -0.0124
 -5.7351 -5.5700 -5.4248 -5.2964 -5.1780 -5.0631 -4.9383 -4.7732 -4.5205 -4.1531
 -3.7356 -3.3467 -3.0204 -2.7609 -2.5525 -2.1619 -1.8504 -1.5814 -1.3503 -1.1485
 -0.9691 -0.8088 -0.6677 -0.5435 -0.4346 -0.3373 -0.2478 -0.1644 -0.0928 -0.0411
 -0.0042
 -5.5892 -5.3917 -5.2130 -5.0512 -4.9043 -4.7693 -4.6388 -4.4985 -4.3133 -4.0446
 -3.6941 -3.3316 -3.0124 -2.7501 -2.5370 -2.1424 -1.8329 -1.5642 -1.3336 -1.1355
 -0.9608 -0.8054 -0.6685 -0.5493 -0.4451 -0.3531 -0.2722 -0.1993 -0.1323 -0.0758
 -0.0378
 -5.5591 -5.2393 -4.9918 -4.8042 -4.6600 -4.5287 -4.3918 -4.2473 -4.0892 -3.8877
 -3.6170 -3.3018 -2.9997 -2.7405 -2.5264 -2.1287 -1.8221 -1.5534 -1.3215 -1.1243
 -0.9534 -0.8021 -0.6694 -0.5544 -0.4548 -0.3680 -0.2924 -0.2268 -0.1693 -0.1187
 -0.0767
 -5.6744 -5.2739 -4.9309 -4.6491 -4.4261 -4.2512 -4.1112 -3.9889 -3.8617 -3.7074
 -3.5065 -3.2546 -2.9861 -2.7389 -2.5267 -2.1267 -1.8229 -1.5558 -1.3211 -1.1221
 -0.9525 -0.8044 -0.6749 -0.5631 -0.4672 -0.3846 -0.3137 -0.2527 -0.2013 -0.1585
 -0.1235
 -5.8976 -5.4275 -5.0149 -4.6585 -4.3580 -4.1103 -3.9076 -3.7382 -3.5915 -3.4555
 -3.3127 -3.1408 -2.9357 -2.7224 -2.5246 -2.1325 -1.8318 -1.5675 -1.3307 -1.1277
 -0.9566 -0.8100 -0.6827 -0.5731 -0.4799 -0.4008 -0.3339 -0.2773 -0.2305 -0.1930
 -0.1640
 -6.2530 -5.6988 -5.2138 -4.7903 -4.4238 -4.1105 -3.8463 -3.6238 -3.4337 -3.2653
 -3.1101 -2.9602 -2.8060 -2.6461 -2.5201 -2.1461 -1.8488 -1.5885 -1.3503
