 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  V   
 -1.6191 -1.4039 -1.2285 -1.0799 -0.9504 -0.6926 -0.5088 -0.3730 -0.2667 -0.1822
 -0.1150
 -5.4778 -4.9892 -4.5164 -4.0657 -3.6435 -3.2524 -2.8764 -2.4944 -2.1415 -1.8385
 -1.5877 -1.3827 -1.2127 -1.0673 -0.9397 -0.6824 -0.4987 -0.3663 -0.2657 -0.1869
 -0.1248 -0.0743
 -5.1006 -4.5325 -4.0336 -3.6721 -3.3428 -3.0164 -2.6894 -2.3678 -2.0639 -1.7940
 -1.5635 -1.3699 -1.2065 -1.0652 -0.9399 -0.6832 -0.4968 -0.3646 -0.2670 -0.1924
 -0.1346 -0.0881 -0.0488 -0.0152
 -4.8123 -4.1456 -3.6503 -3.2491 -2.9203 -2.6452 -2.4101 -2.1885 -1.9631 -1.7411
 -1.5372 -1.3581 -1.2028 -1.0670 -0.9452 -0.6902 -0.5003 -0.3658 -0.2693 -0.1975
 -0.1432 -0.1008 -0.0653 -0.0345 -0.0077  0.0156  0.0335  0.0437  0.0457  0.0419
 -4.6713 -4.0236 -3.4781 -3.0345 -2.6788 -2.3897 -2.1483 -1.9416 -1.7663 -1.6178
 -1.4786 -1.3366 -1.1972 -1.0685 -0.9513 -0.7003 -0.5074 -0.3689 -0.2716 -0.2013
 -0.1499 -0.1113 -0.0802 -0.0533 -0.0293 -0.0082  0.0094  0.0229  0.0299  0.0273
  0.0181
 -4.6857 -4.0130 -3.4320 -2.9540 -2.5709 -2.2661 -2.0194 -1.8142 -1.6394 -1.4905
 -1.3663 -1.2625 -1.1644 -1.0610 -0.9548 -0.7114 -0.5169 -0.3738 -0.2736 -0.2033
 -0.1538 -0.1185 -0.0920 -0.0699 -0.0501 -0.0321 -0.0162 -0.0030  0.0066  0.0098
  0.0027
 -4.7091 -4.0378 -3.4442 -2.9439 -2.5388 -2.2170 -1.9606 -1.7523 -1.5788 -1.4314
 -1.3042 -1.1946 -1.1008 -1.0177 -0.9356 -0.7192 -0.5258 -0.3787 -0.2745 -0.2028
 -0.1540 -0.1213 -0.0991 -0.0823 -0.0677 -0.0541 -0.0416 -0.0304 -0.0212 -0.0155
 -0.0158
 -4.7172 -4.0781 -3.4897 -2.9828 -2.5627 -2.2245 -1.9556 -1.7383 -1.5602 -1.4104
 -1.2818 -1.1694 -1.0700 -0.9818 -0.9028 -0.7183 -0.5371 -0.3870 -0.2778 -0.2026
 -0.1526 -0.1208 -0.1017 -0.0898 -0.0809 -0.0728 -0.0651 -0.0576 -0.0508 -0.0456
 -0.0433
 -4.7004 -4.1001 -3.5428 -3.0435 -2.6192 -2.2693 -1.9863 -1.7570 -1.5696 -1.4132
 -1.2798 -1.1637 -1.0609 -0.9688 -0.8853 -0.7061 -0.5429 -0.3964 -0.2825 -0.2027
 -0.1499 -0.1174 -0.0996 -0.0914 -0.0878 -0.0857 -0.0838 -0.0813 -0.0786 -0.0762
 -0.0749
 -4.6748 -4.1171 -3.5936 -3.1167 -2.6995 -2.3439 -2.0481 -1.8045 -1.6039 -1.4368
 -1.2951 -1.1726 -1.0649 -0.9690 -0.8831 -0.6826 -0.5432 -0.4069 -0.2886
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  V   
 -6.7341 -6.3175 -5.9369 -5.5831 -5.2502 -4.8341 -4.2248 -3.4212 -2.7053 -2.1704
 -1.7970 -1.5289 -1.3259 -1.1621 -1.0240 -0.7540 -0.5566 -0.4022 -0.2750
 -6.3821 -5.9155 -5.4953 -5.1144 -4.7539 -4.3555 -3.8095 -3.1508 -2.5469 -2.0707
 -1.7199 -1.4629 -1.2662 -1.1072 -0.9723 -0.7086 -0.5195 -0.3773 -0.2636 -0.1707
 -6.1521 -5.6420 -5.1786 -4.7601 -4.3757 -3.9902 -3.5219 -2.9731 -2.4547 -2.0227
 -1.6885 -1.4357 -1.2408 -1.0832 -0.9495 -0.6868 -0.5002 -0.3639 -0.2579 -0.1726
 -0.1043
 -5.9258 -5.4153 -4.9355 -4.4914 -4.0820 -3.6966 -3.2925 -2.8323 -2.3843 -1.9944
 -1.6779 -1.4298 -1.2351 -1.0777 -0.9444 -0.6808 -0.4926 -0.3581 -0.2566 -0.1763
 -0.1127 -0.0615
 -5.4435 -5.0002 -4.6030 -4.2181 -3.8350 -3.4577 -3.0891 -2.7020 -2.3163 -1.9677
 -1.6727 -1.4327 -1.2398 -1.0822 -0.9492 -0.6847 -0.4929 -0.3572 -0.2578 -0.1811
 -0.1212 -0.0735 -0.0341 -0.0008
 -5.0710 -4.5365 -4.0976 -3.7368 -3.4284 -3.1456 -2.8583 -2.5494 -2.2313 -1.9296
 -1.6623 -1.4356 -1.2474 -1.0913 -0.9588 -0.6944 -0.4987 -0.3595 -0.2602 -0.1858
 -0.1288 -0.0846 -0.0487 -0.0181  0.0080  0.0298  0.0462  0.0555  0.0566  0.0521
 -4.9313 -4.3238 -3.8106 -3.3896 -3.0451 -2.7542 -2.4984 -2.2653 -2.0460 -1.8336
