 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
  0.2310  0.2360  0.2334  0.2263  0.2164  0.2040  0.1886  0.1697  0.1450  0.1139
  0.0813
 -2.6320 -2.3564 -2.1008 -1.8731 -1.6770 -1.5076 -1.3538 -1.2040 -1.0473 -0.8860
 -0.7327 -0.5883 -0.4520 -0.3270 -0.2190 -0.0369  0.0672  0.1371  0.1840  0.2128
  0.2273  0.2307  0.2259  0.2163  0.2041  0.1904  0.1749  0.1572  0.1364  0.1103
  0.0772
 -2.6566 -2.3707 -2.0929 -1.8323 -1.5979 -1.3933 -1.2149 -1.0537 -0.9000 -0.7485
 -0.6048 -0.4786 -0.3735 -0.2838 -0.2025 -0.0340  0.0717  0.1403  0.1859  0.2137
  0.2269  0.2286  0.2215  0.2087  0.1933  0.1771  0.1599  0.1418  0.1220  0.0994
  0.0719
 -2.6968 -2.4116 -2.1275 -1.8504 -1.5899 -1.3551 -1.1501 -0.9718 -0.8137 -0.6690
 -0.5350 -0.4135 -0.3088 -0.2234 -0.1549 -0.0237  0.0772  0.1454  0.1901  0.2173
  0.2298  0.2302  0.2212  0.2054  0.1864  0.1665  0.1464  0.1264  0.1058  0.0836
  0.0597
 -2.7265 -2.4469 -2.1679 -1.8867 -1.6152 -1.3618 -1.1358 -0.9398 -0.7711 -0.6247
 -0.4953 -0.3804 -0.2791 -0.1928 -0.1213  0.0028  0.0886  0.1535  0.1972  0.2237
  0.2358  0.2355  0.2250  0.2069  0.1843  0.1603  0.1363  0.1129  0.0900  0.0668
  0.0406
 -2.7457 -2.4692 -2.1936 -1.9193 -1.6467 -1.3875 -1.1502 -0.9411 -0.7618 -0.6090
 -0.4781 -0.3649 -0.2663 -0.1809 -0.1017  0.0455  0.1059  0.1646  0.2072
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  R   
 -3.8874 -3.7683 -3.6549 -3.5393 -3.3866 -3.1626 -2.8401 -2.3974 -1.8540 -1.3493
 -0.9533 -0.6671 -0.4669 -0.3249 -0.2193 -0.0356  0.0912  0.1834  0.2493
 -3.6282 -3.4873 -3.3580 -3.2359 -3.1094 -2.9490 -2.6886 -2.2533 -1.7710 -1.3085
 -0.9300 -0.6483 -0.4481 -0.3063 -0.2025 -0.0267  0.0928  0.1784  0.2379  0.2767
 -3.4258 -3.2623 -3.1138 -2.9780 -2.8497 -2.7088 -2.4998 -2.1440 -1.7254 -1.3060
 -0.9425 -0.6596 -0.4526 -0.3051 -0.1985 -0.0248  0.0900  0.1716  0.2275  0.2639
  0.2852
 -3.2718 -3.0882 -2.9203 -2.7669 -2.6265 -2.4901 -2.3248 -2.0439 -1.6877 -1.3123
 -0.9690 -0.6868 -0.4717 -0.3151 -0.2025 -0.0263  0.0856  0.1646  0.2181  0.2528
  0.2733  0.2825
 -3.1404 -2.9469 -2.7672 -2.6001 -2.4444 -2.2982 -2.1501 -1.9373 -1.6410 -1.3124
 -0.9948 -0.7195 -0.4993 -0.3333 -0.2122 -0.0290  0.0812  0.1581  0.2102  0.2434
  0.2631  0.2720  0.2727  0.2681
 -2.9356 -2.7666 -2.6065 -2.4492 -2.2939 -2.1402 -1.9869 -1.8168 -1.5783 -1.2968
 -1.0108 -0.7494 -0.5297 -0.3565 -0.2265 -0.0321  0.0777  0.1529  0.2039  0.2360
