 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -2.7334 -2.5654 -2.4157 -2.2795 -2.1255 -1.8607 -1.5906 -1.3059 -1.0857
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.8828 -6.7970 -6.7015 -6.5873 -6.4105 -6.1338 -5.7287 -5.1729 -4.5117 -3.9692
 -3.5710 -3.2663 -3.0171 -2.8016 -2.6093 -2.2013 -1.8645 -1.5692 -1.2935
 -6.3403 -6.2417 -6.1406 -6.0266 -5.8808 -5.6718 -5.3446 -4.8300 -4.2638 -3.7748
 -3.3993 -3.1064 -2.8642 -2.6528 -2.4628 -2.0609 -1.7357 -1.4596 -1.2166 -0.9988
 -5.8778 -5.7651 -5.6538 -5.5368 -5.4004 -5.2210 -4.9582 -4.5520 -4.0774 -3.6395
 -3.2838 -2.9999 -2.7632 -2.5555 -2.3674 -1.9679 -1.6492 -1.3854 -1.1588 -0.9596
 -0.7824
 -5.5065 -5.3735 -5.2459 -5.1190 -4.9841 -4.8252 -4.6155 -4.3045 -3.9162 -3.5310
 -3.1995 -2.9262 -2.6957 -2.4923 -2.3067 -1.9077 -1.5916 -1.3356 -1.1201 -0.9337
 -0.7697 -0.6248
 -5.2483 -5.0800 -4.9261 -4.7799 -4.6349 -4.4822 -4.3054 -4.0700 -3.7608 -3.4315
 -3.1295 -2.8707 -2.6487 -2.4513 -2.2695 -1.8710 -1.5544 -1.3029 -1.0951 -0.9181
 -0.7643 -0.6293 -0.5108 -0.4075
 -5.1526 -4.9126 -4.7099 -4.5300 -4.3630 -4.2003 -4.0335 -3.8451 -3.6047 -3.3308
 -3.0634 -2.8234 -2.6127 -2.4236 -2.2477 -1.8520 -1.5325 -1.2823 -1.0799 -0.9097
 -0.7640 -0.6373 -0.5266 -0.4296 -0.3437 -0.2666 -0.1965 -0.1291 -0.0708 -0.0331
 -5.1947 -4.8626 -4.5836 -4.3521 -4.1548 -3.9772 -3.8070 -3.6377 -3.4478 -3.2260
 -2.9953 -2.7781 -2.5815 -2.4027 -2.2349 -1.8468 -1.5229 -1.2712 -1.0717 -0.9067
 -0.7671 -0.6473 -0.5438 -0.4535 -0.3741 -0.3031 -0.2391 -0.1806 -0.1250 -0.0777
 -0.0493
 -5.3179 -4.9223 -4.5727 -4.2717 -4.0160 -3.7972 -3.6051 -3.4335 -3.2738 -3.1040
 -2.9197 -2.7321 -2.5522 -2.3847 -2.2267 -1.8520 -1.5241 -1.2679 -1.0688 -0.9071
 -0.7720 -0.6577 -0.5604 -0.4767 -0.4038 -0.3390 -0.2809 -0.2283 -0.1799 -0.1355
 -0.0986
 -5.5147 -5.0599 -4.6544 -4.2971 -3.9870 -3.7212 -3.4931 -3.2944 -3.1189 -2.9587
 -2.8060 -2.6594 -2.5144 -2.3670 -2.2191 -1.8616 -1.5327 -1.2699 -1.0681 -0.9079
 -0.7761 -0.6661 -0.5740 -0.4964 -0.4300 -0.3718 -0.3201 -0.2733 -0.2309 -0.1923
 -0.1574
 -5.8249 -5.2970 -4.8302 -4.4184 -4.0587 -3.7477 -3.4813 -3.2532 -3.0566 -2.8843
 -2.7290 -2.5870 -2.4564 -2.3329 -2.2091 -1.8789 -1.5541 -1.2830 -1.0752 -0.9135
 -0.7831 -0.6757 -0.5873 -0.5144 -0.4537 -0.4020 -0.3569 -0.3161 -0.2790 -0.2456
 -0.2158
 -6.2313 -5.6373 -5.1017 -4.6298 -4.2165 -3.8589 -3.5519 -3.2898 -3.0661 -2.8742
 -2.7069 -2.5582 -2.4236 -2.2993 -2.1818 -1.8916 -1.5832 -1.3045 -1.0880 -0.9218
 -0.7907 -0.6845 -0.5983 -0.5289 -0.4728 -0.4268 -0.3881 -0.3541 -0.3235 -0.2956
 -0.2738
 -6.6501 -6.0275 -5.4495 -4.9242 -4.4559 -4.0489 -3.6978 -3.3976 -3.1417 -2.9230
 -2.7348 -2.5709 -2.4254 -2.2937 -2.1372 -1.8997 -1.6200 -1.3344 -1.1065
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = BX   
 -7.1294 -7.0608 -7.0398 -6.9938 -6.8517 -6.5561 -6.0614 -5.3764 -4.6693 -4.0654
 -3.6175 -3.2885 -3.0300 -2.8125 -2.6213 -2.2183 -1.8848 -1.5943 -1.3230
 -6.5750 -6.4993 -6.4143 -6.3168 -6.1844 -5.9809 -5.6460 -5.0888 -4.4548 -3.8955
 -3.4675 -3.1473 -2.8944 -2.6808 -2.4915 -2.0917 -1.7664 -1.4897 -1.2465 -1.0291
 -6.0870 -5.9970 -5.9078 -5.8114 -5.6927 -5.5259 -5.2657 -4.8349 -4.2969 -3.7848
 -3.3723 -3.0559 -2.8049 -2.5934 -2.4058 -2.0073 -1.6857 -1.4182 -1.1885 -0.9872
 -0.8088
 -5.6764 -5.5710 -5.4698 -5.3682 -5.2561 -5.1153 -4.9145 -4.5931 -4.1549 -3.6997
 -3.3070 -2.9950 -2.7452 -2.5352 -2.3491 -1.9513 -1.6308 -1.3693 -1.1490 -0.9588
 -0.7924 -0.6447
 -5.3585 -5.2287 -5.1079 -4.9924 -4.8757 -4.7466 -4.5844 -4.3486 -4.0074 -3.6180
 -3.2548 -2.9518 -2.7047 -2.4966 -2.3125 -1.9157 -1.5941 -1.3360 -1.1225 -0.9406
 -0.7833 -0.6450 -0.5227 -0.4158
 -5.1868 -4.9940 -4.8364 -4.6950 -4.5614 -4.4276 -4.2819 -4.1007 -3.8453 -3.5269
 -3.2036 -2.9169 -2.6758 -2.4709 -2.2898 -1.8957 -1.5716 -1.3142 -1.1055 -0.9299
 -0.7796 -0.6490 -0.5343 -0.4333 -0.3435 -0.2629 -0.1900 -0.1233 -0.0655 -0.0276
 -5.1606 -4.8889 -4.6710 -4.4884 -4.3251 -4.1719 -4.0213 -3.8629 -3.6695 -3.4202
 -3.1448 -2.8827 -2.6525 -2.4533 -2.2765 -1.8884 -1.5612 -1.3017 -1.0954 -0.9247
 -0.7799 -0.6555 -0.5476 -0.4532 -0.3705 -0.2973 -0.2326 -0.1728 -0.1163 -0.0697
 -0.0415
 -5.2510 -4.8991 -4.5971 -4.3464 -4.1385 -3.9602 -3.7982 -3.6421 -3.4831 -3.2936
 -3.0717 -2.8430 -2.6301 -2.4398 -2.2688 -1.8905 -1.5617 -1.2976 -1.0911 -0.9234
 -0.7827 -0.6633 -0.5612 -0.4731 -0.3966 -0.3297 -0.2705 -0.2178 -0.1693 -0.1246
 -0.0883
 -5.4100 -4.9998 -4.6350 -4.3170 -4.0458 -3.8161 -3.6173 -3.4403 -3.2784 -3.1220
 -2.9538 -2.7758 -2.5962 -2.4232 -2.2616 -1.8972 -1.5695 -1.2995 -1.0897 -0.9229
 -0.7854 -0.6699 -0.5726 -0.4902 -0.4199 -0.3593 -0.3063 -0.2590 -0.2167 -0.1788
 -0.1450
 -5.6695 -5.1937 -4.7709 -4.3968 -4.0698 -3.7878 -3.5460 -3.3366 -3.1516 -2.9847
 -2.8277 -2.6761 -2.5314 -2.3919 -2.2532 -1.9117 -1.5898 -1.3135 -1.0972 -0.9282
 -0.7917 -0.6787 -0.5848 -0.5068 -0.4418 -0.3871 -0.3403 -0.2993 -0.2627 -0.2297
 -0.2018
 -6.0511 -5.4976 -5.0050 -4.5705 -4.1893 -3.8575 -3.5712 -3.3250 -3.1128 -2.9274
 -2.7620 -2.6109 -2.4717 -2.3432 -2.2224 -1.9243 -1.6169 -1.3359 -1.1112 -0.9371
 -0.7994 -0.6874 -0.5956 -0.5209 -0.4601 -0.4105 -0.3696 -0.3348 -0.3044 -0.2775
 -0.2588
 -6.5021 -5.8997 -5.3421 -4.8411 -4.4010 -4.0166 -3.6834 -3.3967 -3.1508 -2.9395
 -2.7562 -2.5948 -2.4502 -2.3188 -2.1692 -1.9350 -1.6508 -1.3667 -1.1317
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value = BX   
 -7.3642 -7.3157 -7.3032 -7.2450 -7.0774 -6.7510 -6.2239 -5.5095 -4.8268 -4.1913
 -3.6942 -3.3344 -3.0620 -2.8399 -2.6486 -2.2485 -1.9181 -1.6293 -1.3594
 -6.8134 -6.7545 -6.6903 -6.6061 -6.4798 -6.2735 -5.9142 -5.3074 -4.6468 -4.0390
 -3.5606 -3.2084 -2.9401 -2.7215 -2.5321 -2.1344 -1.8088 -1.5301 -1.2846 -1.0653
 -6.3078 -6.2377 -6.1671 -6.0864 -5.9787 -5.8167 -5.5513 -5.0982 -4.5143 -3.9470
