 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -4.8981 -4.6751 -4.5075 -4.3912 -4.3143 -4.2644 -4.2254 -4.1778 -4.1150 -4.0337
 -3.9308 -3.8040 -3.6506 -3.4687 -3.2608 -2.7033 -2.2016 -1.7775 -1.4211 -1.1303
 -0.9014 -0.7264 -0.5984 -0.5069 -0.4397 -0.3871 -0.3434 -0.3041 -0.2657 -0.2265
 -5.2124 -4.9196 -4.6684 -4.4621 -4.2993 -4.1756 -4.0864 -4.0241 -3.9636 -3.8850
 -3.7863 -3.6684 -3.5299 -3.3680 -3.1797 -2.6435 -2.1445 -1.7255 -1.3750 -1.0867
 -0.8586 -0.6839 -0.5557 -0.4656 -0.4027 -0.3569 -0.3216 -0.2921 -0.2659 -0.2397
 -0.2109
 -5.5798 -5.2233 -4.9115 -4.6408 -4.4116 -4.2222 -4.0685 -3.9467 -3.8551 -3.7794
 -3.6974 -3.5928 -3.4606 -3.3063 -3.1328 -2.6243 -2.1238 -1.7030 -1.3534 -1.0638
 -0.8321 -0.6528 -0.5201 -0.4273 -0.3644 -0.3219 -0.2920 -0.2698 -0.2519 -0.2358
 -0.2197
 -6.0572 -5.6103 -5.2252 -4.8917 -4.6025 -4.3547 -4.1457 -3.9720 -3.8292 -3.7115
 -3.6076 -3.5069 -3.3987 -3.2700 -3.1126 -2.6334 -2.1313 -1.7034 -1.3499 -1.0565
 -0.8177 -0.6308 -0.4905 -0.3910 -0.3250 -0.2828 -0.2561 -0.2387 -0.2269 -0.2182
 -0.2107
 -6.7497 -6.1684 -5.6723 -5.2505 -4.8889 -4.5782 -4.3113 -4.0836 -3.8907 -3.7273
 -3.5854 -3.4559 -3.3307 -3.2046 -3.0719 -2.6616 -2.1736 -1.7348 -1.3727 -1.0723
 -0.8241 -0.6256 -0.4736 -0.3632 -0.2890 -0.2425 -0.2153 -0.2001 -0.1925 -0.1889
 -0.1882
 -7.6790 -6.9507 -6.3170 -5.7701 -5.3065 -4.9116 -4.5739 -4.2840 -4.0346 -3.8199
