 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -4.5614 -4.2022 -3.9029 -3.6325 -3.3775 -3.1357 -2.9095 -2.7017 -2.5141 -2.3453
 -2.1925 -2.0513 -1.9179 -1.7900 -1.6669 -1.3885 -1.1499 -0.9384 -0.7640
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F475W
 -5.4763 -5.0068 -4.5506 -4.1546 -3.8075 -3.4956 -3.2359 -3.0050 -2.7971 -2.6031
 -2.4225 -2.2555 -2.1023 -1.9627 -1.8356 -1.5587 -1.3152 -1.0864 -0.8683
 -5.1325 -4.9068 -4.5057 -4.0979 -3.7357 -3.4117 -3.1383 -2.9026 -2.6893 -2.4944
 -2.3128 -2.1449 -1.9908 -1.8508 -1.7240 -1.4541 -1.2246 -1.0155 -0.8226 -0.6497
 -4.7079 -4.5695 -4.4270 -4.0878 -3.7203 -3.3871 -3.0947 -2.8479 -2.6310 -2.4344
 -2.2523 -2.0833 -1.9276 -1.7855 -1.6569 -1.3865 -1.1637 -0.9671 -0.7902 -0.6329
 -0.4970
 -4.5849 -4.2630 -4.0835 -3.9877 -3.7292 -3.4022 -3.0980 -2.8324 -2.6071 -2.4080
 -2.2254 -2.0555 -1.8979 -1.7531 -1.6214 -1.3457 -1.1244 -0.9350 -0.7690 -0.6236
 -0.4979 -0.3903
 -4.5511 -4.1867 -3.8899 -3.6812 -3.5609 -3.4029 -3.1298 -2.8542 -2.6118 -2.4053
 -2.2213 -2.0506 -1.8914 -1.7439 -1.6086 -1.3244 -1.1006 -0.9147 -0.7559 -0.6195
 -0.5023 -0.4019 -0.3150 -0.2389
 -4.5489 -4.1764 -3.8472 -3.5726 -3.3563 -3.1930 -3.0655 -2.8830 -2.6460 -2.4237
 -2.2331 -2.0614 -1.9009 -1.7511 -1.6123 -1.3180 -1.0882 -0.9025 -0.7482 -0.6183
 -0.5084 -0.4146 -0.3337 -0.2628 -0.1993 -0.1424 -0.0914 -0.0460 -0.0083  0.0134
 -4.5695 -4.1940 -3.8538 -3.5549 -3.3007 -3.0897 -2.9100 -2.7595 -2.6232 -2.4538
 -2.2593 -2.0834 -1.9219 -1.7702 -1.6284 -1.3234 -1.0851 -0.8967 -0.7442 -0.6187
 -0.5146 -0.4270 -0.3521 -0.2867 -0.2285 -0.1759 -0.1280 -0.0853 -0.0481 -0.0189
 -0.0053
 -4.6033 -4.2305 -3.8851 -3.5731 -3.2995 -3.0655 -2.8652 -2.6870 -2.5269 -2.3853
 -2.2515 -2.1037 -1.9494 -1.7978 -1.6542 -1.3390 -1.0903 -0.8962 -0.7430 -0.6199
 -0.5198 -0.4374 -0.3684 -0.3089 -0.2564 -0.2088 -0.1656 -0.1265 -0.0914 -0.0613
 -0.0404
 -4.6488 -4.2746 -3.9284 -3.6096 -3.3236 -3.0731 -2.8572 -2.6688 -2.4986 -2.3413
 -2.1974 -2.0667 -1.9429 -1.8143 -1.6801 -1.3608 -1.1012 -0.8992 -0.7428 -0.6200
 -0.5224 -0.4440 -0.3802 -0.3268 -0.2805 -0.2388 -0.2008 -0.1658 -0.1340 -0.1061
 -0.0834
 -4.7051 -4.3309 -3.9862 -3.6646 -3.3701 -3.1069 -2.8763 -2.6759 -2.4993 -2.3383
 -2.1883 -2.0486 -1.9200 -1.8003 -1.6842 -1.3906 -1.1231 -0.9111 -0.7485 -0.6232
 -0.5257 -0.4493 -0.3891 -0.3409 -0.3008 -0.2655 -0.2337 -0.2041 -0.1767 -0.1520
 -0.1305
 -4.7701 -4.3878 -4.0465 -3.7275 -3.4297 -3.1577 -2.9147 -2.7011 -2.5140 -2.3478
 -2.1960 -2.0542 -1.9209 -1.7960 -1.6782 -1.4070 -1.1513 -0.9300 -0.7587 -0.6284
 -0.5289 -0.4525 -0.3943 -0.3498 -0.3149 -0.2860 -0.2609 -0.2377 -0.2160 -0.1958
 -0.1766
 -4.8498 -4.4460 -4.1026 -3.7886 -3.4940 -3.2194 -2.9681 -2.7428 -2.5437 -2.3680
 -2.2111 -2.0679 -1.9339 -1.8072 -1.6865 -1.4133 -1.1733 -0.9554 -0.7746
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F475W
 -5.3514 -4.8510 -4.4083 -4.0380 -3.7145 -3.4207 -3.1686 -2.9342 -2.7261 -2.5405
 -2.3654 -2.2033 -2.0547 -1.9193 -1.7958 -1.5293 -1.2990 -1.0837 -0.8772
 -5.0576 -4.8429 -4.4025 -3.9999 -3.6511 -3.3447 -3.0827 -2.8485 -2.6379 -2.4490
 -2.2728 -2.1098 -1.9603 -1.8240 -1.7003 -1.4382 -1.2178 -1.0175 -0.8307 -0.6598
 -4.7901 -4.7062 -4.4104 -4.0187 -3.6498 -3.3226 -3.0454 -2.8046 -2.5917 -2.4005
 -2.2235 -2.0595 -1.9083 -1.7700 -1.6443 -1.3800 -1.1636 -0.9724 -0.7983 -0.6414
 -0.5036
 -4.5878 -4.3241 -4.2384 -4.0291 -3.6856 -3.3494 -3.0509 -2.7958 -2.5761 -2.3813
 -2.2036 -2.0384 -1.8854 -1.7445 -1.6158 -1.3452 -1.1285 -0.9422 -0.7769 -0.6303
 -0.5023 -0.3919
 -4.5633 -4.1955 -3.9314 -3.7996 -3.6738 -3.3940 -3.0919 -2.8189 -2.5853 -2.3834
 -2.2037 -2.0375 -1.8828 -1.7394 -1.6072 -1.3277 -1.1071 -0.9228 -0.7632 -0.6243
 -0.5044 -0.4011 -0.3117 -0.2338
 -4.5896 -4.1913 -3.8572 -3.6000 -3.4244 -3.3082 -3.1278 -2.8687 -2.6201 -2.4046
 -2.2183 -2.0507 -1.8946 -1.7489 -1.6136 -1.3240 -1.0964 -0.9112 -0.7550 -0.6218
 -0.5084 -0.4114 -0.3277 -0.2547 -0.1905 -0.1335 -0.0819 -0.0355  0.0015  0.0229
 -4.6478 -4.2319 -3.8695 -3.5641 -3.3189 -3.1269 -2.9770 -2.8444 -2.6637 -2.4467
 -2.2471 -2.0744 -1.9169 -1.7695 -1.6315 -1.3316 -1.0948 -0.9059 -0.7508 -0.6214
 -0.5130 -0.4216 -0.3436 -0.2759 -0.2163 -0.1631 -0.1160 -0.0738 -0.0362 -0.0077
  0.0057
 -4.7289 -4.3013 -3.9208 -3.5897 -3.3102 -3.0784 -2.8868 -2.7216 -2.5783 -2.4418
 -2.2823 -2.1075 -1.9475 -1.7987 -1.6586 -1.3494 -1.1018 -0.9065 -0.7499 -0.6223
 -0.5174 -0.4307 -0.3579 -0.2957 -0.2416 -0.1933 -0.1503 -0.1109 -0.0764 -0.0484
 -0.0280
 -4.8192 -4.3863 -3.9941 -3.6447 -3.3408 -3.0830 -2.8672 -2.6829 -2.5185 -2.3692
 -2.2339 -2.1043 -1.9683 -1.8285 -1.6897 -1.3735 -1.1150 -0.9111 -0.7507 -0.6228
 -0.5198 -0.4365 -0.3685 -0.3118 -0.2634 -0.2209 -0.1830 -0.1485 -0.1178 -0.0915
 -0.0699
 -4.9206 -4.4850 -4.0881 -3.7273 -3.4054 -3.1257 -2.8873 -2.6851 -2.5101 -2.3521
 -2.2061 -2.0715 -1.9474 -1.8300 -1.7109 -1.4077 -1.1392 -0.9252 -0.7579 -0.6271
 -0.5238 -0.4421 -0.3773 -0.3252 -0.2823 -0.2458 -0.2137 -0.1848 -0.1585 -0.1344
 -0.1152
 -5.0262 -4.5856 -4.1884 -3.8236 -3.4908 -3.1943 -2.9357 -2.7139 -2.5239 -2.3579
 -2.2076 -2.0682 -1.9382 -1.8179 -1.7047 -1.4336 -1.1706 -0.9462 -0.7702 -0.6339
 -0.5283 -0.4463 -0.3830 -0.3342 -0.2960 -0.2652 -0.2393 -0.2164 -0.1957 -0.1769
 -0.1589
 -5.1404 -4.6820 -4.2854 -3.9226 -3.5874 -3.2811 -3.0071 -2.7671 -2.5595 -2.3799
 -2.2221 -2.0795 -1.9472 -1.8232 -1.7064 -1.4409 -1.1981 -0.9744 -0.7885
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.1939 -4.7003 -4.2836 -3.9388 -3.6269 -3.3463 -3.1072 -2.8833 -2.6756 -2.4943
 -2.3245 -2.1664 -2.0216 -1.8891 -1.7685 -1.5089 -1.2807 -1.0740 -0.8863
 -5.1115 -4.7436 -4.2991 -3.9123 -3.5808 -3.2855 -3.0370 -2.8090 -2.6006 -2.4167
 -2.2453 -2.0864 -1.9405 -1.8074 -1.6861 -1.4292 -1.2155 -1.0222 -0.8409 -0.6716
 -4.9399 -4.7434 -4.3504 -3.9458 -3.5865 -3.2723 -3.0047 -2.7725 -2.5632 -2.3762
 -2.2040 -2.0442 -1.8968 -1.7617 -1.6385 -1.3786 -1.1671 -0.9805 -0.8092 -0.6524
 -0.5128
 -4.7084 -4.4616 -4.3347 -3.9994 -3.6333 -3.3017 -3.0124 -2.7664 -2.5523 -2.3614
 -2.1883 -2.0273 -1.8782 -1.7408 -1.6147 -1.3484 -1.1354 -0.9523 -0.7879 -0.6400
 -0.5093 -0.3958
 -4.5626 -4.2137 -4.0281 -3.9427 -3.6830 -3.3571 -3.0542 -2.7893 -2.5629 -2.3659
 -2.1903 -2.0282 -1.8774 -1.7377 -1.6086 -1.3337 -1.1158 -0.9338 -0.7740 -0.6327
 -0.5094 -0.4026 -0.3103 -0.2302
 -4.6053 -4.1945 -3.8712 -3.6572 -3.5489 -3.3887 -3.1136 -2.8395 -2.5961 -2.3877
 -2.2056 -2.0421 -1.8898 -1.7479 -1.6160 -1.3315 -1.1063 -0.9226 -0.7655 -0.6291
 -0.5116 -0.4107 -0.3237 -0.2481 -0.1816 -0.1234 -0.0712 -0.0242  0.0122  0.0332
 -4.6936 -4.2479 -3.8735 -3.5731 -3.3511 -3.1991 -3.0785 -2.8907 -2.6521 -2.4281
 -2.2349 -2.0660 -1.9123 -1.7686 -1.6342 -1.3405 -1.1058 -0.9176 -0.7611 -0.6279
 -0.5149 -0.4190 -0.3373 -0.2665 -0.2047 -0.1503 -0.1016 -0.0589 -0.0228  0.0048
  0.0178
 -4.8171 -4.3438 -3.9362 -3.5932 -3.3145 -3.0964 -2.9243 -2.7839 -2.6493 -2.4772
 -2.2804 -2.1007 -1.9431 -1.7981 -1.6616 -1.3594 -1.1141 -0.9188 -0.7602 -0.6285
 -0.5184 -0.4267 -0.3496 -0.2840 -0.2272 -0.1776 -0.1341 -0.0960 -0.0623 -0.0335
 -0.0140
 -4.9635 -4.4661 -4.0337 -3.6601 -3.3448 -3.0864 -2.8777 -2.7036 -2.5516 -2.4152
 -2.2819 -2.1339 -1.9775 -1.8315 -1.6938 -1.3850 -1.1291 -0.9248 -0.7616 -0.6291
 -0.5207 -0.4318 -0.3589 -0.2982 -0.2468 -0.2025 -0.1639 -0.1299 -0.1000 -0.0746
 -0.0542
 -5.1162 -4.6106 -4.1621 -3.7654 -3.4215 -3.1306 -2.8902 -2.6918 -2.5228 -2.3713
 -2.2327 -2.1046 -1.9813 -1.8563 -1.7293 -1.4211 -1.1555 -0.9409 -0.7703 -0.6344
 -0.5253 -0.4377 -0.3675 -0.3108 -0.2643 -0.2253 -0.1922 -0.1632 -0.1378 -0.1157
 -0.0975
 -5.2605 -4.7581 -4.3041 -3.8940 -3.5290 -3.2118 -2.9424 -2.7173 -2.5291 -2.3668
 -2.2207 -2.0859 -1.9607 -1.8443 -1.7335 -1.4565 -1.1894 -0.9642 -0.7848 -0.6431
 -0.5312 -0.4430 -0.3739 -0.3199 -0.2775 -0.2436 -0.2161 -0.1927 -0.1725 -0.1550
 -0.1389
 -5.3963 -4.9087 -4.4411 -4.0312 -3.6560 -3.3207 -3.0272 -2.7763 -2.5646 -2.3852
