 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.4517 -3.1006 -2.7823 -2.5049 -2.2672 -2.0646 -1.8894 -1.7340 -1.5941 -1.4702
 -1.3638 -1.2669 -1.1648 -1.0571 -0.9527 -0.7319 -0.5631 -0.4335 -0.3356 -0.2625
 -0.2091 -0.1693 -0.1370 -0.1083 -0.0817 -0.0570 -0.0331 -0.0121  0.0035  0.0116
  0.0111
 -3.5281 -3.1696 -2.8429 -2.5493 -2.2941 -2.0764 -1.8902 -1.7280 -1.5831 -1.4511
 -1.3317 -1.2262 -1.1332 -1.0448 -0.9547 -0.7366 -0.5636 -0.4310 -0.3319 -0.2591
 -0.2075 -0.1715 -0.1448 -0.1224 -0.1016 -0.0819 -0.0634 -0.0462 -0.0311 -0.0202
 -0.0138
 -3.6199 -3.2540 -2.9247 -2.6218 -2.3498 -2.1138 -1.9125 -1.7397 -1.5889 -1.4538
 -1.3306 -1.2185 -1.1178 -1.0269 -0.9433 -0.7458 -0.5687 -0.4319 -0.3297 -0.2556
 -0.2039 -0.1697 -0.1473 -0.1309 -0.1167 -0.1031 -0.0899 -0.0770 -0.0648 -0.0544
 -0.0468
 -3.7264 -3.3446 -3.0132 -2.7089 -2.4288 -2.1764 -1.9566 -1.7685 -1.6069 -1.4655
 -1.3391 -1.2244 -1.1198 -1.0246 -0.9375 -0.7477 -0.5780 -0.4352 -0.3287 -0.2518
 -0.1987 -0.1645 -0.1444 -0.1328 -0.1248 -0.1179 -0.1111 -0.1038 -0.0963 -0.0892
 -0.0826
 -3.8520 -3.4419 -3.1029 -2.7997 -2.5192 -2.2596 -2.0248 -1.8188 -1.6416 -1.4887
 -1.3552 -1.2364 -1.1291 -1.0312 -0.9414 -0.7477 -0.5848 -0.4428 -0.3300
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F555W
 -4.1504 -3.7315 -3.3358 -2.9985 -2.7034 -2.4375 -2.2191 -2.0280 -1.8583 -1.7002
 -1.5528 -1.4160 -1.2905 -1.1764 -1.0732 -0.8534 -0.6719 -0.5134 -0.3731
 -3.8553 -3.6560 -3.3010 -2.9511 -2.6466 -2.3752 -2.1479 -1.9542 -1.7810 -1.6236
 -1.4770 -1.3413 -1.2171 -1.1046 -1.0034 -0.7925 -0.6229 -0.4788 -0.3543 -0.2485
 -3.4817 -3.3660 -3.2444 -2.9456 -2.6319 -2.3547 -2.1139 -1.9126 -1.7373 -1.5798
 -1.4344 -1.2997 -1.1760 -1.0640 -0.9633 -0.7556 -0.5922 -0.4566 -0.3420 -0.2457
