 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
-10.7184-10.0912 -9.5185 -8.9390 -8.1852 -7.4466 -6.9621 -6.6192 -6.3242 -6.0457
 -5.7827 -5.5282 -5.2825 -5.0443 -4.8107 -4.2323 -3.6359 -2.9978 -2.3389
 -9.4762 -9.2330 -8.8748 -8.4882 -8.0132 -7.3494 -6.7700 -6.3599 -6.0274 -5.7272
 -5.4446 -5.1748 -4.9172 -4.6702 -4.4310 -3.8560 -3.2887 -2.7117 -2.1394 -1.6300
 -8.7872 -8.3179 -8.1604 -7.9710 -7.6901 -7.2825 -6.7120 -6.2118 -5.8323 -5.5055
 -5.2052 -4.9210 -4.6522 -4.3974 -4.1537 -3.5815 -3.0380 -2.5087 -1.9988 -1.5377
 -1.1731
 -8.5839 -7.8926 -7.4879 -7.3177 -7.2207 -7.0177 -6.6723 -6.1860 -5.7369 -5.3760
 -5.0591 -4.7615 -4.4814 -4.2177 -3.9681 -3.3940 -2.8662 -2.3705 -1.9052 -1.4809
 -1.1369 -0.8795
 -8.6230 -7.7942 -7.2168 -6.8508 -6.6413 -6.5354 -6.4047 -6.1376 -5.7418 -5.3329
 -4.9941 -4.6850 -4.3938 -4.1199 -3.8623 -3.2789 -2.7577 -2.2835 -1.8487 -1.4526
 -1.1234 -0.8766 -0.6879 -0.5342
 -8.8522 -7.9070 -7.1897 -6.6834 -6.3391 -6.1014 -5.9350 -5.8083 -5.6316 -5.3402
 -4.9922 -4.6747 -4.3746 -4.0909 -3.8235 -3.2230 -2.6997 -2.2372 -1.8223 -1.4472
 -1.1292 -0.8880 -0.7075 -0.5639 -0.4431 -0.3385 -0.2456 -0.1612 -0.0840 -0.0186
 -9.2229 -8.1955 -7.3521 -6.7130 -6.2517 -5.9197 -5.6677 -5.4593 -5.2862 -5.1312
 -4.9369 -4.6787 -4.3998 -4.1153 -3.8394 -3.2164 -2.6826 -2.2233 -1.8198 -1.4598
 -1.1509 -0.9118 -0.7351 -0.5984 -0.4863 -0.3907 -0.3076 -0.2342 -0.1687 -0.1107
 -0.0678
 -9.6698 -8.6082 -7.6710 -6.9109 -6.3289 -5.8974 -5.5736 -5.3152 -5.0895 -4.8855
 -4.7063 -4.5354 -4.3481 -4.1307 -3.8848 -3.2507 -2.6999 -2.2360 -1.8373 -1.4862
 -1.1840 -0.9451 -0.7687 -0.6360 -0.5306 -0.4425 -0.3662 -0.3003 -0.2440 -0.1968
 -0.1581
-10.1358 -9.0806 -8.0919 -7.2363 -6.5448 -6.0082 -5.5985 -5.2809 -5.0204 -4.7884
 -4.5733 -4.3752 -4.1925 -4.0205 -3.8406 -3.3061 -2.7416 -2.2672 -1.8669 -1.5197
 -1.2218 -0.9823 -0.8039 -0.6729 -0.5724 -0.4913 -0.4237 -0.3660 -0.3165 -0.2749
 -0.2407
-10.5638 -9.5847 -8.5928 -7.6736 -6.8860 -6.2480 -5.7458 -5.3525 -5.0391 -4.7775
 -4.5436 -4.3247 -4.1169 -3.9232 -3.7440 -3.3077 -2.8116 -2.3261 -1.9184 -1.5692
 -1.2707 -1.0277 -0.8442 -0.7110 -0.6129 -0.5371 -0.4763 -0.4258 -0.3835 -0.3481
 -0.3191
-10.9016-10.0381 -9.1050 -8.1769 -7.3236 -6.5941 -5.9984 -5.5226 -5.1422 -4.8324
 -4.5700 -4.3353 -4.1142 -3.9022 -3.7016 -3.2584 -2.8413 -2.3988 -1.9836 -1.6281
 -1.3252 -1.0765 -0.8854 -0.7467 -0.6478 -0.5757 -0.5209 -0.4774 -0.4422 -0.4137
 -0.3901
-11.1437-10.4015 -9.5686 -8.6853 -7.8194 -7.0282 -6.3479 -5.7862 -5.3300 -4.9588
 -4.6521 -4.3893 -4.1534 -3.9317 -3.7183 -3.2358 -2.8314 -2.4472 -2.0562
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F390M
-10.8017-10.1245 -9.4887 -8.7848 -7.9872 -7.2848 -6.8275 -6.4984 -6.2277 -5.9754
 -5.7359 -5.5036 -5.2783 -5.0591 -4.8443 -4.3110 -3.7644 -3.1776 -2.5516
 -9.7550 -9.3849 -8.9470 -8.4812 -7.8740 -7.1656 -6.6206 -6.2398 -5.9305 -5.6601
 -5.4042 -5.1595 -4.9246 -4.6984 -4.4783 -3.9460 -3.4189 -2.8797 -2.3313 -1.8103
 -8.8322 -8.5394 -8.3539 -8.0633 -7.6918 -7.1503 -6.5442 -6.0812 -5.7320 -5.4359
 -5.1653 -4.9091 -4.6656 -4.4331 -4.2093 -3.6779 -3.1673 -2.6638 -2.1700 -1.7031
 -1.3016
 -8.5653 -7.9198 -7.6310 -7.5286 -7.3422 -7.0380 -6.5685 -6.0407 -5.6270 -5.2999
 -5.0142 -4.7465 -4.4938 -4.2542 -4.0256 -3.4914 -2.9913 -2.5132 -2.0583 -1.6320
 -1.2578 -0.9672
 -8.6160 -7.7739 -7.2277 -6.9306 -6.8109 -6.7045 -6.4699 -6.0844 -5.6255 -5.2476
 -4.9399 -4.6611 -4.3989 -4.1511 -3.9157 -3.3730 -2.8766 -2.4144 -1.9860 -1.5899
 -1.2375 -0.9582 -0.7474 -0.5792
 -8.8870 -7.8912 -7.1650 -6.6801 -6.3773 -6.2010 -6.0954 -5.9443 -5.6608 -5.2809
 -4.9316 -4.6393 -4.3682 -4.1118 -3.8682 -3.3113 -2.8118 -2.3581 -1.9467 -1.5719
 -1.2373 -0.9656 -0.7614 -0.6034 -0.4732 -0.3621 -0.2639 -0.1740 -0.0912 -0.0231
 -9.3209 -8.2145 -7.3290 -6.6841 -6.2370 -5.9322 -5.7159 -5.5568 -5.4243 -5.2455
 -4.9704 -4.6655 -4.3874 -4.1238 -3.8724 -3.2972 -2.7884 -2.3365 -1.9349 -1.5745
 -1.2536 -0.9873 -0.7858 -0.6334 -0.5118 -0.4097 -0.3218 -0.2447 -0.1758 -0.1141
 -0.0627
 -9.8263 -8.6807 -7.6797 -6.8843 -6.2967 -5.8747 -5.5700 -5.3346 -5.1390 -4.9733
 -4.8213 -4.6383 -4.4122 -4.1674 -3.9162 -3.3233 -2.7996 -2.3436 -1.9460 -1.5937
 -1.2826 -1.0205 -0.8189 -0.6687 -0.5526 -0.4579 -0.3783 -0.3095 -0.2502 -0.1996
 -0.1573
-10.3415 -9.1813 -8.1441 -7.2375 -6.5188 -5.9750 -5.5719 -5.2683 -5.0248 -4.8137
 -4.6252 -4.4573 -4.2941 -4.1246 -3.9350 -3.3766 -2.8360 -2.3702 -1.9715 -1.6228
 -1.3170 -1.0580 -0.8553 -0.7051 -0.5926 -0.5041 -0.4318 -0.3709 -0.3192 -0.2754
 -0.2400
-10.8083 -9.7468 -8.6807 -7.7070 -6.8836 -6.2248 -5.7149 -5.3247 -5.0218 -4.7740
 -4.5569 -4.3589 -4.1760 -4.0059 -3.8458 -3.4176 -2.9052 -2.4261 -2.0205 -1.6701
 -1.3645 -1.1050 -0.8988 -0.7455 -0.6334 -0.5490 -0.4828 -0.4290 -0.3844 -0.3474
 -0.3171
-11.1667-10.2350 -9.2245 -8.2314 -7.3404 -6.5874 -5.9779 -5.4959 -5.1168 -4.8144
 -4.5638 -4.3436 -4.1410 -3.9500 -3.7715 -3.3711 -2.9584 -2.5008 -2.0850 -1.7282
 -1.4190 -1.1559 -0.9444 -0.7854 -0.6709 -0.5884 -0.5271 -0.4795 -0.4418 -0.4116
 -0.3862
-11.4180-10.6238 -9.7142 -8.7629 -7.8462 -7.0299 -6.3363 -5.7673 -5.3077 -4.9384
 -4.6374 -4.3844 -4.1615 -3.9556 -3.7604 -3.3242 -2.9468 -2.5634 -2.1621
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F390M
-10.7796-10.0842 -9.3578 -8.5475 -7.7592 -7.1307 -6.7156 -6.3991 -6.1427 -5.9228
 -5.7071 -5.4965 -5.2919 -5.0920 -4.8950 -4.4047 -3.9020 -3.3658 -2.7834
 -9.7455 -9.4787 -8.9885 -8.3976 -7.6644 -6.9760 -6.4853 -6.1310 -5.8477 -5.6072
 -5.3787 -5.1592 -4.9475 -4.7421 -4.5411 -4.0500 -3.5596 -3.0551 -2.5341 -2.0165
 -8.9819 -8.7924 -8.4913 -8.1268 -7.6194 -6.9560 -6.3788 -5.9575 -5.6405 -5.3762
 -5.1357 -4.9076 -4.6894 -4.4796 -4.2760 -3.7853 -3.3065 -2.8284 -2.3522 -1.8899
 -1.4656
 -8.5415 -8.0201 -7.8712 -7.6939 -7.4125 -6.9765 -6.4021 -5.8959 -5.5229 -5.2278
 -4.9739 -4.7363 -4.5109 -4.2956 -4.0882 -3.5956 -3.1246 -2.6659 -2.2225 -1.8006
 -1.4110 -1.0843
 -8.5703 -7.7534 -7.2819 -7.1004 -7.0044 -6.7960 -6.4387 -5.9504 -5.5020 -5.1612
 -4.8851 -4.6372 -4.4035 -4.1814 -3.9685 -3.4692 -3.0009 -2.5548 -2.1342 -1.7416
 -1.3798 -1.0693 -0.8285 -0.6404
 -8.8658 -7.8446 -7.1361 -6.6979 -6.4681 -6.3667 -6.2391 -5.9726 -5.5803 -5.1779
 -4.8615 -4.5992 -4.3570 -4.1275 -3.9080 -3.3973 -2.9264 -2.4869 -2.0810 -1.7086
